"","X","filename","decade","category","license","year","fees_usd","items","revenues_usd"
"1",1,"tabula-70s Fees Fish Business.csv","1970s","Licenses","FISH IMPORTER",1970,100,98,9800
"2",2,"tabula-70s Fees Fish Business.csv","1970s","Licenses","FISH IMPORTER",1971,100,80,8000
"3",3,"tabula-70s Fees Fish Business.csv","1970s","Licenses","FISH IMPORTER",1972,100,85,8500
"4",4,"tabula-70s Fees Fish Business.csv","1970s","Licenses","FISH IMPORTER",1973,100,85,8500
"5",5,"tabula-70s Fees Fish Business.csv","1970s","Licenses","FISH IMPORTER",1974,100,88,8800
"6",6,"tabula-70s Fees Fish Business.csv","1970s","Licenses","FISH IMPORTER",1975,100,84,8400
"7",7,"tabula-70s Fees Fish Business.csv","1970s","Licenses","FISH IMPORTER",1976,100,87,8700
"8",8,"tabula-70s Fees Fish Business.csv","1970s","Licenses","FISH IMPORTER",1977,100,95,9500
"9",9,"tabula-70s Fees Fish Business.csv","1970s","Licenses","FISH IMPORTER",1978,100,96,9600
"10",10,"tabula-70s Fees Fish Business.csv","1970s","Licenses","FISH IMPORTER",1979,125,106,13250
"11",11,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1980,NA,NA,NA
"12",12,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH IMPORTER",1980,125,106,13250
"13",13,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH PROCESSOR",1980,190,34,6460
"14",14,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH RECEIVER",1980,NA,NA,NA
"15",15,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH WHOLESALER LICENSE",1980,65,870,56550
"16",16,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISHERMAN'S RETAILER",1980,NA,NA,NA
"17",17,"tabula-80s Fees Fish Business.csv","1980s","Licenses","LIVE FRESH WATER BAIT LICENSE",1980,25,296,7400
"18",18,"tabula-80s Fees Fish Business.csv","1980s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1980,NA,NA,NA
"19",19,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1981,NA,NA,NA
"20",20,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH IMPORTER",1981,125,110,13750
"21",21,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH PROCESSOR",1981,190,34,6460
"22",22,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH RECEIVER",1981,NA,NA,NA
"23",23,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH WHOLESALER LICENSE",1981,65,929,60385
"24",24,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISHERMAN'S RETAILER",1981,NA,NA,NA
"25",25,"tabula-80s Fees Fish Business.csv","1980s","Licenses","LIVE FRESH WATER BAIT LICENSE",1981,25,199,4975
"26",26,"tabula-80s Fees Fish Business.csv","1980s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1981,NA,NA,NA
"27",27,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1982,NA,NA,NA
"28",28,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH IMPORTER",1982,125,104,13000
"29",29,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH PROCESSOR",1982,190,30,5700
"30",30,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH RECEIVER",1982,NA,NA,NA
"31",31,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH WHOLESALER LICENSE",1982,65,1126,73190
"32",32,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISHERMAN'S RETAILER",1982,NA,NA,NA
"33",33,"tabula-80s Fees Fish Business.csv","1980s","Licenses","LIVE FRESH WATER BAIT LICENSE",1982,25,293,7325
"34",34,"tabula-80s Fees Fish Business.csv","1980s","Licenses","SPORT-CAUGHT FISH EXCHANGE",1982,NA,NA,NA
"35",35,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH BUSINESS (MULTIFUNCTION)",1983,NA,NA,NA
"36",36,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH IMPORTER",1983,125,108,13500
"37",37,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH PROCESSOR",1983,190,29,5510
"38",38,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH RECEIVER",1983,NA,NA,NA
"39",39,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISH WHOLESALER LICENSE",1983,65,1185,77025
"40",40,"tabula-80s Fees Fish Business.csv","1980s","Licenses","FISHERMAN'S RETAILER",1983,NA,NA,NA
