"SEASON","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","INITIALQSHOLDER_COUNT","INITIALQSHOLDER_SHARE","NEWQSHOLDER_COUNT","NEWQSHOLDER_SHARE","LOAD_DATE"
"Initial allocation","BBR","BRISTOL BAY RED KING CRAB","Crew QS",181,100,0,0,"12/10/2021"
"2005/2006","BBR","BRISTOL BAY RED KING CRAB","Crew QS",161,95.88,7,4.12,"12/10/2021"
"2006/2007","BBR","BRISTOL BAY RED KING CRAB","Crew QS",142,91.02,14,8.98,"12/10/2021"
"2007/2008","BBR","BRISTOL BAY RED KING CRAB","Crew QS",135,88.69,16,11.31,"12/10/2021"
"2008/2009","BBR","BRISTOL BAY RED KING CRAB","Crew QS",127,86.7,17,13.3,"12/10/2021"
"2009/2010","BBR","BRISTOL BAY RED KING CRAB","Crew QS",122,85.22,19,14.78,"12/10/2021"
"2010/2011","BBR","BRISTOL BAY RED KING CRAB","Crew QS",120,84.04,20,15.96,"12/10/2021"
"2011/2012","BBR","BRISTOL BAY RED KING CRAB","Crew QS",119,82.16,21,17.84,"12/10/2021"
"2012/2013","BBR","BRISTOL BAY RED KING CRAB","Crew QS",116,81.01,21,18.99,"12/10/2021"
"2013/2014","BBR","BRISTOL BAY RED KING CRAB","Crew QS",110,79.87,22,20.13,"12/10/2021"
"2014/2015","BBR","BRISTOL BAY RED KING CRAB","Crew QS",103,76.67,25,23.33,"12/10/2021"
"2015/2016","BBR","BRISTOL BAY RED KING CRAB","Crew QS",101,74.48,26,25.52,"12/10/2021"
"2016/2017","BBR","BRISTOL BAY RED KING CRAB","Crew QS",92,69.61,31,30.39,"12/10/2021"
"2017/2018","BBR","BRISTOL BAY RED KING CRAB","Crew QS",75,62.53,36,37.47,"12/10/2021"
"2018/2019","BBR","BRISTOL BAY RED KING CRAB","Crew QS",74,61.43,35,38.57,"12/10/2021"
"2019/2020","BBR","BRISTOL BAY RED KING CRAB","Crew QS",70,58.04,37,41.96,"12/10/2021"
"2020/2021","BBR","BRISTOL BAY RED KING CRAB","Crew QS",63,52.46,40,47.54,"12/10/2021"
"Initial allocation","BBR","BRISTOL BAY RED KING CRAB","Owner QS",252,100,0,0,"12/10/2021"
"2005/2006","BBR","BRISTOL BAY RED KING CRAB","Owner QS",242,97.42,10,2.58,"12/10/2021"
"2006/2007","BBR","BRISTOL BAY RED KING CRAB","Owner QS",227,91.83,18,8.17,"12/10/2021"
"2007/2008","BBR","BRISTOL BAY RED KING CRAB","Owner QS",215,87.59,34,12.41,"12/10/2021"
"2008/2009","BBR","BRISTOL BAY RED KING CRAB","Owner QS",203,84.49,45,15.51,"12/10/2021"
