"FMP_AREA","GEAR","SUBAREA","GROUNDFISH_TARGET_SPECIES","SPECIES","YEAR","RETCATCH_MT","PERCENT_CATCH_SUPPRESSED"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2003",158471,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2004",166135,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2005",178712,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2006",181248,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2007",164264,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2008",165059,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2009",151813,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2010",210016,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2011",229700,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2012",240427,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2013",212848,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2014",297517,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2015",299451,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2016",300845,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2017",297236,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2018",229832,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2019",200796,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","All Groundfish","2020",176882,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2003",12872,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2004",6513,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2005",11716,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2006",15854,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2007",14792,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2008",20181,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2009",12094,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2010",11857,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2011",24016,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2012",15588,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2013",15956,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2014",31516,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2015",16485,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2016",17244,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Arrowtooth Flounder","2017",24722,"1-5%"
