"FMP_AREA","GEAR","PROCESSING_SECTOR","SPECIES","YEAR","EXVES_PRICE_LB"
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Other Flatfish (BSAI)","2003",.342
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Northern Rockfish","2003",.062
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Northern Rockfish","2003",.062
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2003",.254
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Other Flatfish (BSAI)","2003",.249
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Other Flatfish (BSAI)","2003",.342
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Sablefish","2003",.733
"Bering Sea and Aleutian Islands","Trawl","At-Sea Processors (BSAI)","Sablefish","2003",.733
"Bering Sea and Aleutian Islands","Trawl","Shoreside Processors (BSAI)","Sablefish","2003",.733
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Northern Rockfish","2003",.614
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Northern Rockfish","2003",.614
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2003",2.112
"Bering Sea and Aleutian Islands","All Gear","At-Sea Processors (BSAI)","Sablefish","2003",1.846
"Bering Sea and Aleutian Islands","All Gear","Shoreside Processors (BSAI)","Sablefish","2003",2.243
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Sablefish","2003",2.253
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Sablefish","2003",2.253
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Sablefish","2003",2.253
"Bering Sea and Aleutian Islands","Trawl","All Sectors","Northern Rockfish","2003",.062
"Bering Sea and Aleutian Islands","Fixed","All Sectors","Rock Sole (BSAI)","2003",.188
"Bering Sea and Aleutian Islands","Fixed","At-Sea Processors (BSAI)","Rock Sole (BSAI)","2003",.188
"Bering Sea and Aleutian Islands","Fixed","Shoreside Processors (BSAI)","Rock Sole (BSAI)","2003",.015
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2003",.063
