"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1980","PCOD","MNT","UNK","N","NOMINAL","20"
"1982","PCOD","ERK","HKL","N","Nominal","10"
"1982","PCOD","MNT","HKL","N","Nominal","162"
"1982","PCOD","OSF","NET","N","Nominal","50"
"1984","PCOD","ERK","HKL","N","Nominal","150"
"1984","PCOD","MNT","NET","N","Nominal","4177"
"1985","PCOD","MNT","HKL","N","Nominal","755"
"1985","PCOD","OSF","HKL","N","Nominal","806"
"1985","PCOD","OSF","NET","N","Nominal","55"
"1987","PCOD","BDG","TWL","N","Nominal","75"
"1987","PCOD","BRG","HKL","N","Nominal","2811"
"1987","PCOD","BRG","TWL","N","Nominal","17006"
"1987","PCOD","CRS","TWL","N","Nominal","18514"
"1987","PCOD","ERK","TWL","N","Nominal","104646"
"1987","PCOD","MNT","HKL","N","Nominal","40"
"1987","PCOD","MNT","TWL","N","Nominal","230"
"1987","PCOD","MRO","HKL","N","Nominal","13"
"1987","PCOD","OLA","NET","N","Nominal","105"
"1987","PCOD","OSD","HKL","N","Nominal","55"
"1987","PCOD","OSF","TWL","N","Nominal","1443"
"1988","PCOD","BRG","TWL","N","Nominal","534"
"1988","PCOD","CRS","TWL","N","Nominal","1985"
"1988","PCOD","ERK","TWL","N","Nominal","8360"
"1988","PCOD","MNT","HKL","N","Nominal","7"
"1988","PCOD","MRO","TWL","N","Nominal","15"
"1988","PCOD","OSF","HKL","N","Nominal","8"
"1988","PCOD","OSF","TWL","N","Nominal","108"
"1989","PCOD","BRG","HKL","N","Nominal","6"
"1989","PCOD","CRS","TWL","N","Nominal","18"
"1989","PCOD","ERK","TWL","N","Nominal","32"
"1989","PCOD","OSF","FPT","N","Nominal","130"
"1989","PCOD","OSF","HKL","N","Nominal","37"
"1989","PCOD","OSF","NET","N","Nominal","5"
"1990","PCOD","ERK","TWL","N","Nominal","11"
"1990","PCOD","OSD","NET","N","Nominal","1"
"1991","PCOD","CRS","TWL","N","Nominal","351"
"1991","PCOD","ERK","TWL","N","Nominal","6"
"1991","PCOD","MNT","HKL","N","Nominal","8"
"1991","PCOD","OLA","HKL","N","Nominal","94"
"1992","PCOD","CRS","TWL","N","Nominal","517"
"1992","PCOD","MNT","HKL","N","Nominal","358"
"1992","PCOD","OLA","HKL","N","Nominal","50"
"1992","PCOD","OSF","HKL","N","Nominal","918"
"1993","PCOD","CRS","TWL","N","Nominal","13"
"1993","PCOD","ERK","TWL","N","Nominal","11"
"1993","PCOD","MNT","HKL","N","Nominal","5"
"1993","PCOD","MRO","HKL","N","Nominal","130"
"1993","PCOD","OLA","HKL","N","Nominal","15"
"1993","PCOD","OSF","HKL","N","Nominal","120"
"1994","PCOD","CRS","TWL","N","Nominal","25"
"1994","PCOD","ERK","TWL","N","Nominal","3"
"1995","PCOD","CRS","TWL","N","NOMINAL","4"
"1996","PCOD","ERK","TWL","N","NOMINAL","10"
"1997","PCOD","CRS","TWL","N","NOMINAL","4"
"1997","PCOD","ERK","TWL","N","NOMINAL","7"
"1997","PCOD","MNT","TWL","N","NOMINAL","4"
"1997","PCOD","OSF","HKL","N","NOMINAL","23"
"1998","PCOD","CRS","TWL","N","NOMINAL","24"
"1998","PCOD","ERK","TWL","N","NOMINAL","23"
"1999","PCOD","CRS","TWL","N","NOMINAL","49"
"2000","PCOD","CRS","TWL","N","Nominal","9"
"2000","PCOD","MNT","FPT","N","Nominal","10"
"2000","PCOD","OSF","HKL","N","Nominal","3"
"2001","PCOD","CRS","TWL","N","NOMINAL","24"
"2001","PCOD","ERK","TWL","N","NOMINAL","12"
"2001","PCOD","MNT","HKL","N","NOMINAL","762"
"2002","PCOD","BRG","TWL","N","NOMINAL","6"
"2003","PCOD","CRS","TWL","N","NOMINAL","20"
"2003","PCOD","ERK","TWL","N","NOMINAL","1248"
"2003","PCOD","MNT","TWL","N","NOMINAL","2"
"2003","PCOD","OSD","HKL","N","NOMINAL","4"
"2003","PCOD","OSF","HKL","N","NOMINAL","13"
"2003","PCOD","OSF","TWL","N","NOMINAL","27"
"2004","PCOD","ERK","TWL","N","NOMINAL","103"
"2004","PCOD","OSF","HKL","N","NOMINAL","26"
"2008","PCOD","ERK","TWL","N","NOMINAL","45"
"2013","PCOD","ERK","TWL","N","NOMINAL","6"
"2014","PCOD","ERK","TWL","N","ACTUAL","7"
"2015","PCOD","ERK","TWL","N","ACTUAL","496"
