"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1986","PHLB","BRG","HKL","N","Nominal","2966"
"1986","PHLB","ERK","HKL","N","Nominal","31520"
"1987","PHLB","BRG","HKL","N","Nominal","61576"
"1987","PHLB","OSF","HKL","N","Nominal","480"
"1988","PHLB","BRG","HKL","N","Nominal","42802"
"1989","PHLB","BRG","HKL","N","Nominal","304"
"1990","PHLB","CRS","HKL","N","Nominal","18"
"1991","PHLB","CRS","HKL","N","Nominal","219"
"1991","PHLB","ERK","HKL","N","Nominal","4237"
"1991","PHLB","OSD","NET","N","Nominal","127"
"1992","PHLB","CRS","HKL","N","Nominal","967"
"1992","PHLB","ERK","HKL","N","Nominal","1135"
"1993","PHLB","BRG","HKL","N","Nominal","634"
"1993","PHLB","CRS","HKL","N","Nominal","2651"
"1993","PHLB","ERK","HKL","N","Nominal","340"
"1994","PHLB","BRG","HKL","N","Nominal","255"
"1994","PHLB","CRS","HKL","N","Nominal","116"
"1995","PHLB","BRG","HKL","N","NOMINAL","6227"
"1995","PHLB","CRS","HKL","N","NOMINAL","1673"
"1995","PHLB","ERK","HKL","N","NOMINAL","558"
"1995","PHLB","OSB","HKL","N","NOMINAL","48"
"1996","PHLB","BRG","HKL","N","NOMINAL","7163"
"1996","PHLB","CRS","HKL","N","NOMINAL","341"
"1997","PHLB","BDG","HKL","N","NOMINAL","17"
"1997","PHLB","BRG","HKL","N","NOMINAL","4683"
"1997","PHLB","CRS","HKL","N","NOMINAL","2011"
"1997","PHLB","ERK","HKL","N","NOMINAL","6996"
"1998","PHLB","BRG","HKL","N","NOMINAL","5836"
"1998","PHLB","CRS","HKL","N","NOMINAL","186"
"1998","PHLB","CRS","HKL","Y","NOMINAL","6"
"1998","PHLB","ERK","HKL","N","NOMINAL","285"
"1999","PHLB","BRG","HKL","N","NOMINAL","3110"
"1999","PHLB","CRS","HKL","N","NOMINAL","52"
"1999","PHLB","CRS","TWL","N","NOMINAL","18"
"1999","PHLB","ERK","HKL","N","NOMINAL","710"
"1999","PHLB","ERK","TWL","N","NOMINAL","47"
"1999","PHLB","OLA","HKL","N","NOMINAL","8"
"1999","PHLB","OLA","TWL","N","NOMINAL","67"
"2000","PHLB","CRS","HKL","N","Nominal","164"
"2000","PHLB","ERK","HKL","N","Nominal","125"
"2001","PHLB","BRG","HKL","N","NOMINAL","591"
"2001","PHLB","CRS","TWL","N","NOMINAL","8"
"2001","PHLB","MRO","HKL","Y","NOMINAL","45"
"2002","PHLB","BRG","HKL","N","NOMINAL","281"
"2002","PHLB","CRS","HKL","N","NOMINAL","30"
"2006","PHLB","ERK","HKL","N","NOMINAL","181"
"2006","PHLB","ERK","TWL","N","NOMINAL","68"
"2007","PHLB","CRS","HKL","N","NOMINAL","78"
"2007","PHLB","ERK","HKL","N","NOMINAL","118"
"2009","PHLB","CRS","HKL","N","NOMINAL","12"
"2009","PHLB","ERK","HKL","N","NOMINAL","52"
"2010","PHLB","BRG","HKL","N","NOMINAL","30"
"2010","PHLB","ERK","HKL","N","NOMINAL","200"
"2011","PHLB","ERK","HKL","N","NOMINAL","805"
"2012","PHLB","BRG","HKL","N","NOMINAL","44"
"2012","PHLB","OLA","NET","N","NOMINAL","25"
"2013","PHLB","BRG","HKL","N","NOMINAL","40"
"2015","PHLB","BRG","HKL","N","NOMINAL","17"
"2015","PHLB","CRS","HKL","N","NOMINAL","138"
