"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","BLCK","BDG","HKL","N","NOMINAL","25"
"1978","BLCK","BDG","TWL","N","BORROW T-1","69"
"1978","BLCK","BRG","HKL","N","BORROW T-3","24"
"1978","BLCK","BRG","HKL","N","NOMINAL","497"
"1978","BLCK","BRG","TWL","N","ACTUAL","1297"
"1978","BLCK","CRS","HKL","N","BORROW T-3","2180"
"1978","BLCK","CRS","HKL","N","NOMINAL","937"
"1978","BLCK","ERK","HKL","N","BORROW T-3","5289"
"1978","BLCK","ERK","HKL","N","NOMINAL","5373"
"1978","BLCK","ERK","TWL","N","ACTUAL","230731"
"1978","BLCK","ERK","TWL","N","ACTUAL (a)","310"
"1978","BLCK","MNT","HKL","N","NOMINAL","963"
"1978","BLCK","MRO","FPT","N","NOMINAL","17857"
"1978","BLCK","MRO","HKL","N","NOMINAL","90"
"1978","BLCK","MRO","NET","N","NOMINAL","1"
"1978","BLCK","OLA","HKL","N","RATIO","2530"
"1978","BLCK","OLA","NET","N","RATIO","29"
"1978","BLCK","OSF","HKL","N","BORROW T-3","4145"
"1978","BLCK","OSF","HKL","N","NOMINAL","23685"
"1978","BLCK","OSF","NET","N","NOMINAL","915"
"1978","BLCK","OSF","TWL","N","NOMINAL","110"
"1979","BLCK","BRG","HKL","N","BORROW T-3","20"
"1979","BLCK","BRG","HKL","N","NOMINAL","309"
"1979","BLCK","BRG","HKL","N","NOMINAL(a)","459"
"1979","BLCK","CRS","HKL","N","BORROW T-3","2165"
"1979","BLCK","CRS","TWL","N","BORROW T-1","23"
"1979","BLCK","ERK","HKL","N","BORROW T-3","2814"
"1979","BLCK","ERK","HKL","N","NOMINAL","555"
"1979","BLCK","ERK","TWL","N","ACTUAL","172"
"1979","BLCK","MNT","HKL","N","NOMINAL","37"
"1979","BLCK","MRO","HKL","N","ACTUAL","66"
"1979","BLCK","MRO","HKL","N","NOMINAL","280"
"1979","BLCK","OLA","HKL","N","RATIO","3313"
"1979","BLCK","OLA","NET","N","RATIO","71"
"1979","BLCK","OSF","HKL","N","NOMINAL","1538"
"1979","BLCK","OSF","OTH","N","NOMINAL","86395"
"1979","BLCK","OSF","TWL","N","NOMINAL","48005"
"1979","BLCK","OSF","TWL","N","NOMINAL(a)","163"
"1980","BLCK","BDG","HKL","N","NOMINAL","241"
"1980","BLCK","BRG","HKL","N","NOMINAL","5"
"1980","BLCK","BRG","TWL","N","NOMINAL","775"
"1980","BLCK","CRS","HKL","N","BORROW T-3","1664"
"1980","BLCK","CRS","HKL","N","NOMINAL","2832"
"1980","BLCK","CRS","TWL","N","ACTUAL","10748"
"1980","BLCK","CRS","TWL","N","ACTUAL (a)","60"
"1980","BLCK","ERK","HKL","N","BORROW T-3","963"
"1980","BLCK","ERK","HKL","N","NOMINAL","675"
"1980","BLCK","ERK","TWL","N","ACTUAL","96308"
"1980","BLCK","ERK","TWL","N","ACTUAL (a)","37"
"1980","BLCK","MNT","HKL","N","NOMINAL","33"
"1980","BLCK","MRO","HKL","N","NOMINAL","2529"
"1980","BLCK","MRO","TWL","N","NOMINAL","299"
"1980","BLCK","OLA","HKL","N","RATIO","3155"
"1980","BLCK","OLA","NET","N","RATIO","65"
"1980","BLCK","OSF","HKL","N","NOMINAL","278"
"1980","BLCK","OSF","NET","N","BORROW T-3","78"
"1980","BLCK","OSF","TWL","N","NOMINAL","23375"
"1981","BLCK","BDG","HKL","N","NOMINAL","20"
"1981","BLCK","BRG","HKL","N","NOMINAL","1419"
"1981","BLCK","CRS","HKL","N","NOMINAL","34262"
"1981","BLCK","CRS","TWL","N","NOMINAL","1179"
"1981","BLCK","ERK","HKL","N","NOMINAL","6375"
"1981","BLCK","ERK","TWL","N","ACTUAL","984857"
"1981","BLCK","ERK","TWL","N","ACTUAL (a)","1"
"1981","BLCK","MNT","HKL","N","NOMINAL","4705"
"1981","BLCK","MRO","HKL","N","NOMINAL","298"
"1981","BLCK","OLA","HKL","N","RATIO","3818"
"1981","BLCK","OLA","NET","N","RATIO","83"
"1981","BLCK","OSF","HKL","N","NOMINAL","2104"
"1981","BLCK","OSF","NET","N","NOMINAL","396"
"1981","BLCK","OSF","TWL","N","NOMINAL","4383"
"1982","BLCK","BRG","HKL","N","BORROW T-1","81687"
"1982","BLCK","BRG","HKL","N","NOMINAL","2113"
"1982","BLCK","CRS","FPT","N","NOMINAL","26"
"1982","BLCK","CRS","HKL","N","ACTUAL","38339"
"1982","BLCK","CRS","HKL","N","NOMINAL","20087"
"1982","BLCK","CRS","OTH","N","NOMINAL","133"
"1982","BLCK","CRS","TWL","N","ACTUAL","263354"
"1982","BLCK","CRS","TWL","N","NOMINAL","127919"
"1982","BLCK","ERK","HKL","N","ACTUAL","146303"
"1982","BLCK","ERK","HKL","N","NOMINAL","820"
"1982","BLCK","ERK","TWL","N","ACTUAL","126993"
"1982","BLCK","ERK","TWL","N","ACTUAL (a)","50"
"1982","BLCK","MNT","HKL","N","NOMINAL","44"
"1982","BLCK","MNT","TWL","N","NOMINAL","120"
"1982","BLCK","MRO","TWL","N","NOMINAL","8"
"1982","BLCK","OLA","HKL","N","RATIO","5765"
"1982","BLCK","OLA","NET","N","RATIO","67"
"1982","BLCK","OSF","HKL","N","NOMINAL","9379"
"1982","BLCK","OSF","NET","N","NOMINAL","112"
"1983","BLCK","BRG","HKL","N","BORROW T-1","74956"
"1983","BLCK","BRG","HKL","N","BORROW T-3","2"
"1983","BLCK","BRG","HKL","N","NOMINAL","3413"
"1983","BLCK","BRG","TWL","N","ACTUAL","6"
"1983","BLCK","BRG","TWL","N","NOMINAL","66"
"1983","BLCK","CRS","HKL","N","BORROW T-1","322149"
"1983","BLCK","CRS","HKL","N","BORROW T-1(a)","26584"
"1983","BLCK","CRS","HKL","N","BORROW T-5","2"
"1983","BLCK","CRS","HKL","N","NOMINAL","1703"
"1983","BLCK","CRS","HKL","N","NOMINAL(a)","139"
"1983","BLCK","CRS","TWL","N","BORROW T-5(a)","1"
"1983","BLCK","CRS","TWL","N","NOMINAL","6969"
"1983","BLCK","ERK","HKL","N","ACTUAL","187410"
"1983","BLCK","ERK","HKL","N","NOMINAL","361"
"1983","BLCK","ERK","HKL","N","NOMINAL(a)","380"
"1983","BLCK","ERK","TWL","N","ACTUAL","209780"
"1983","BLCK","ERK","TWL","N","ACTUAL (a)","6702"
"1983","BLCK","MNT","FPT","N","NOMINAL","2530"
"1983","BLCK","MNT","HKL","N","NOMINAL","96"
"1983","BLCK","MNT","HKL","N","NOMINAL(a)","2530"
"1983","BLCK","MRO","HKL","N","NOMINAL","252"
"1983","BLCK","OCA","OTH","N","NOMINAL","3700"
"1983","BLCK","OLA","HKL","N","RATIO","2237"
"1983","BLCK","OLA","NET","N","RATIO","31"
"1983","BLCK","OSF","HKL","N","NOMINAL","8281"
"1983","BLCK","OSF","TWL","N","NOMINAL","944"
"1984","BLCK","BDG","HKL","N","NOMINAL","17"
"1984","BLCK","BDG","NET","N","NOMINAL","27"
"1984","BLCK","BDG","TWL","N","NOMINAL","19"
"1984","BLCK","BRG","HKL","N","BORROW T-1","31969"
"1984","BLCK","BRG","HKL","N","BORROW T-3","1"
"1984","BLCK","BRG","HKL","N","NOMINAL","838"
"1984","BLCK","BRG","TWL","N","ACTUAL","1"
"1984","BLCK","CRS","HKL","N","BORROW T-1","174369"
"1984","BLCK","CRS","HKL","N","NOMINAL","525"
"1984","BLCK","CRS","HKL","N","NOMINAL(a)","200"
"1984","BLCK","CRS","TWL","N","NOMINAL","180"
"1984","BLCK","CRS","UNK","N","NOMINAL(a)","100"
"1984","BLCK","ERK","HKL","N","ACTUAL","147500"
"1984","BLCK","ERK","TWL","N","ACTUAL","69042"
"1984","BLCK","ERK","TWL","N","ACTUAL (a)","6566"
"1984","BLCK","ERK","TWL","N","BORROW T-4","1"
"1984","BLCK","MNT","HKL","N","NOMINAL","21"
"1984","BLCK","MNT","NET","N","NOMINAL","1470"
"1984","BLCK","MNT","TWL","N","ACTUAL","17"
"1984","BLCK","MNT","TWL","N","ACTUAL (a)","3"
"1984","BLCK","MRO","UNK","N","NOMINAL(a)","584"
"1984","BLCK","OLA","HKL","N","NOMINAL","1495"
"1984","BLCK","OLA","NET","N","NOMINAL","420"
"1984","BLCK","OSF","HKL","N","NOMINAL","5466"
"1984","BLCK","OSF","HKL","N","NOMINAL(a)","2777"
"1984","BLCK","OSF","NET","N","NOMINAL","4491"
"1985","BLCK","BDG","HKL","N","BORROW T-2","59184"
"1985","BLCK","BDG","HKL","N","NOMINAL","39"
"1985","BLCK","BRG","HKL","N","BORROW T-1","84014"
"1985","BLCK","BRG","HKL","N","BORROW T-3","7"
"1985","BLCK","BRG","TWL","N","ACTUAL","4149"
"1985","BLCK","BRG","TWL","N","ACTUAL (a)","6"
"1985","BLCK","CRS","HKL","N","BORROW T-1","330378"
"1985","BLCK","CRS","HKL","N","BORROW T-5","59"
