"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","BLGL","BDG","TWL","N","BORROW T-1","216"
"1978","BLGL","BRG","HKL","N","BORROW T-3","2337"
"1978","BLGL","BRG","TWL","N","ACTUAL","4034"
"1978","BLGL","MNT","HKL","N","BORROW T-3","2312"
"1978","BLGL","MNT","TWL","N","ACTUAL","208931"
"1978","BLGL","MRO","TWL","N","BORROW T-1","19376"
"1978","BLGL","OLA","HKL","N","RATIO","111614"
"1978","BLGL","OLA","NET","N","RATIO","29220"
"1978","BLGL","OSB","HKL","N","RATIO","37142"
"1978","BLGL","OSB","NET","N","RATIO","580"
"1978","BLGL","OSB","TWL","N","RATIO","21664"
"1978","BLGL","OSD","HKL","N","RATIO","390671"
"1978","BLGL","OSD","NET","N","RATIO","131124"
"1978","BLGL","OSD","OTH","N","RATIO","39"
"1978","BLGL","OSF","TWL","N","BORROW T-1","4795"
"1979","BLGL","BRG","HKL","N","BORROW T-3","1852"
"1979","BLGL","BRG","TWL","N","ACTUAL","9553"
"1979","BLGL","BRG","TWL","N","ACTUAL (a)","6"
"1979","BLGL","MRO","HKL","N","ACTUAL","46463"
"1979","BLGL","MRO","TWL","N","ACTUAL","19986"
"1979","BLGL","OLA","HKL","N","RATIO","146208"
"1979","BLGL","OLA","NET","N","RATIO","67024"
"1979","BLGL","OLA","TWL","N","RATIO","82"
"1979","BLGL","OSB","HKL","N","RATIO","67673"
"1979","BLGL","OSB","NET","N","RATIO","1964"
"1979","BLGL","OSB","TWL","N","RATIO","13929"
"1979","BLGL","OSD","HKL","N","RATIO","491519"
"1979","BLGL","OSD","NET","N","RATIO","168774"
"1979","BLGL","OSD","OTH","N","RATIO","13"
"1980","BLGL","BRG","TWL","N","ACTUAL","112412"
"1980","BLGL","BRG","TWL","N","ACTUAL (a)","4"
"1980","BLGL","MNT","HKL","N","BORROW T-6","103"
"1980","BLGL","MNT","NET","N","BORROW T-3","64"
"1980","BLGL","MNT","TWL","N","ACTUAL","39186"
"1980","BLGL","MRO","HKL","N","NOMINAL","1411"
"1980","BLGL","MRO","TWL","N","ACTUAL","23574"
