"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"2014","BLUR","BDG","FPT","N","NOMINAL","1"
"2014","BLUR","BDG","HKL","N","NOMINAL","62"
"2014","BLUR","BRG","FPT","N","NOMINAL","4"
"2014","BLUR","BRG","HKL","N","NOMINAL","143"
"2014","BLUR","BRG","HKL","Y","ACTUAL","342"
"2014","BLUR","CRS","FPT","N","NOMINAL","29"
"2014","BLUR","CRS","HKL","N","ACTUAL","2565"
"2014","BLUR","CRS","HKL","Y","NOMINAL","396"
"2014","BLUR","ERK","HKL","N","NOMINAL","1138"
"2014","BLUR","ERK","HKL","Y","NOMINAL","62"
"2014","BLUR","MNT","HKL","N","ACTUAL","2827"
"2014","BLUR","MNT","HKL","Y","NOMINAL","1097"
"2014","BLUR","MRO","FPT","Y","NOMINAL","21"
"2014","BLUR","MRO","HKL","N","ACTUAL","1632"
"2014","BLUR","OLA","HKL","N","NOMINAL","97"
"2014","BLUR","OSB","FPT","N","NOMINAL","16"
"2014","BLUR","OSB","FPT","Y","NOMINAL","5"
"2014","BLUR","OSB","HKL","N","ACTUAL","957"
"2014","BLUR","OSB","HKL","Y","NOMINAL","27"
"2014","BLUR","OSF","HKL","N","NOMINAL","1424"
"2014","BLUR","OSF","HKL","Y","ACTUAL","1268"
"2015","BLUR","BDG","FPT","N","NOMINAL","1"
"2015","BLUR","BDG","HKL","N","NOMINAL","24"
"2015","BLUR","BDG","HKL","Y","NOMINAL","3"
"2015","BLUR","BRG","FPT","Y","NOMINAL","2"
"2015","BLUR","BRG","HKL","N","ACTUAL","153"
"2015","BLUR","BRG","HKL","Y","ACTUAL","468"
"2015","BLUR","CRS","HKL","N","ACTUAL","5018"
"2015","BLUR","CRS","HKL","Y","BORROW T-2","670"
"2015","BLUR","CRS","HKL","Y","NOMINAL","750"
"2015","BLUR","ERK","HKL","N","BORROW T-1","59"
"2015","BLUR","ERK","HKL","N","NOMINAL","1365"
"2015","BLUR","MNT","HKL","N","NOMINAL","2142"
"2015","BLUR","MNT","HKL","Y","BORROW T-1","2448"
"2015","BLUR","MRO","FPT","Y","NOMINAL","59"
"2015","BLUR","MRO","HKL","N","ACTUAL","2595"
"2015","BLUR","MRO","HKL","Y","ACTUAL","621"
"2015","BLUR","OLA","HKL","N","NOMINAL","11"
"2015","BLUR","OSB","FPT","N","NOMINAL","15"
"2015","BLUR","OSB","HKL","N","ACTUAL","1834"
"2015","BLUR","OSD","HKL","N","NOMINAL","5"
"2015","BLUR","OSD","NET","N","NOMINAL","280"
"2015","BLUR","OSF","HKL","N","ACTUAL","2639"
"2015","BLUR","OSF","HKL","Y","ACTUAL","1212"
"2016","BLUR","BDG","HKL","N","NOMINAL","58"
"2016","BLUR","BDG","HKL","Y","NOMINAL","57"
