"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","BDRK","BRG","HKL","N","NOMINAL","17"
"1978","BDRK","BRG","TWL","N","NOMINAL","41350"
"1978","BDRK","MNT","HKL","N","BORROW T-3","2327"
"1978","BDRK","MNT","HKL","N","NOMINAL","5053"
"1978","BDRK","MNT","NET","N","ACTUAL","36597"
"1978","BDRK","MNT","OTH","N","NOMINAL","1000"
"1978","BDRK","MNT","TWL","N","ACTUAL","7438"
"1978","BDRK","MRO","HKL","N","BORROW T-3","108"
"1978","BDRK","MRO","HKL","N","NOMINAL","2477"
"1978","BDRK","MRO","NET","N","NOMINAL","4"
"1978","BDRK","MRO","TWL","N","BORROW T-1","2513"
"1978","BDRK","OLA","HKL","N","RATIO","616"
"1978","BDRK","OLA","NET","N","RATIO","219"
"1978","BDRK","OSB","HKL","N","RATIO","1007"
"1978","BDRK","OSB","NET","N","RATIO","137"
"1978","BDRK","OSD","NET","N","RATIO","390"
"1978","BDRK","OSF","HKL","N","NOMINAL","116"
"1978","BDRK","OSF","TWL","N","NOMINAL","2030"
"1979","BDRK","BDG","HKL","N","NOMINAL","61"
"1979","BDRK","BRG","HKL","N","NOMINAL","67"
"1979","BDRK","BRG","TWL","N","NOMINAL","15290"
"1979","BDRK","MNT","HKL","N","NOMINAL","57141"
"1979","BDRK","MNT","HKL","N","NOMINAL(a)","877"
"1979","BDRK","MNT","NET","N","ACTUAL","26125"
"1979","BDRK","MNT","NET","N","NOMINAL","128"
"1979","BDRK","MNT","OTH","N","NOMINAL","875"
"1979","BDRK","MRO","FPT","N","NOMINAL","31"
"1979","BDRK","MRO","HKL","N","ACTUAL","7266"
"1979","BDRK","MRO","HKL","N","NOMINAL","10897"
"1979","BDRK","MRO","NET","N","BORROW T-1","1616"
"1979","BDRK","MRO","NET","N","NOMINAL","57"
"1979","BDRK","OLA","HKL","N","RATIO","809"
"1979","BDRK","OLA","NET","N","RATIO","506"
"1979","BDRK","OSB","HKL","N","RATIO","1837"
"1979","BDRK","OSB","NET","N","RATIO","466"
"1979","BDRK","OSD","NET","N","RATIO","503"
"1979","BDRK","OSF","HKL","N","NOMINAL","125"
"1979","BDRK","OSF","NET","N","BORROW T-1","1281"
"1979","BDRK","OSF","TWL","N","NOMINAL","5331"
"1980","BDRK","BDG","HKL","N","NOMINAL","244"
"1980","BDRK","BRG","HKL","N","NOMINAL","86"
"1980","BDRK","MNT","HKL","N","ACTUAL","39239"
"1980","BDRK","MNT","HKL","N","NOMINAL","57292"
"1980","BDRK","MNT","NET","N","BORROW T-3","65"
"1980","BDRK","MNT","NET","N","NOMINAL","654"
"1980","BDRK","MRO","HKL","N","NOMINAL","10702"
"1980","BDRK","MRO","NET","N","BORROW T-3","11"
"1980","BDRK","MRO","NET","N","NOMINAL","4207"
"1980","BDRK","MRO","TWL","N","ACTUAL","656"
"1980","BDRK","OLA","HKL","N","RATIO","770"
"1980","BDRK","OLA","NET","N","RATIO","468"
"1980","BDRK","OSB","HKL","N","RATIO","1670"
"1980","BDRK","OSB","NET","N","RATIO","381"
"1980","BDRK","OSD","NET","N","RATIO","181"
"1980","BDRK","OSF","HKL","N","NOMINAL","1678"
"1980","BDRK","OSF","NET","N","NOMINAL","126"
"1981","BDRK","BDG","HKL","N","NOMINAL","146"
"1981","BDRK","BDG","NET","N","NOMINAL","2"
"1981","BDRK","BDG","TWL","N","BORROW T-1","2880"
"1981","BDRK","BRG","HKL","N","NOMINAL","4"
"1981","BDRK","MNT","HKL","N","NOMINAL","66668"
"1981","BDRK","MNT","NET","N","NOMINAL","2098"
"1981","BDRK","MNT","OTH","N","NOMINAL","8050"
"1981","BDRK","MNT","TWL","N","NOMINAL","55"
"1981","BDRK","MRO","HKL","N","ACTUAL","1885"
"1981","BDRK","MRO","HKL","N","NOMINAL","9827"
"1981","BDRK","MRO","NET","N","NOMINAL","425"
"1981","BDRK","OLA","HKL","N","RATIO","932"
"1981","BDRK","OLA","NET","N","RATIO","600"
"1981","BDRK","OSB","HKL","N","RATIO","1452"
"1981","BDRK","OSB","NET","N","RATIO","365"
"1981","BDRK","OSD","NET","N","RATIO","961"
"1981","BDRK","OSF","HKL","N","NOMINAL","554"
"1981","BDRK","OSF","NET","N","NOMINAL","29"
"1981","BDRK","OSF","TWL","N","ACTUAL","54854"
"1982","BDRK","BDG","HKL","N","NOMINAL","1905"
"1982","BDRK","BRG","HKL","N","BORROW T-1","12062"
"1982","BDRK","BRG","HKL","N","NOMINAL","573"
"1982","BDRK","CRS","HKL","N","ACTUAL","17083"
"1982","BDRK","ERK","HKL","N","ACTUAL","21604"
"1982","BDRK","MNT","HKL","N","NOMINAL","68237"
"1982","BDRK","MNT","NET","N","NOMINAL","425"
"1982","BDRK","MNT","OTH","N","NOMINAL","5575"
"1982","BDRK","MNT","TWL","N","NOMINAL","100"
"1982","BDRK","MRO","FPT","N","NOMINAL","50"
"1982","BDRK","MRO","HKL","N","NOMINAL","5604"
"1982","BDRK","MRO","NET","N","NOMINAL","545"
"1982","BDRK","MRO","OTH","N","NOMINAL","556"
"1982","BDRK","OLA","HKL","N","RATIO","1407"
"1982","BDRK","OLA","NET","N","RATIO","482"
"1982","BDRK","OSB","HKL","N","RATIO","2294"
"1982","BDRK","OSB","NET","N","RATIO","117"
"1982","BDRK","OSD","NET","N","RATIO","984"
"1982","BDRK","OSF","HKL","N","NOMINAL","326"
"1982","BDRK","OSF","NET","N","NOMINAL","60"
"1983","BDRK","BDG","HKL","N","NOMINAL","1023"
"1983","BDRK","BDG","TWL","N","NOMINAL","3"
"1983","BDRK","BDG","UNK","N","NOMINAL(a)","126"
"1983","BDRK","BRG","HKL","N","BORROW T-1","18153"
"1983","BDRK","BRG","HKL","N","BORROW T-3","4"
"1983","BDRK","BRG","HKL","N","NOMINAL","563"
"1983","BDRK","BRG","TWL","N","ACTUAL","11"
"1983","BDRK","CRS","HKL","N","BORROW T-1","57980"
"1983","BDRK","CRS","HKL","N","BORROW T-1(a)","1885"
"1983","BDRK","CRS","HKL","N","BORROW T-5","4"
"1983","BDRK","CRS","TWL","N","BORROW T-5(a)","3"
"1983","BDRK","ERK","HKL","N","ACTUAL","22472"
"1983","BDRK","MNT","HKL","N","BORROW T-3","5"
"1983","BDRK","MNT","HKL","N","NOMINAL","38878"
"1983","BDRK","MNT","HKL","N","NOMINAL(a)","7533"
"1983","BDRK","MNT","NET","N","ACTUAL","1128"
"1983","BDRK","MNT","NET","N","NOMINAL","228"
"1983","BDRK","MNT","TWL","N","NOMINAL","237"
"1983","BDRK","MRO","HKL","N","ACTUAL","244"
"1983","BDRK","MRO","HKL","N","NOMINAL","937"
"1983","BDRK","OLA","HKL","N","RATIO","545"
"1983","BDRK","OLA","NET","N","RATIO","250"
"1983","BDRK","OSB","HKL","N","RATIO","1679"
"1983","BDRK","OSB","NET","N","RATIO","185"
"1983","BDRK","OSD","NET","N","RATIO","952"
"1983","BDRK","OSF","HKL","N","NOMINAL","5123"
"1983","BDRK","OSF","NET","N","BORROW T-1","389"
"1983","BDRK","OSF","NET","N","NOMINAL","82"
"1983","BDRK","OSF","TWL","N","NOMINAL","16"
"1984","BDRK","BDG","HKL","N","NOMINAL","696"
"1984","BDRK","BDG","NET","N","NOMINAL","55"
"1984","BDRK","BDG","UNK","N","NOMINAL(a)","181"
"1984","BDRK","BRG","HKL","N","BORROW T-1","423"
"1984","BDRK","BRG","HKL","N","BORROW T-3","2"
"1984","BDRK","BRG","TWL","N","ACTUAL","2"
"1984","BDRK","CRS","HKL","N","BORROW T-1","21311"
"1984","BDRK","ERK","HKL","N","ACTUAL","8180"
"1984","BDRK","ERK","TWL","N","BORROW T-4","2"
"1984","BDRK","MNT","HKL","N","NOMINAL","6941"
"1984","BDRK","MNT","HKL","N","NOMINAL(a)","1407"
"1984","BDRK","MNT","NET","N","BORROW T-3","145"
"1984","BDRK","MNT","NET","N","BORROW T-3(a)","2"
"1984","BDRK","MNT","NET","N","NOMINAL","2604"
"1984","BDRK","MRO","HKL","N","NOMINAL","542"
"1984","BDRK","MRO","NET","N","NOMINAL","114"
"1984","BDRK","MRO","TWL","N","NOMINAL","31"
"1984","BDRK","OLA","HKL","N","NOMINAL","253"
"1984","BDRK","OLA","NET","N","ACTUAL","164"
"1984","BDRK","OLA","NET","N","ACTUAL (a)","15"
"1984","BDRK","OSB","HKL","N","ACTUAL","84"
"1984","BDRK","OSB","HKL","N","NOMINAL","100"
"1984","BDRK","OSB","NET","N","ACTUAL","595"
"1984","BDRK","OSD","NET","N","ACTUAL","589"
"1984","BDRK","OSD","NET","N","ACTUAL (a)","9"
"1984","BDRK","OSF","HKL","N","NOMINAL","13112"
"1984","BDRK","OSF","HKL","N","NOMINAL(a)","1716"
"1984","BDRK","OSF","TWL","N","NOMINAL","489"
