"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","COPP","ERK","HKL","N","BORROW T-3","32"
"1978","COPP","MNT","HKL","N","BORROW T-4","269"
"1978","COPP","MNT","TWL","N","ACTUAL","412"
"1978","COPP","MRO","HKL","N","BORROW T-3","1733"
"1978","COPP","MRO","HKL","N","NOMINAL","800"
"1978","COPP","MRO","TWL","N","BORROW T-1","224"
"1978","COPP","OSB","HKL","N","RATIO","5005"
"1978","COPP","OSB","NET","N","RATIO","261"
"1978","COPP","OSB","TWL","N","RATIO","365"
"1978","COPP","OSD","HKL","N","RATIO","177"
"1978","COPP","OSF","HKL","N","BORROW T-3","1796"
"1978","COPP","OSF","HKL","N","NOMINAL","12"
"1979","COPP","ERK","HKL","N","BORROW T-3","17"
"1979","COPP","MNT","HKL","N","BORROW T-1","306"
"1979","COPP","MRO","HKL","N","ACTUAL","5561"
"1979","COPP","OLA","TWL","N","RATIO","1"
"1979","COPP","OSB","HKL","N","RATIO","9120"
"1979","COPP","OSB","NET","N","RATIO","888"
"1979","COPP","OSB","TWL","N","RATIO","234"
"1979","COPP","OSD","HKL","N","RATIO","222"
"1979","COPP","OSF","HKL","N","NOMINAL","45"
"1980","COPP","BDG","HKL","N","BORROW T-1","6844"
"1980","COPP","BDG","HKL","N","NOMINAL","16"
"1980","COPP","BRG","HKL","N","BORROW T-2","30792"
"1980","COPP","ERK","HKL","N","BORROW T-3","6"
"1980","COPP","ERK","TWL","N","ACTUAL","1990"
"1980","COPP","ERK","TWL","N","ACTUAL (a)","2"
"1980","COPP","MNT","HKL","N","NOMINAL","809"
"1980","COPP","MRO","HKL","N","ACTUAL","2014"
"1980","COPP","OSB","HKL","N","RATIO","8288"
"1980","COPP","OSB","NET","N","RATIO","726"
"1980","COPP","OSB","TWL","N","RATIO","41"
"1980","COPP","OSD","HKL","N","RATIO","320"
"1980","COPP","OSF","HKL","N","ACTUAL","41955"
"1980","COPP","OSF","HKL","N","ACTUAL (a)","322"
"1980","COPP","OSF","NET","N","BORROW T-3","34"
"1981","COPP","MNT","HKL","N","BORROW T-4","187"
"1981","COPP","MRO","FPT","N","NOMINAL","5"
"1981","COPP","MRO","HKL","N","ACTUAL","16629"
"1981","COPP","MRO","HKL","N","NOMINAL","3753"
"1981","COPP","MRO","NET","N","NOMINAL","116"
"1981","COPP","OSB","HKL","N","RATIO","7208"
"1981","COPP","OSB","NET","N","RATIO","695"
"1981","COPP","OSB","TWL","N","RATIO","64"
