"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","CWCD","BDG","TWL","N","BORROW T-1","2426"
"1978","CWCD","BRG","TWL","N","BORROW T-2","8351"
"1978","CWCD","MNT","HKL","N","BORROW T-4","2922"
"1978","CWCD","MNT","TWL","N","ACTUAL","205"
"1978","CWCD","MRO","HKL","N","BORROW T-3","18709"
"1978","CWCD","MRO","HKL","N","NOMINAL","90"
"1978","CWCD","MRO","TWL","N","BORROW T-1","161"
"1978","CWCD","OLA","HKL","N","RATIO","88211"
"1978","CWCD","OLA","NET","N","RATIO","50347"
"1978","CWCD","OLA","OTH","N","RATIO","383"
"1978","CWCD","OSB","HKL","N","RATIO","22316"
"1978","CWCD","OSB","NET","N","RATIO","2925"
"1978","CWCD","OSB","TWL","N","RATIO","122160"
"1978","CWCD","OSD","FPT","N","RATIO","47"
"1978","CWCD","OSD","HKL","N","RATIO","6289"
"1978","CWCD","OSD","NET","N","RATIO","33102"
"1978","CWCD","OSF","HKL","N","NOMINAL","16"
"1978","CWCD","OSF","TWL","N","ACTUAL","21861"
"1979","CWCD","MNT","HKL","N","ACTUAL","4801"
"1979","CWCD","MNT","HKL","N","BORROW T-1","3320"
"1979","CWCD","MNT","TWL","N","ACTUAL","5586"
"1979","CWCD","MRO","HKL","N","ACTUAL","55239"
"1979","CWCD","MRO","TWL","N","NOMINAL","1646"
"1979","CWCD","OLA","HKL","N","RATIO","115551"
"1979","CWCD","OLA","NET","N","RATIO","115480"
"1979","CWCD","OLA","OTH","N","RATIO","1625"
"1979","CWCD","OLA","TWL","N","RATIO","473"
"1979","CWCD","OSB","HKL","N","RATIO","40660"
"1979","CWCD","OSB","NET","N","RATIO","9877"
"1979","CWCD","OSB","TWL","N","RATIO","78548"
"1979","CWCD","OSD","FPT","N","RATIO","748"
"1979","CWCD","OSD","HKL","N","RATIO","7913"
"1979","CWCD","OSD","NET","N","RATIO","42606"
"1979","CWCD","OSF","HKL","N","NOMINAL","62"
"1979","CWCD","OSF","TWL","N","NOMINAL","160"
"1980","CWCD","BDG","HKL","N","NOMINAL","20"
"1980","CWCD","MNT","HKL","N","BORROW T-1","5310"
"1980","CWCD","MNT","HKL","N","BORROW T-6","8"
"1980","CWCD","MNT","HKL","N","NOMINAL","14"
"1980","CWCD","MNT","TWL","N","NOMINAL","90"
"1980","CWCD","MRO","HKL","N","ACTUAL","104202"
"1980","CWCD","MRO","HKL","N","NOMINAL","3493"
"1980","CWCD","MRO","TWL","N","NOMINAL","211"
"1980","CWCD","OLA","HKL","N","RATIO","110026"
"1980","CWCD","OLA","NET","N","RATIO","106911"
"1980","CWCD","OLA","OTH","N","RATIO","10182"
