"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"2016","DEAC","BRG","HKL","Y","ACTUAL","3"
"2016","DEAC","CRS","HKL","N","ACTUAL","270"
"2016","DEAC","ERK","HKL","N","BORROW T-1","5"
"2016","DEAC","MRO","HKL","Y","ACTUAL","535"
"2017","DEAC","BRG","HKL","Y","ACTUAL","40"
"2017","DEAC","CRS","HKL","N","ACTUAL","7058"
"2017","DEAC","MRO","HKL","N","ACTUAL","1345"
"2017","DEAC","MRO","HKL","Y","ACTUAL","108"
"2018","DEAC","CRS","HKL","N","ACTUAL","4076"
"2018","DEAC","ERK","HKL","N","BORROW T-1","2234"
"2018","DEAC","MRO","HKL","N","ACTUAL","156"
"2019","DEAC","CRS","HKL","N","ACTUAL","5920"
"2019","DEAC","MNT","HKL","N","BORROW T-1","1316"
"2019","DEAC","MRO","HKL","N","ACTUAL","994"
"2019","DEAC","OSF","HKL","N","BORROW T-2","1472"
