"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"2004","UDNR","CRS","HKL","N","NOMINAL","55"
"2004","UDNR","MNT","HKL","N","NOMINAL","302"
"2005","UDNR","CRS","HKL","N","NOMINAL","6"
"2005","UDNR","OSD","HKL","N","NOMINAL","192"
"2006","UDNR","BDG","HKL","N","NOMINAL","500"
"2006","UDNR","OSD","FPT","Y","NOMINAL","12"
"2006","UDNR","OSD","HKL","N","NOMINAL","183"
"2006","UDNR","OSD","HKL","Y","NOMINAL","97"
"2007","UDNR","BDG","HKL","N","NOMINAL","432"
"2007","UDNR","MNT","HKL","N","NOMINAL","133"
"2007","UDNR","OSD","FPT","N","NOMINAL","21"
"2007","UDNR","OSD","FPT","Y","NOMINAL","22"
"2007","UDNR","OSD","HKL","N","NOMINAL","230"
"2007","UDNR","OSD","HKL","Y","NOMINAL","2"
"2008","UDNR","OSB","HKL","N","NOMINAL","25"
"2008","UDNR","OSD","FPT","N","NOMINAL","6"
"2008","UDNR","OSD","HKL","N","NOMINAL","62"
"2009","UDNR","OLA","HKL","N","NOMINAL","360"
"2015","UDNR","OSB","HKL","N","NOMINAL","21"
"2015","UDNR","OSB","OTH","N","NOMINAL","11"
"2015","UDNR","OSD","HKL","N","NOMINAL","24"
"2017","UDNR","BDG","HKL","N","NOMINAL","265"
"2017","UDNR","OSD","HKL","N","NOMINAL","113"
"2018","UDNR","OSD","FPT","N","NOMINAL","20"
"2018","UDNR","OSD","HKL","N","NOMINAL","192"
"2018","UDNR","OSD","NET","N","NOMINAL","2"
"2019","UDNR","OSD","FPT","N","NOMINAL","44"
"2019","UDNR","OSD","HKL","N","NOMINAL","75"
"2019","UDNR","OSD","NET","N","NOMINAL","8"
"2019","UDNR","OSF","HKL","N","NOMINAL","120"
