"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","RSTN","ERK","HKL","N","BORROW T-3","6"
"1978","RSTN","ERK","TWL","N","ACTUAL","47"
"1979","RSTN","CRS","TWL","N","BORROW T-1","33"
"1979","RSTN","ERK","HKL","N","BORROW T-3","2"
"1979","RSTN","ERK","TWL","N","ACTUAL","244"
"1982","RSTN","BRG","NET","N","BORROW T-3","1"
"1982","RSTN","BRG","TWL","N","ACTUAL","2705"
"1982","RSTN","BRG","TWL","N","BORROW T-1","101"
"1982","RSTN","CRS","TWL","N","ACTUAL","157"
"1982","RSTN","ERK","TWL","N","ACTUAL","3642"
"1982","RSTN","ERK","TWL","N","BORROW T-6","19"
"1983","RSTN","ERK","TWL","N","ACTUAL","4532"
"1983","RSTN","ERK","TWL","N","ACTUAL (a)","173"
"1983","RSTN","MNT","NET","N","BORROW T-3","1"
"1983","RSTN","MNT","TWL","N","ACTUAL","8"
"1983","RSTN","MRO","NET","N","BORROW T-3","98"
"1984","RSTN","ERK","TWL","N","ACTUAL","6328"
"1984","RSTN","ERK","TWL","N","ACTUAL (a)","18"
"1984","RSTN","MRO","NET","N","BORROW T-3","35"
"1984","RSTN","OSD","NET","N","ACTUAL","88"
"1985","RSTN","BDG","TWL","N","BORROW T-2","3"
"1985","RSTN","BRG","TWL","N","BORROW T-1","15"
"1985","RSTN","CRS","HKL","N","BORROW T-3","3"
"1985","RSTN","CRS","TWL","N","ACTUAL","319"
"1985","RSTN","ERK","TWL","N","ACTUAL","20238"
"1985","RSTN","MNT","HKL","N","BORROW T-1","203"
"1985","RSTN","MNT","NET","N","BORROW T-3","2"
"1985","RSTN","MNT","TWL","N","ACTUAL","414"
"1985","RSTN","MRO","HKL","N","ACTUAL","1333"
"1985","RSTN","MRO","NET","N","BORROW T-3","89"
"1985","RSTN","OLA","HKL","N","ACTUAL","89"
"1985","RSTN","OLA","NET","N","ACTUAL","266"
"1985","RSTN","OSD","NET","N","ACTUAL","66"
"1986","RSTN","BDG","TWL","N","BORROW T-2","9"
"1986","RSTN","CRS","HKL","N","BORROW T-3","118"
"1986","RSTN","CRS","TWL","N","ACTUAL","128"
"1986","RSTN","CRS","TWL","N","BORROW T-4","32"
"1986","RSTN","ERK","HKL","N","BORROW T-3","33"
"1986","RSTN","ERK","NET","N","BORROW T-3","1"
"1986","RSTN","ERK","TWL","N","ACTUAL","4902"
"1986","RSTN","ERK","TWL","N","ACTUAL (a)","6"
"1986","RSTN","MNT","HKL","N","BORROW T-3","5"
