"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"2014","REYE","BRG","HKL","N","ACTUAL","5024"
"2014","REYE","CRS","TWL","N","ACTUAL","74"
"2014","REYE","ERK","HKL","N","ACTUAL","34"
"2014","REYE","ERK","TWL","N","ACTUAL","488"
"2015","REYE","BRG","HKL","N","ACTUAL","150"
"2015","REYE","BRG","TWL","N","ACTUAL","262"
"2015","REYE","ERK","HKL","N","ACTUAL","210"
"2015","REYE","ERK","TWL","N","ACTUAL","356"
"2016","REYE","BRG","HKL","N","ACTUAL","303"
"2016","REYE","BRG","TWL","N","ACTUAL","13"
"2016","REYE","CRS","FPT","N","NOMINAL","9"
"2016","REYE","CRS","TWL","N","ACTUAL","89"
"2016","REYE","ERK","HKL","N","ACTUAL","5582"
"2016","REYE","ERK","HKL","N","NOMINAL","107"
"2016","REYE","ERK","TWL","N","ACTUAL","101"
"2016","REYE","MRO","HKL","N","NOMINAL","5"
"2017","REYE","BRG","HKL","N","NOMINAL","27"
"2017","REYE","BRG","TWL","N","ACTUAL","50"
"2017","REYE","CRS","TWL","N","ACTUAL","97"
"2017","REYE","ERK","TWL","N","ACTUAL","387"
"2018","REYE","BRG","HKL","N","BORROW T-1","7"
"2018","REYE","BRG","HKL","N","NOMINAL","28"
"2018","REYE","BRG","TWL","N","ACTUAL","28"
"2018","REYE","BRG","TWL","N","BORROW T-1","95"
"2018","REYE","BRG","TWL","N","NOMINAL","11"
"2018","REYE","CRS","HKL","N","NOMINAL","34"
"2018","REYE","ERK","HKL","N","ACTUAL","78"
"2018","REYE","ERK","HKL","N","NOMINAL","235"
"2018","REYE","ERK","TWL","N","ACTUAL","1024"
"2018","REYE","MRO","HKL","N","NOMINAL","13"
"2019","REYE","BRG","HKL","N","NOMINAL","1277"
"2019","REYE","BRG","TWL","N","ACTUAL","72"
"2019","REYE","ERK","HKL","N","NOMINAL","398"
"2019","REYE","ERK","TWL","N","ACTUAL","1273"
