"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1981","BRRK","MRO","HKL","N","ACTUAL","4611"
"1985","BRRK","BRG","TWL","N","ACTUAL","107"
"1986","BRRK","CRS","TWL","N","BORROW T-4","1"
"1986","BRRK","ERK","HKL","N","BORROW T-3","1"
"1986","BRRK","ERK","TWL","N","ACTUAL","243"
"1986","BRRK","OSF","HKL","N","BORROW T-3","215"
"1986","BRRK","OSF","HKL","N","BORROW T-3(a)","8"
"1987","BRRK","BDG","NET","N","BORROW T-1","63"
"1987","BRRK","BDG","TWL","N","BORROW T-2","139"
"1987","BRRK","BRG","TWL","N","BORROW T-1","55"
"1987","BRRK","CRS","TWL","N","BORROW T-1","9"
"1987","BRRK","ERK","HKL","N","BORROW T-3","1"
"1987","BRRK","ERK","TWL","N","ACTUAL","1997"
"1987","BRRK","MNT","NET","N","BORROW T-1","14033"
"1987","BRRK","MNT","NET","N","BORROW T-1(a)","581"
"1987","BRRK","OSF","NET","N","ACTUAL","4616"
"1987","BRRK","OSF","NET","N","ACTUAL (a)","19"
"1988","BRRK","ERK","HKL","N","BORROW T-3","1"
"1988","BRRK","OSF","HKL","N","BORROW T-3(a)","1"
"1989","BRRK","BRG","TWL","N","BORROW T-4","1029"
"1989","BRRK","CRS","HKL","N","BORROW T-3","145"
"1989","BRRK","ERK","HKL","N","BORROW T-3","153"
"1989","BRRK","ERK","TWL","N","BORROW T-5","61"
"1990","BRRK","BRG","HKL","N","BORROW T-4","63"
"1990","BRRK","BRG","TWL","N","BORROW T-4","1297"
"1990","BRRK","CRS","HKL","N","BORROW T-3","287"
"1990","BRRK","ERK","HKL","N","BORROW T-3","482"
"1990","BRRK","ERK","TWL","N","ACTUAL","3995"
"1990","BRRK","ERK","TWL","N","BORROW T-5","25"
"1991","BRRK","BDG","TWL","N","ACTUAL","528"
"1991","BRRK","BRG","TWL","N","BORROW T-1","1088"
"1991","BRRK","CRS","TWL","N","ACTUAL","1162"
"1991","BRRK","ERK","TWL","N","BORROW T-2","25"
"1992","BRRK","BRG","TWL","N","ACTUAL","3636"
"1992","BRRK","CRS","TWL","N","ACTUAL","202"
"1992","BRRK","ERK","HKL","N","ACTUAL","2364"
"1994","BRRK","BRG","TWL","N","ACTUAL","259"
"1994","BRRK","ERK","HKL","N","ACTUAL","14848"
"1994","BRRK","ERK","HKL","N","BORROW T-6","389"
"1994","BRRK","ERK","TWL","N","ACTUAL","14178"
"1994","BRRK","ERK","TWL","N","ACTUAL (a)","5"
"1995","BRRK","CRS","TWL","N","ACTUAL","6"
"1995","BRRK","ERK","TWL","N","ACTUAL","10934"
"1995","BRRK","MNT","HKL","N","ACTUAL","1434"
"1995","BRRK","MNT","TWL","N","ACTUAL","50"
"1995","BRRK","MRO","NET","N","ACTUAL","911"
"1995","BRRK","OSF","HKL","N","BORROW T-1","106"
"1996","BRRK","BRG","TWL","N","ACTUAL","884"
"1996","BRRK","CRS","TWL","N","ACTUAL","1008"
"1996","BRRK","ERK","HKL","N","BORROW T-3","635"
"1996","BRRK","ERK","TWL","N","ACTUAL","2275"
"1996","BRRK","MNT","HKL","N","ACTUAL","880"
"1996","BRRK","MNT","NET","N","BORROW T-3","2"
"1996","BRRK","OSF","HKL","N","BORROW T-1","163"
"1997","BRRK","BRG","TWL","N","ACTUAL","473"
"1997","BRRK","ERK","HKL","N","ACTUAL","796"
"1998","BRRK","ERK","HKL","N","BORROW T-3","34"
"1998","BRRK","MNT","HKL","N","ACTUAL","1186"
"1998","BRRK","MRO","TWL","N","ACTUAL","3977"
"1998","BRRK","OSF","HKL","N","BORROW T-1","600"
"1998","BRRK","OSF","NET","N","BORROW T-4","380"
"1999","BRRK","BDG","TWL","N","ACTUAL","223"
"1999","BRRK","BRG","TWL","N","BORROW T-1","1084"
"1999","BRRK","ERK","TWL","N","ACTUAL","877"
"2000","BRRK","CRS","TWL","N","ACTUAL","3042"
"2000","BRRK","ERK","HKL","N","BORROW T-3","335"
"2000","BRRK","ERK","TWL","N","ACTUAL","2158"
"2000","BRRK","MNT","HKL","N","ACTUAL","1879"
"2001","BRRK","BDG","TWL","N","ACTUAL","302"
"2001","BRRK","BRG","HKL","N","ACTUAL","4040"
