"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","SQRS","OLA","HKL","N","RATIO","223"
"1978","SQRS","OSD","NET","N","RATIO","167"
"1979","SQRS","OLA","HKL","N","RATIO","292"
"1979","SQRS","OSD","NET","N","RATIO","214"
"1980","SQRS","OLA","HKL","N","RATIO","278"
"1980","SQRS","OSD","NET","N","RATIO","77"
"1981","SQRS","OLA","HKL","N","RATIO","337"
"1981","SQRS","OSD","NET","N","RATIO","411"
"1982","SQRS","OLA","HKL","N","RATIO","510"
"1982","SQRS","OSD","NET","N","RATIO","420"
"1983","SQRS","OLA","HKL","N","RATIO","197"
"1983","SQRS","OSD","NET","N","RATIO","407"
"1984","SQRS","OSD","NET","N","ACTUAL","545"
"1984","SQRS","OSD","NET","N","ACTUAL (a)","12"
"1985","SQRS","OLA","HKL","N","ACTUAL","560"
"1985","SQRS","OSD","NET","N","ACTUAL","855"
"1985","SQRS","OSD","NET","N","ACTUAL (a)","9"
"1986","SQRS","BDG","TWL","N","BORROW T-2","3"
"1986","SQRS","MNT","TWL","N","ACTUAL","462"
"1986","SQRS","MNT","TWL","N","ACTUAL (a)","4"
"1986","SQRS","OSF","TWL","N","BORROW T-1","81"
"1988","SQRS","MNT","HKL","N","BORROW T-3","1"
"1992","SQRS","OSD","NET","N","ACTUAL","1"
"1993","SQRS","MNT","TWL","N","ACTUAL","408"
"1994","SQRS","CRS","TWL","N","NOMINAL","1"
"1994","SQRS","ERK","TWL","N","NOMINAL","671"
"1994","SQRS","MNT","HKL","N","ACTUAL","84"
"1994","SQRS","MRO","HKL","N","ACTUAL","68"
"1994","SQRS","OSF","TWL","N","NOMINAL","741"
"1995","SQRS","BDG","TWL","N","ACTUAL","334"
"1995","SQRS","MNT","TWL","N","NOMINAL","9"
"1995","SQRS","OSD","HKL","N","ACTUAL","143"
"1995","SQRS","OSF","TWL","N","NOMINAL","85"
"1997","SQRS","BDG","TWL","N","BORROW T-1","18"
"1997","SQRS","MNT","TWL","N","ACTUAL","165"
"1997","SQRS","OSF","TWL","N","ACTUAL","16"
"1998","SQRS","CRS","TWL","N","ACTUAL","1294"
"1998","SQRS","OLA","HKL","N","ACTUAL","50"
"1998","SQRS","OSD","HKL","N","BORROW T-1","9"
"1999","SQRS","MNT","TWL","N","NOMINAL","23"
"1999","SQRS","OLA","HKL","N","ACTUAL","8"
"1999","SQRS","OSD","HKL","N","BORROW T-1","20"
"2000","SQRS","CRS","TWL","N","BORROW T-3","9"
"2000","SQRS","OLA","HKL","N","BORROW T-3","1"
"2003","SQRS","OLA","HKL","N","NOMINAL","424"
"2004","SQRS","BRG","HKL","N","NOMINAL","2"
"2004","SQRS","OLA","HKL","N","NOMINAL","261"
"2004","SQRS","OSD","HKL","N","NOMINAL","10"
"2005","SQRS","OLA","HKL","N","NOMINAL","58"
"2005","SQRS","OSD","FPT","N","NOMINAL","25"
"2005","SQRS","OSD","HKL","N","NOMINAL","4"
"2008","SQRS","MNT","TWL","N","ACTUAL","427"
"2008","SQRS","OLA","HKL","N","ACTUAL","92"
"2008","SQRS","OSB","HKL","N","NOMINAL","1"
"2009","SQRS","OLA","HKL","N","ACTUAL","129"
"2009","SQRS","OSD","HKL","N","NOMINAL","10"
"2010","SQRS","OLA","HKL","N","ACTUAL","91"
"2010","SQRS","OSB","HKL","N","ACTUAL","23"
"2010","SQRS","OSD","HKL","N","NOMINAL","12"
"2011","SQRS","OLA","HKL","N","NOMINAL","1"
"2011","SQRS","OSB","HKL","N","NOMINAL","1"
"2012","SQRS","MNT","HKL","N","NOMINAL","3"
"2012","SQRS","OLA","HKL","N","NOMINAL","349"
"2012","SQRS","OSB","HKL","N","NOMINAL","57"
"2013","SQRS","OLA","HKL","N","NOMINAL","111"
"2013","SQRS","OSB","HKL","N","NOMINAL","13"
"2013","SQRS","OSD","HKL","N","NOMINAL","4"
"2014","SQRS","BRG","TWL","N","NOMINAL","2"
"2014","SQRS","OLA","HKL","N","ACTUAL","140"
"2014","SQRS","OLA","HKL","N","NOMINAL","130"
"2014","SQRS","OSB","HKL","N","NOMINAL","17"
"2014","SQRS","OSD","HKL","N","NOMINAL","4"
"2015","SQRS","MRO","NET","N","NOMINAL","1"
"2015","SQRS","OLA","HKL","N","ACTUAL","84"
"2015","SQRS","OSB","HKL","N","NOMINAL","50"
"2015","SQRS","OSD","HKL","N","NOMINAL","6"
"2016","SQRS","OLA","HKL","N","ACTUAL","17"
"2016","SQRS","OSB","HKL","N","ACTUAL","29"
"2016","SQRS","OSD","HKL","N","NOMINAL","51"
"2017","SQRS","MNT","HKL","Y","NOMINAL","5"
"2017","SQRS","OLA","HKL","N","NOMINAL","138"
"2017","SQRS","OSB","HKL","N","ACTUAL","23"
"2017","SQRS","OSD","FPT","N","NOMINAL","12"
"2017","SQRS","OSD","HKL","N","NOMINAL","91"
"2018","SQRS","MRO","HKL","N","NOMINAL","2"
"2018","SQRS","OLA","HKL","N","NOMINAL","10"
"2018","SQRS","OSD","HKL","N","NOMINAL","141"
"2019","SQRS","OLA","HKL","N","NOMINAL","32"
"2019","SQRS","OSB","HKL","N","NOMINAL","4"
"2019","SQRS","OSD","HKL","N","NOMINAL","69"
