"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","STRK","BDG","TWL","N","BORROW T-1","1190"
"1978","STRK","BRG","HKL","N","BORROW T-3","2237"
"1978","STRK","BRG","TWL","N","ACTUAL","22218"
"1978","STRK","BRG","TWL","N","ACTUAL (a)","1"
"1978","STRK","CRS","HKL","N","BORROW T-3","904"
"1978","STRK","CRS","TWL","N","BORROW T-1","24"
"1978","STRK","ERK","HKL","N","BORROW T-3","201"
"1978","STRK","ERK","TWL","N","ACTUAL","3137"
"1978","STRK","ERK","TWL","N","ACTUAL (a)","7"
"1978","STRK","MNT","HKL","N","BORROW T-3","2029"
"1978","STRK","MNT","TWL","N","ACTUAL","1726"
"1978","STRK","MRO","TWL","N","BORROW T-1","1758"
"1978","STRK","OSF","HKL","N","BORROW T-3","183"
"1979","STRK","BRG","HKL","N","BORROW T-3","1772"
"1979","STRK","BRG","TWL","N","ACTUAL","54598"
"1979","STRK","BRG","TWL","N","ACTUAL (a)","25"
"1979","STRK","CRS","HKL","N","BORROW T-3","898"
"1979","STRK","CRS","TWL","N","BORROW T-1","4628"
"1979","STRK","ERK","HKL","N","BORROW T-3","107"
"1979","STRK","ERK","TWL","N","ACTUAL","9239"
"1979","STRK","ERK","TWL","N","ACTUAL (a)","8"
"1979","STRK","MNT","TWL","N","ACTUAL","19287"
"1979","STRK","MRO","TWL","N","ACTUAL","1103"
"1979","STRK","MRO","TWL","N","BORROW T-1","8291"
"1979","STRK","OSF","HKL","N","BORROW T-6","5"
"1980","STRK","BRG","TWL","N","ACTUAL","72835"
"1980","STRK","BRG","TWL","N","ACTUAL (a)","5"
"1980","STRK","CRS","HKL","N","BORROW T-3","690"
"1980","STRK","CRS","TWL","N","ACTUAL","4455"
"1980","STRK","CRS","TWL","N","ACTUAL (a)","5"
"1980","STRK","ERK","HKL","N","BORROW T-3","37"
"1980","STRK","MNT","HKL","N","BORROW T-6","48"
"1980","STRK","MNT","NET","N","BORROW T-3","56"
"1980","STRK","MNT","TWL","N","ACTUAL","20945"
"1980","STRK","MNT","TWL","N","ACTUAL (a)","1"
"1980","STRK","MRO","TWL","N","ACTUAL","1439"
"1980","STRK","OSF","HKL","N","BORROW T-6","9"
"1980","STRK","OSF","NET","N","BORROW T-3","3"
"1980","STRK","OSF","TWL","N","ACTUAL","15496"
"1980","STRK","OSF","TWL","N","ACTUAL (a)","75"
"1981","STRK","BDG","TWL","N","BORROW T-1","2880"
"1981","STRK","BRG","TWL","N","ACTUAL","5571"
"1981","STRK","ERK","TWL","N","ACTUAL","700"
"1981","STRK","MNT","HKL","N","BORROW T-3","564"
"1981","STRK","MNT","NET","N","BORROW T-3","82"
"1981","STRK","OSF","TWL","N","ACTUAL","54854"
"1982","STRK","BDG","TWL","N","BORROW T-1","743"
"1982","STRK","BRG","NET","N","BORROW T-3","3"
"1982","STRK","BRG","TWL","N","ACTUAL","4461"
"1982","STRK","BRG","TWL","N","BORROW T-1","11380"
"1982","STRK","BRG","TWL","N","BORROW T-2","120"
"1982","STRK","CRS","TWL","N","ACTUAL","7298"
"1982","STRK","CRS","TWL","N","BORROW T-1","25"
"1982","STRK","ERK","TWL","N","ACTUAL","25635"
"1982","STRK","ERK","TWL","N","BORROW T-6","101"
"1982","STRK","MNT","NET","N","BORROW T-3","705"
"1982","STRK","MNT","NET","N","BORROW T-3(a)","6"
"1982","STRK","MNT","TWL","N","ACTUAL","14068"
"1982","STRK","OSF","TWL","N","ACTUAL","14215"
"1983","STRK","BDG","TWL","N","BORROW T-1","359"
"1983","STRK","BDG","TWL","N","BORROW T-1(a)","2"
"1983","STRK","BDG","TWL","N","BORROW T-2","521"
"1983","STRK","BRG","HKL","N","BORROW T-3","6"
"1983","STRK","BRG","TWL","N","ACTUAL","4999"
"1983","STRK","BRG","TWL","N","ACTUAL (a)","23"
"1983","STRK","CRS","HKL","N","BORROW T-5","7"
"1983","STRK","CRS","TWL","N","BORROW T-2","36"
"1983","STRK","CRS","TWL","N","BORROW T-5(a)","4"
"1983","STRK","ERK","TWL","N","ACTUAL","60302"
"1983","STRK","ERK","TWL","N","ACTUAL (a)","2855"
"1983","STRK","ERK","TWL","N","BORROW T-1","5"
"1983","STRK","MNT","HKL","N","BORROW T-3","20"
"1983","STRK","MNT","NET","N","BORROW T-3","8"
"1983","STRK","MNT","TWL","N","ACTUAL","521"
"1983","STRK","MRO","HKL","N","BORROW T-3","1"
"1983","STRK","OSF","TWL","N","BORROW T-2","19"
"1983","STRK","OSF","TWL","N","BORROW T-2(a)","2"
"1984","STRK","BDG","TWL","N","ACTUAL","7635"
"1984","STRK","BDG","TWL","N","ACTUAL (a)","52"
"1984","STRK","BDG","TWL","N","BORROW T-2","426"
"1984","STRK","BRG","HKL","N","BORROW T-3","4"
"1984","STRK","BRG","TWL","N","ACTUAL","2084"
"1984","STRK","BRG","TWL","N","BORROW T-1","93"
"1984","STRK","CRS","TWL","N","ACTUAL","5469"
"1984","STRK","CRS","TWL","N","ACTUAL (a)","15"
"1984","STRK","CRS","TWL","N","BORROW T-2","16"
"1984","STRK","ERK","TWL","N","ACTUAL","33533"
"1984","STRK","ERK","TWL","N","ACTUAL (a)","212"
"1984","STRK","ERK","TWL","N","BORROW T-2","16"
"1984","STRK","ERK","TWL","N","BORROW T-4","3"
"1984","STRK","MNT","NET","N","BORROW T-3","488"
"1984","STRK","MNT","NET","N","BORROW T-3(a)","7"
"1984","STRK","MNT","TWL","N","ACTUAL","1016"
"1984","STRK","MNT","TWL","N","ACTUAL (a)","239"
"1984","STRK","MRO","NET","N","BORROW T-3","3"
"1984","STRK","MRO","TWL","N","ACTUAL","78"
"1984","STRK","OSF","TWL","N","BORROW T-1","211"
"1985","STRK","BDG","HKL","N","BORROW T-3","4"
"1985","STRK","BDG","TWL","N","ACTUAL","328"
"1985","STRK","BDG","TWL","N","ACTUAL (a)","31"
"1985","STRK","BDG","TWL","N","BORROW T-2","13"
"1985","STRK","BRG","HKL","N","BORROW T-3","21"
"1985","STRK","BRG","TWL","N","ACTUAL","17713"
"1985","STRK","BRG","TWL","N","ACTUAL (a)","55"
"1985","STRK","BRG","TWL","N","BORROW T-1","197"
"1985","STRK","CRS","HKL","N","BORROW T-3","58"
"1985","STRK","CRS","HKL","N","BORROW T-5","174"
"1985","STRK","CRS","TWL","N","ACTUAL","1686"
"1985","STRK","CRS","TWL","N","BORROW T-2","226"
"1985","STRK","ERK","HKL","N","BORROW T-4","5"
"1985","STRK","ERK","TWL","N","ACTUAL","70103"
"1985","STRK","ERK","TWL","N","ACTUAL (a)","32"
"1985","STRK","ERK","TWL","N","BORROW T-1","136"
"1985","STRK","MNT","HKL","N","BORROW T-3(a)","1"
"1985","STRK","MNT","NET","N","BORROW T-3","9"
"1985","STRK","MNT","TWL","N","ACTUAL","8385"
"1985","STRK","MNT","TWL","N","ACTUAL (a)","52"
"1985","STRK","MRO","TWL","N","ACTUAL","781"
"1985","STRK","OSF","HKL","N","BORROW T-3","35"
"1985","STRK","OSF","HKL","N","BORROW T-3(a)","2"
"1985","STRK","OSF","NET","N","BORROW T-3","1"
"1985","STRK","OSF","TWL","N","ACTUAL","1597"
"1985","STRK","OSF","TWL","N","ACTUAL (a)","57"
"1986","STRK","BDG","HKL","N","BORROW T-3","206"
"1986","STRK","BDG","HKL","N","BORROW T-3(a)","5"
"1986","STRK","BDG","TWL","N","ACTUAL","18"
"1986","STRK","BDG","TWL","N","BORROW T-2","163"
"1986","STRK","BDG","TWL","N","BORROW T-4","22"
