"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","SCOR","MNT","NET","N","NOMINAL","918"
"1978","SCOR","MRO","FPT","N","NOMINAL","17"
"1978","SCOR","MRO","HKL","N","NOMINAL","7"
"1978","SCOR","OLA","FPT","N","NOMINAL","179"
"1978","SCOR","OLA","HKL","N","NOMINAL","12612"
"1978","SCOR","OLA","NET","N","NOMINAL","1987"
"1978","SCOR","OLA","OTH","N","NOMINAL","10"
"1978","SCOR","OLA","TWL","N","NOMINAL","6"
"1978","SCOR","OSD","FPT","N","NOMINAL","14"
"1978","SCOR","OSD","HKL","N","NOMINAL","54618"
"1978","SCOR","OSD","NET","N","NOMINAL","827"
"1979","SCOR","MRO","NET","N","NOMINAL","37"
"1979","SCOR","OLA","FPT","N","NOMINAL","44"
"1979","SCOR","OLA","HKL","N","NOMINAL","11482"
"1979","SCOR","OLA","NET","N","NOMINAL","1556"
"1979","SCOR","OLA","TWL","N","NOMINAL","6"
"1979","SCOR","OSB","NET","N","NOMINAL","5"
"1979","SCOR","OSD","FPT","N","NOMINAL","6"
"1979","SCOR","OSD","HKL","N","NOMINAL","17338"
"1979","SCOR","OSD","NET","N","NOMINAL","2264"
"1980","SCOR","MRO","NET","N","NOMINAL","59"
"1980","SCOR","OLA","FPT","N","NOMINAL","57"
"1980","SCOR","OLA","HKL","N","NOMINAL","9575"
"1980","SCOR","OLA","NET","N","NOMINAL","861"
"1980","SCOR","OLA","OTH","N","NOMINAL","223"
"1980","SCOR","OSB","TWL","N","NOMINAL","2"
"1980","SCOR","OSD","FPT","N","NOMINAL","40"
"1980","SCOR","OSD","HKL","N","NOMINAL","45102"
"1980","SCOR","OSD","HKL","N","NOMINAL(a)","1292"
"1980","SCOR","OSD","NET","N","NOMINAL","131"
"1980","SCOR","OSD","OTH","N","NOMINAL","1421"
"1981","SCOR","MNT","HKL","N","Nominal","106"
"1981","SCOR","MRO","HKL","N","Nominal","51"
"1981","SCOR","MRO","NET","N","Nominal","67"
"1981","SCOR","OLA","FPT","N","Nominal","48"
"1981","SCOR","OLA","HKL","N","Nominal","31714"
"1981","SCOR","OLA","NET","N","Nominal","12802"
"1981","SCOR","OSB","FPT","N","Nominal","3"
"1981","SCOR","OSB","HKL","N","Nominal","147"
"1981","SCOR","OSD","FPT","N","Nominal","47"
"1981","SCOR","OSD","HKL","N","Nominal","10984"
"1981","SCOR","OSD","NET","N","Nominal","408"
"1982","SCOR","BDG","TWL","N","Nominal","420"
"1982","SCOR","MRO","HKL","N","Nominal","74"
"1982","SCOR","OLA","FPT","N","Nominal","352"
"1982","SCOR","OLA","HKL","N","Nominal","37382"
"1982","SCOR","OLA","NET","N","Nominal","1617"
"1982","SCOR","OLA","OTH","N","Nominal","280"
"1982","SCOR","OSB","FPT","N","Nominal","204"
