"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","CHLB","BDG","FPT","N","NOMINAL","42"
"1978","CHLB","BDG","HKL","N","NOMINAL","1517"
"1978","CHLB","BDG","NET","N","NOMINAL","1498"
"1978","CHLB","BDG","TWL","N","NOMINAL","1012"
"1978","CHLB","BDG","UNK","N","NOMINAL","1434"
"1978","CHLB","MNT","FPT","N","NOMINAL","42"
"1978","CHLB","MNT","HKL","N","NOMINAL","815"
"1978","CHLB","MNT","NET","N","NOMINAL","20061"
"1978","CHLB","MNT","OTH","N","NOMINAL","79"
"1978","CHLB","MNT","TWL","N","NOMINAL","9669"
"1978","CHLB","MNT","UNK","N","NOMINAL","54"
"1978","CHLB","MRO","FPT","N","NOMINAL","11"
"1978","CHLB","MRO","HKL","N","NOMINAL","3624"
"1978","CHLB","MRO","NET","N","NOMINAL","47832"
"1978","CHLB","MRO","TWL","N","NOMINAL","22718"
"1978","CHLB","MRO","UNK","N","NOMINAL","60"
"1978","CHLB","OLA","FPT","N","NOMINAL","48"
"1978","CHLB","OLA","HKL","N","NOMINAL","858"
"1978","CHLB","OLA","NET","N","NOMINAL","100106"
"1978","CHLB","OLA","OTH","N","NOMINAL","258"
"1978","CHLB","OLA","UNK","N","NOMINAL","825"
"1978","CHLB","OSB","FPT","N","NOMINAL","31"
"1978","CHLB","OSB","HKL","N","NOMINAL","9636"
"1978","CHLB","OSB","NET","N","NOMINAL","115870"
"1978","CHLB","OSB","OTH","N","NOMINAL","29"
"1978","CHLB","OSB","TWL","N","NOMINAL","25995"
"1978","CHLB","OSB","UNK","N","NOMINAL","1133"
"1978","CHLB","OSD","FPT","N","NOMINAL","36"
"1978","CHLB","OSD","HKL","N","NOMINAL","989"
"1978","CHLB","OSD","NET","N","NOMINAL","31970"
"1978","CHLB","OSD","OTH","N","NOMINAL","75"
"1978","CHLB","OSD","UNK","N","NOMINAL","2002"
"1978","CHLB","OSF","FPT","N","NOMINAL","7"
"1978","CHLB","OSF","HKL","N","NOMINAL","1407"
"1978","CHLB","OSF","NET","N","NOMINAL","15719"
"1978","CHLB","OSF","OTH","N","NOMINAL","23"
"1978","CHLB","OSF","TWL","N","NOMINAL","21312"
"1978","CHLB","OSF","UNK","N","NOMINAL","2502"
"1979","CHLB","BDG","FPT","N","NOMINAL","5"
"1979","CHLB","BDG","HKL","N","NOMINAL","3396"
"1979","CHLB","BDG","NET","N","NOMINAL","2878"
"1979","CHLB","BDG","TWL","N","NOMINAL","88"
"1979","CHLB","BDG","UNK","N","NOMINAL","182"
"1979","CHLB","BRG","TWL","N","NOMINAL","17"
"1979","CHLB","CRS","HKL","N","NOMINAL","257"
"1979","CHLB","CRS","UNK","N","NOMINAL","73"
"1979","CHLB","ERK","TWL","N","NOMINAL","39"
"1979","CHLB","MNT","FPT","N","NOMINAL","92"
"1979","CHLB","MNT","HKL","N","NOMINAL","1360"
"1979","CHLB","MNT","NET","N","NOMINAL","25969"
"1979","CHLB","MNT","OTH","N","NOMINAL","250"
"1979","CHLB","MNT","TWL","N","NOMINAL","1520"
"1979","CHLB","MNT","UNK","N","NOMINAL","1363"
"1979","CHLB","MRO","FPT","N","NOMINAL","28"
"1979","CHLB","MRO","HKL","N","NOMINAL","793"
"1979","CHLB","MRO","NET","N","NOMINAL","49863"
"1979","CHLB","MRO","TWL","N","NOMINAL","37202"
"1979","CHLB","MRO","UNK","N","NOMINAL","4918"
"1979","CHLB","OLA","FPT","N","NOMINAL","44"
"1979","CHLB","OLA","HKL","N","NOMINAL","1343"
"1979","CHLB","OLA","NET","N","NOMINAL","113412"
"1979","CHLB","OLA","OTH","N","NOMINAL","1512"
"1979","CHLB","OLA","TWL","N","NOMINAL","54"
"1979","CHLB","OLA","UNK","N","NOMINAL","8159"
"1979","CHLB","OSB","FPT","N","NOMINAL","152"
"1979","CHLB","OSB","HKL","N","NOMINAL","7753"
"1979","CHLB","OSB","NET","N","NOMINAL","198577"
"1979","CHLB","OSB","OTH","N","NOMINAL","562"
"1979","CHLB","OSB","TWL","N","NOMINAL","61925"
"1979","CHLB","OSB","UNK","N","NOMINAL","9837"
"1979","CHLB","OSD","FPT","N","NOMINAL","35"
"1979","CHLB","OSD","HKL","N","NOMINAL","2802"
"1979","CHLB","OSD","NET","N","NOMINAL","45343"
"1979","CHLB","OSD","UNK","N","NOMINAL","558"
"1979","CHLB","OSF","FPT","N","NOMINAL","82"
"1979","CHLB","OSF","HKL","N","NOMINAL","14444"
"1979","CHLB","OSF","NET","N","NOMINAL","14019"
"1979","CHLB","OSF","TWL","N","NOMINAL","38666"
"1979","CHLB","OSF","UNK","N","NOMINAL","15858"
"1980","CHLB","BDG","HKL","N","NOMINAL","4514"
"1980","CHLB","BDG","NET","N","NOMINAL","6574"
"1980","CHLB","BDG","TWL","N","NOMINAL","11890"
"1980","CHLB","BDG","UNK","N","NOMINAL","5655"
"1980","CHLB","CRS","TWL","N","NOMINAL","54"
"1980","CHLB","ERK","TWL","N","NOMINAL","7"
"1980","CHLB","ERK","UNK","N","NOMINAL","75"
"1980","CHLB","MNT","FPT","N","NOMINAL","22"
"1980","CHLB","MNT","HKL","N","NOMINAL","610"
"1980","CHLB","MNT","NET","N","NOMINAL","57857"
"1980","CHLB","MNT","OTH","N","NOMINAL","17"
"1980","CHLB","MNT","TWL","N","NOMINAL","10690"
"1980","CHLB","MNT","UNK","N","NOMINAL","286"
"1980","CHLB","MRO","FPT","N","NOMINAL","19"
"1980","CHLB","MRO","HKL","N","NOMINAL","1761"
"1980","CHLB","MRO","NET","N","NOMINAL","70342"
"1980","CHLB","MRO","OTH","N","NOMINAL","15"
"1980","CHLB","MRO","TWL","N","NOMINAL","45670"
"1980","CHLB","MRO","UNK","N","NOMINAL","3331"
"1980","CHLB","OLA","FPT","N","NOMINAL","118"
