"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","SHRK","BDG","FPT","N","NOMINAL","8"
"1978","SHRK","BDG","NET","N","NOMINAL","64736"
"1978","SHRK","BDG","TWL","N","NOMINAL","320"
"1978","SHRK","BDG","UNK","N","NOMINAL","150"
"1978","SHRK","ERK","HKL","N","NOMINAL","73"
"1978","SHRK","ERK","TWL","N","NOMINAL","232"
"1978","SHRK","MNT","HKL","N","NOMINAL","2353"
"1978","SHRK","MNT","NET","N","NOMINAL","23144"
"1978","SHRK","MNT","OTH","N","NOMINAL","377"
"1978","SHRK","MNT","TWL","N","NOMINAL","23727"
"1978","SHRK","MNT","UNK","N","NOMINAL","13"
"1978","SHRK","MRO","FPT","N","NOMINAL","92"
"1978","SHRK","MRO","HKL","N","NOMINAL","782"
"1978","SHRK","MRO","NET","N","NOMINAL","28341"
"1978","SHRK","MRO","OTH","N","NOMINAL","15"
"1978","SHRK","MRO","TWL","N","NOMINAL","7917"
"1978","SHRK","MRO","UNK","N","NOMINAL","152"
"1978","SHRK","OLA","FPT","N","NOMINAL","492"
"1978","SHRK","OLA","HKL","N","NOMINAL","31831"
"1978","SHRK","OLA","NET","N","NOMINAL","418920"
"1978","SHRK","OLA","OTH","N","NOMINAL","8096"
"1978","SHRK","OLA","UNK","N","NOMINAL","10790"
"1978","SHRK","OSB","FPT","N","NOMINAL","106"
"1978","SHRK","OSB","HKL","N","NOMINAL","4427"
"1978","SHRK","OSB","NET","N","NOMINAL","244927"
"1978","SHRK","OSB","OTH","N","NOMINAL","662"
"1978","SHRK","OSB","TWL","N","NOMINAL","1310"
"1978","SHRK","OSB","UNK","N","NOMINAL","1355"
"1978","SHRK","OSD","FPT","N","NOMINAL","115"
"1978","SHRK","OSD","HKL","N","NOMINAL","7345"
"1978","SHRK","OSD","NET","N","NOMINAL","96170"
"1978","SHRK","OSD","OTH","N","NOMINAL","1657"
"1978","SHRK","OSD","UNK","N","NOMINAL","730"
"1978","SHRK","OSF","HKL","N","NOMINAL","3567"
"1978","SHRK","OSF","NET","N","NOMINAL","23461"
"1978","SHRK","OSF","OTH","N","NOMINAL","59"
"1978","SHRK","OSF","TWL","N","NOMINAL","1640"
"1978","SHRK","OSF","UNK","N","NOMINAL","1436"
"1979","SHRK","BDG","FPT","N","NOMINAL","94"
"1979","SHRK","BDG","HKL","N","NOMINAL","216"
"1979","SHRK","BDG","NET","N","NOMINAL","37024"
"1979","SHRK","BDG","TWL","N","NOMINAL","278"
"1979","SHRK","BDG","UNK","N","NOMINAL","42"
"1979","SHRK","BRG","TWL","N","NOMINAL","185"
"1979","SHRK","CRS","TWL","N","NOMINAL","54"
"1979","SHRK","ERK","HKL","N","NOMINAL","60"
"1979","SHRK","ERK","UNK","N","NOMINAL","79"
"1979","SHRK","MNT","FPT","N","NOMINAL","109"
"1979","SHRK","MNT","HKL","N","NOMINAL","2360"
"1979","SHRK","MNT","NET","N","NOMINAL","21867"
"1979","SHRK","MNT","OTH","N","NOMINAL","206"
"1979","SHRK","MNT","TWL","N","NOMINAL","18190"
"1979","SHRK","MNT","UNK","N","NOMINAL","403"
"1979","SHRK","MRO","FPT","N","NOMINAL","11"
"1979","SHRK","MRO","HKL","N","NOMINAL","1968"
"1979","SHRK","MRO","NET","N","NOMINAL","41951"
"1979","SHRK","MRO","OTH","N","NOMINAL","10"
"1979","SHRK","MRO","TWL","N","NOMINAL","6652"
"1979","SHRK","MRO","UNK","N","NOMINAL","203"
"1979","SHRK","OLA","FPT","N","NOMINAL","7704"
"1979","SHRK","OLA","HKL","N","NOMINAL","102529"
"1979","SHRK","OLA","NET","N","NOMINAL","760820"
"1979","SHRK","OLA","OTH","N","NOMINAL","36769"
"1979","SHRK","OLA","UNK","N","NOMINAL","75545"
"1979","SHRK","OSB","FPT","N","NOMINAL","72"
"1979","SHRK","OSB","HKL","N","NOMINAL","2063"
"1979","SHRK","OSB","NET","N","NOMINAL","315123"
"1979","SHRK","OSB","OTH","N","NOMINAL","2584"
"1979","SHRK","OSB","TWL","N","NOMINAL","1371"
"1979","SHRK","OSB","UNK","N","NOMINAL","4341"
"1979","SHRK","OSD","FPT","N","NOMINAL","278"
"1979","SHRK","OSD","HKL","N","NOMINAL","38216"
"1979","SHRK","OSD","NET","N","NOMINAL","205406"
"1979","SHRK","OSD","OTH","N","NOMINAL","2599"
"1979","SHRK","OSD","UNK","N","NOMINAL","1481"
"1979","SHRK","OSF","HKL","N","NOMINAL","11953"
"1979","SHRK","OSF","NET","N","NOMINAL","50109"
"1979","SHRK","OSF","TWL","N","NOMINAL","9043"
"1979","SHRK","OSF","UNK","N","NOMINAL","4717"
"1980","SHRK","BDG","HKL","N","NOMINAL","288"
"1980","SHRK","BDG","NET","N","NOMINAL","20994"
"1980","SHRK","BDG","TWL","N","NOMINAL","1223"
"1980","SHRK","BDG","UNK","N","NOMINAL","2632"
"1980","SHRK","BRG","HKL","N","NOMINAL","56"
"1980","SHRK","BRG","TWL","N","NOMINAL","137"
"1980","SHRK","BRG","UNK","N","NOMINAL","76"
"1980","SHRK","CRS","TWL","N","NOMINAL","252"
"1980","SHRK","ERK","HKL","N","NOMINAL","192"
"1980","SHRK","MNT","FPT","N","NOMINAL","35"
"1980","SHRK","MNT","HKL","N","NOMINAL","1493"
"1980","SHRK","MNT","NET","N","NOMINAL","28468"
"1980","SHRK","MNT","OTH","N","NOMINAL","1764"
"1980","SHRK","MNT","TWL","N","NOMINAL","36149"
"1980","SHRK","MNT","UNK","N","NOMINAL","473"
"1980","SHRK","MRO","HKL","N","NOMINAL","787"
"1980","SHRK","MRO","NET","N","NOMINAL","17740"
"1980","SHRK","MRO","TWL","N","NOMINAL","6725"
"1980","SHRK","MRO","UNK","N","NOMINAL","3511"
"1980","SHRK","OLA","FPT","N","NOMINAL","11"
"1980","SHRK","OLA","HKL","N","NOMINAL","165452"
"1980","SHRK","OLA","NET","N","NOMINAL","921949"
"1980","SHRK","OLA","OTH","N","NOMINAL","23993"
"1980","SHRK","OLA","TWL","N","NOMINAL","388"
"1980","SHRK","OLA","UNK","N","NOMINAL","1055428"
"1980","SHRK","OSB","FPT","N","NOMINAL","2283"
"1980","SHRK","OSB","HKL","N","NOMINAL","3621"
"1980","SHRK","OSB","NET","N","NOMINAL","20750"
"1980","SHRK","OSB","OTH","N","NOMINAL","2512"
"1980","SHRK","OSB","TWL","N","NOMINAL","760"
"1980","SHRK","OSB","UNK","N","NOMINAL","334858"
"1980","SHRK","OSD","FPT","N","NOMINAL","620"
"1980","SHRK","OSD","HKL","N","NOMINAL","13118"
"1980","SHRK","OSD","NET","N","NOMINAL","46239"
"1980","SHRK","OSD","OTH","N","NOMINAL","6238"
"1980","SHRK","OSD","UNK","N","NOMINAL","568473"
"1980","SHRK","OSF","HKL","N","NOMINAL","10145"
"1980","SHRK","OSF","NET","N","NOMINAL","5380"
"1980","SHRK","OSF","OTH","N","NOMINAL","50"
"1980","SHRK","OSF","TWL","N","NOMINAL","20911"
"1980","SHRK","OSF","UNK","N","NOMINAL","1527"
"1981","SHRK","BDG","FPT","N","Nominal","23"
"1981","SHRK","BDG","HKL","N","Nominal","911"
"1981","SHRK","BDG","NET","N","Nominal","25994"
"1981","SHRK","BDG","TWL","N","Nominal","1011"
"1981","SHRK","BRG","HKL","N","Nominal","519"
"1981","SHRK","BRG","TWL","N","Nominal","360"
"1981","SHRK","CRS","TWL","N","Nominal","19"
"1981","SHRK","ERK","HKL","N","Nominal","158"
"1981","SHRK","ERK","NET","N","Nominal","1372"
