"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1983","BSKT","BRG","TWL","N","Nominal","1942"
"1984","BSKT","OSF","NET","N","Nominal","28"
"2000","BSKT","OLA","NET","N","Nominal","19"
"2007","BSKT","MNT","TWL","N","ACTUAL","25"
"2007","BSKT","OSB","TWL","N","NOMINAL","12"
"2008","BSKT","MRO","HKL","N","NOMINAL","32"
"2008","BSKT","OLA","OTH","N","NOMINAL","12"
"2008","BSKT","OSB","NET","N","NOMINAL","123"
"2009","BSKT","BDG","TWL","N","ACTUAL","2"
"2009","BSKT","CRS","TWL","N","BORROW T-1","3586"
"2009","BSKT","ERK","TWL","N","ACTUAL","19458"
"2009","BSKT","ERK","TWL","N","NOMINAL","68"
"2009","BSKT","MNT","TWL","N","ACTUAL","3163"
"2009","BSKT","OLA","OTH","N","NOMINAL","8"
"2009","BSKT","OSB","TWL","N","NOMINAL","11"
"2009","BSKT","OSF","TWL","N","ACTUAL","2406"
"2010","BSKT","ERK","TWL","N","ACTUAL","190"
"2010","BSKT","OLA","OTH","N","NOMINAL","10"
"2010","BSKT","OSF","TWL","N","NOMINAL","2389"
"2011","BSKT","ERK","HKL","N","ACTUAL","209"
"2011","BSKT","ERK","HKL","N","NOMINAL","27"
"2011","BSKT","OLA","OTH","N","NOMINAL","7"
"2011","BSKT","OSF","TWL","N","NOMINAL","671"
"2012","BSKT","BDG","TWL","N","NOMINAL","35"
"2012","BSKT","ERK","HKL","N","ACTUAL","132"
"2012","BSKT","ERK","TWL","N","ACTUAL","13466"
"2012","BSKT","MNT","TWL","N","NOMINAL","202"
"2012","BSKT","OSF","TWL","N","NOMINAL","1052"
"2013","BSKT","BRG","TWL","N","NOMINAL","4029"
"2013","BSKT","ERK","HKL","N","NOMINAL","43"
"2013","BSKT","ERK","TWL","N","ACTUAL","39365"
"2013","BSKT","MRO","HKL","N","NOMINAL","78"
"2013","BSKT","MRO","TWL","N","NOMINAL","75"
"2013","BSKT","OSF","TWL","N","NOMINAL","1844"
"2014","BSKT","BRG","HKL","N","NOMINAL","32"
"2014","BSKT","BRG","TWL","N","ACTUAL","5173"
"2014","BSKT","ERK","TWL","N","ACTUAL","77737"
"2014","BSKT","MNT","TWL","N","ACTUAL","4947"
"2014","BSKT","MRO","TWL","N","ACTUAL","443"
"2014","BSKT","OSF","TWL","N","NOMINAL","2080"
"2015","BSKT","BRG","TWL","N","ACTUAL","9167"
"2015","BSKT","ERK","HKL","N","ACTUAL","1760"
"2015","BSKT","ERK","HKL","N","NOMINAL","768"
"2015","BSKT","ERK","TWL","N","ACTUAL","52495"
"2015","BSKT","MNT","TWL","N","ACTUAL","11299"
"2015","BSKT","MRO","HKL","N","NOMINAL","9"
"2015","BSKT","MRO","TWL","N","ACTUAL","390"
"2015","BSKT","OSF","TWL","N","ACTUAL","1702"
"2016","BSKT","BRG","TWL","N","ACTUAL","4514"
"2016","BSKT","CRS","TWL","N","NOMINAL","830"
"2016","BSKT","ERK","HKL","N","NOMINAL","104"
"2016","BSKT","ERK","TWL","N","ACTUAL","26923"
"2016","BSKT","MNT","TWL","N","NOMINAL","140"
"2016","BSKT","OSF","TWL","N","ACTUAL","519"
"2017","BSKT","BRG","TWL","N","ACTUAL","1336"
"2017","BSKT","CRS","TWL","N","NOMINAL","242"
"2017","BSKT","ERK","HKL","N","ACTUAL","847"
"2017","BSKT","ERK","TWL","N","ACTUAL","47599"
"2017","BSKT","MRO","TWL","N","NOMINAL","23"
"2017","BSKT","OSF","TWL","N","ACTUAL","8893"
"2017","BSKT","OSF","TWL","N","NOMINAL","3178"
"2017","BSKT","OSF","TWL","Y","NOMINAL","156"
"2018","BSKT","BRG","TWL","N","NOMINAL","2055"
"2018","BSKT","ERK","HKL","N","ACTUAL","476"
"2018","BSKT","ERK","TWL","N","ACTUAL","49504"
"2018","BSKT","MNT","HKL","N","NOMINAL","182"
"2018","BSKT","OSF","TWL","N","ACTUAL","2509"
"2019","BSKT","BRG","TWL","N","NOMINAL","126"
"2019","BSKT","ERK","HKL","N","ACTUAL","1206"
"2019","BSKT","ERK","TWL","N","ACTUAL","56742"
"2019","BSKT","MNT","HKL","N","NOMINAL","139"
"2019","BSKT","OSB","HKL","N","NOMINAL","826"
"2019","BSKT","OSF","TWL","N","ACTUAL","3"
"2019","BSKT","OSF","TWL","N","NOMINAL","965"
