"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1994","CSOL","BRG","TWL","N","Nominal","211"
"1995","CSOL","MRO","TWL","N","NOMINAL","76"
"1995","CSOL","OSD","HKL","N","NOMINAL","199"
"1997","CSOL","OLA","TWL","N","NOMINAL","5"
"1998","CSOL","BDG","TWL","N","NOMINAL","72"
"1998","CSOL","BRG","TWL","N","NOMINAL","34"
"1998","CSOL","CRS","FPT","N","NOMINAL","1"
"1998","CSOL","CRS","TWL","N","NOMINAL","725"
"1998","CSOL","ERK","TWL","N","NOMINAL","4378"
"1998","CSOL","MNT","NET","N","NOMINAL","1"
"1998","CSOL","MNT","TWL","N","NOMINAL","16"
"1998","CSOL","MRO","TWL","Y","NOMINAL","1"
"1998","CSOL","OLA","HKL","N","NOMINAL","30"
"1998","CSOL","OSF","HKL","N","NOMINAL","18"
"1998","CSOL","OSF","TWL","N","NOMINAL","6231"
"1999","CSOL","OLA","HKL","N","NOMINAL","90"
"1999","CSOL","OSF","TWL","N","ACTUAL","903"
"2002","CSOL","MNT","TWL","N","NOMINAL","61"
"2003","CSOL","MNT","TWL","N","NOMINAL","4"
"2003","CSOL","MRO","TWL","N","BORROW T-1","146"
"2003","CSOL","OSF","TWL","N","BORROW T-1","1512"
"2004","CSOL","MNT","TWL","N","ACTUAL","1268"
"2004","CSOL","MNT","TWL","Y","ACTUAL","97"
"2005","CSOL","MNT","TWL","N","ACTUAL","24"
"2006","CSOL","BRG","TWL","N","BORROW T-1","425"
"2006","CSOL","ERK","TWL","N","ACTUAL","7651"
"2007","CSOL","CRS","TWL","N","NOMINAL","5"
"2007","CSOL","ERK","TWL","N","ACTUAL","3091"
"2007","CSOL","MNT","TWL","N","NOMINAL","6"
"2008","CSOL","BDG","TWL","N","ACTUAL","245"
"2008","CSOL","OSF","TWL","N","ACTUAL","403"
"2009","CSOL","BDG","TWL","N","ACTUAL","84"
"2009","CSOL","ERK","TWL","N","ACTUAL","60"
"2009","CSOL","MNT","TWL","N","ACTUAL","5"
"2009","CSOL","OSF","TWL","N","NOMINAL","15"
"2010","CSOL","BDG","TWL","N","ACTUAL","12"
"2010","CSOL","ERK","TWL","N","ACTUAL","2369"
"2010","CSOL","OLA","TWL","Y","ACTUAL","91"
"2011","CSOL","ERK","TWL","N","NOMINAL","36"
"2011","CSOL","MNT","TWL","N","ACTUAL","310"
"2011","CSOL","MNT","TWL","N","NOMINAL","22"
"2011","CSOL","OLA","TWL","Y","ACTUAL","24"
"2011","CSOL","OSF","TWL","N","NOMINAL","288"
"2012","CSOL","MNT","HKL","N","NOMINAL","47"
"2012","CSOL","OSF","TWL","N","NOMINAL","22"
"2013","CSOL","ERK","TWL","N","ACTUAL","890"
"2013","CSOL","MRO","TWL","N","NOMINAL","2"
"2013","CSOL","OSF","TWL","N","NOMINAL","31"
"2014","CSOL","BRG","TWL","N","ACTUAL","125"
"2014","CSOL","BRG","TWL","N","BORROW T-1","7"
"2014","CSOL","ERK","TWL","N","ACTUAL","2338"
"2014","CSOL","MNT","TWL","N","ACTUAL","398"
"2014","CSOL","MNT","TWL","N","NOMINAL","61"
"2014","CSOL","OSF","TWL","N","ACTUAL","688"
"2014","CSOL","OSF","TWL","N","BORROW T-1","90"
"2015","CSOL","BRG","TWL","N","ACTUAL","162"
"2015","CSOL","BRG","TWL","N","NOMINAL","92"
"2015","CSOL","ERK","TWL","N","ACTUAL","3720"
"2015","CSOL","MNT","TWL","N","ACTUAL","75"
"2015","CSOL","MNT","TWL","N","NOMINAL","387"
"2015","CSOL","MRO","TWL","N","ACTUAL","4904"
"2015","CSOL","OSB","TWL","N","NOMINAL","5"
"2015","CSOL","OSF","TWL","N","NOMINAL","788"
"2016","CSOL","BRG","TWL","N","NOMINAL","2"
"2016","CSOL","ERK","TWL","N","ACTUAL","3165"
"2016","CSOL","MRO","TWL","N","NOMINAL","12"
"2016","CSOL","OSF","TWL","N","ACTUAL","1615"
"2017","CSOL","BRG","TWL","N","NOMINAL","35"
"2017","CSOL","CRS","TWL","N","BORROW T-1","12"
"2017","CSOL","CRS","TWL","N","NOMINAL","58"
"2017","CSOL","ERK","TWL","N","ACTUAL","1612"
"2017","CSOL","MRO","TWL","N","NOMINAL","101"
"2017","CSOL","OSB","HKL","N","ACTUAL","63"
"2017","CSOL","OSB","TWL","N","NOMINAL","25"
"2017","CSOL","OSF","TWL","N","ACTUAL","1453"
"2017","CSOL","OSF","TWL","Y","NOMINAL","2"
"2018","CSOL","BRG","TWL","N","NOMINAL","61"
"2018","CSOL","ERK","TWL","N","ACTUAL","238"
"2018","CSOL","MRO","TWL","N","NOMINAL","47"
"2018","CSOL","OLA","TWL","N","NOMINAL","154"
"2018","CSOL","OLA","TWL","Y","NOMINAL","1389"
"2018","CSOL","OSF","TWL","N","ACTUAL","659"
"2019","CSOL","BRG","TWL","N","NOMINAL","12"
"2019","CSOL","ERK","TWL","N","NOMINAL","36"
"2019","CSOL","OLA","TWL","N","NOMINAL","17"
"2019","CSOL","OLA","TWL","Y","NOMINAL","53"
"2019","CSOL","OSF","TWL","N","ACTUAL","9"
"2019","CSOL","OSF","TWL","N","NOMINAL","811"
