"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","FNTS","OSB","HKL","N","NOMINAL","18"
"1979","FNTS","OSF","TWL","N","NOMINAL","655"
"1980","FNTS","OSF","HKL","N","NOMINAL","3490"
"1980","FNTS","OSF","TWL","N","NOMINAL","230"
"1980","FNTS","OSF","UNK","N","NOMINAL","97"
"1981","FNTS","OSF","HKL","N","Nominal","70"
"1981","FNTS","OSF","TWL","N","Nominal","215"
"1982","FNTS","ERK","TWL","N","Nominal","16"
"1982","FNTS","MNT","NET","N","Nominal","136"
"1982","FNTS","OSF","HKL","N","Nominal","1710"
"1982","FNTS","OSF","NET","N","Nominal","250"
"1982","FNTS","OSF","TWL","N","Nominal","17"
"1983","FNTS","MRO","NET","N","Nominal","13"
"1983","FNTS","MRO","TWL","N","Nominal","280"
"1983","FNTS","OSF","HKL","N","Nominal","5922"
"1983","FNTS","OSF","NET","N","Nominal","3615"
"1983","FNTS","OSF","TWL","N","Nominal","383"
"1984","FNTS","BDG","HKL","N","Nominal","4306"
"1984","FNTS","BDG","NET","N","Nominal","15"
"1984","FNTS","BRG","TWL","N","Nominal","6775"
"1984","FNTS","MNT","TWL","N","Nominal","21030"
"1984","FNTS","OSF","HKL","N","Nominal","9198"
"1984","FNTS","OSF","NET","N","Nominal","4166"
"1984","FNTS","OSF","TWL","N","Nominal","83300"
"1985","FNTS","BDG","HKL","N","Nominal","3093"
"1985","FNTS","BRG","TWL","N","Nominal","40145"
"1985","FNTS","OSF","HKL","N","Nominal","537"
"1985","FNTS","OSF","NET","N","Nominal","5565"
"1985","FNTS","OSF","TWL","N","Nominal","33303"
"1986","FNTS","BDG","HKL","N","Nominal","197"
"1986","FNTS","BRG","TWL","N","Nominal","15720"
"1986","FNTS","OSB","NET","N","Nominal","20"
"1986","FNTS","OSF","HKL","N","Nominal","12910"
"1986","FNTS","OSF","TWL","N","Nominal","5299"
"1987","FNTS","BRG","TWL","N","Nominal","16927"
"1987","FNTS","MRO","NET","N","Nominal","4"
"1987","FNTS","MRO","TWL","N","Nominal","13"
"1987","FNTS","OSF","HKL","N","Nominal","1193"
"1987","FNTS","OSF","TWL","N","Nominal","11766"
"1988","FNTS","BRG","HKL","N","Nominal","706"
"1988","FNTS","BRG","TWL","N","Nominal","45522"
"1988","FNTS","CRS","HKL","N","Nominal","166"
"1988","FNTS","ERK","TWL","N","Nominal","378"
"1988","FNTS","OSB","NET","N","Nominal","6"
"1988","FNTS","OSF","FPT","N","Nominal","37"
"1988","FNTS","OSF","HKL","N","Nominal","5532"
"1988","FNTS","OSF","NET","N","Nominal","619"
"1988","FNTS","OSF","TWL","N","Nominal","14624"
