"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1979","SLNS","OSD","HKL","N","NOMINAL","1186"
"1989","SLNS","MRO","NET","N","Nominal","3"
"1996","SLNS","ERK","TWL","N","NOMINAL","41"
"1998","SLNS","MNT","NET","N","NOMINAL","6"
"2004","SLNS","BDG","TWL","N","BORROW T-1","81"
"2004","SLNS","OSF","TWL","N","BORROW T-1","2518"
"2006","SLNS","BRG","TWL","N","BORROW T-1","36"
"2006","SLNS","CRS","TWL","N","BORROW T-1","78"
"2006","SLNS","ERK","TWL","N","ACTUAL","102"
"2006","SLNS","OLA","TWL","Y","ACTUAL","478"
"2007","SLNS","BRG","HKL","Y","NOMINAL","27"
"2007","SLNS","BRG","TWL","N","NOMINAL","145"
"2007","SLNS","ERK","TWL","N","ACTUAL","192"
"2008","SLNS","OLA","OTH","N","NOMINAL","2"
"2010","SLNS","BDG","TWL","N","ACTUAL","15"
"2010","SLNS","ERK","TWL","N","ACTUAL","305"
"2011","SLNS","OLA","HKL","N","ACTUAL","2"
"2011","SLNS","OLA","OTH","N","NOMINAL","3"
"2012","SLNS","ERK","TWL","N","ACTUAL","213"
"2012","SLNS","MRO","TWL","N","ACTUAL","422"
"2012","SLNS","OLA","HKL","N","NOMINAL","1"
"2012","SLNS","OLA","OTH","N","NOMINAL","40"
"2015","SLNS","BRG","TWL","N","ACTUAL","641"
"2016","SLNS","BRG","TWL","N","ACTUAL","258"
"2016","SLNS","MRO","TWL","N","ACTUAL","190"
"2017","SLNS","BRG","TWL","N","NOMINAL","239"
"2017","SLNS","CRS","TWL","N","BORROW T-1","8"
"2017","SLNS","ERK","TWL","N","ACTUAL","590"
"2017","SLNS","MRO","TWL","N","NOMINAL","1"
"2018","SLNS","BRG","TWL","N","NOMINAL","178"
"2018","SLNS","ERK","TWL","N","ACTUAL","959"
"2018","SLNS","ERK","TWL","N","NOMINAL","5"
"2018","SLNS","MRO","TWL","N","NOMINAL","5"
"2018","SLNS","OSF","TWL","N","NOMINAL","13"
"2019","SLNS","BRG","TWL","N","NOMINAL","486"
"2019","SLNS","OSF","TWL","N","NOMINAL","1"
