"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1978","SSPN","BDG","TWL","N","BORROW T-1","78529"
"1978","SSPN","BRG","HKL","N","BORROW T-3","102"
"1978","SSPN","BRG","TWL","N","ACTUAL","639601"
"1978","SSPN","CRS","TWL","N","ACTUAL","96433"
"1978","SSPN","ERK","HKL","N","BORROW T-3","5"
"1978","SSPN","ERK","TWL","N","ACTUAL","1021203"
"1978","SSPN","MNT","TWL","N","ACTUAL","96509"
"1978","SSPN","MRO","TWL","N","BORROW T-1","4189"
"1978","SSPN","OSB","TWL","N","RATIO","2447"
"1978","SSPN","OSD","HKL","N","RATIO","43"
"1978","SSPN","OSD","NET","N","RATIO","390"
"1978","SSPN","OSF","HKL","N","BORROW T-3","52"
"1978","SSPN","OSF","TWL","N","ACTUAL","293464"
"1979","SSPN","BDG","TWL","N","BORROW T-1","86540"
"1979","SSPN","BRG","HKL","N","BORROW T-3","81"
"1979","SSPN","BRG","TWL","N","ACTUAL","593547"
"1979","SSPN","CRS","TWL","N","BORROW T-1","213052"
"1979","SSPN","ERK","HKL","N","BORROW T-3","2"
"1979","SSPN","ERK","TWL","N","ACTUAL","2213962"
"1979","SSPN","MNT","TWL","N","BORROW T-1","446003"
"1979","SSPN","MRO","TWL","N","ACTUAL","5209"
"1979","SSPN","MRO","TWL","N","BORROW T-2","9062"
"1979","SSPN","OLA","TWL","N","RATIO","8"
"1979","SSPN","OSB","TWL","N","RATIO","1572"
"1979","SSPN","OSD","HKL","N","RATIO","54"
"1979","SSPN","OSD","NET","N","RATIO","503"
"1979","SSPN","OSF","TWL","N","ACTUAL","202520"
"1980","SSPN","BDG","TWL","N","BORROW T-1","50172"
"1980","SSPN","BRG","TWL","N","ACTUAL","841603"
"1980","SSPN","BRG","TWL","N","ACTUAL (a)","1"
"1980","SSPN","CRS","TWL","N","ACTUAL","183385"
"1980","SSPN","ERK","TWL","N","ACTUAL","1257115"
"1980","SSPN","MNT","HKL","N","BORROW T-6","3"
"1980","SSPN","MRO","TWL","N","ACTUAL","6144"
"1980","SSPN","OSB","TWL","N","RATIO","282"
