"year","species_code","port_complex_code","gear_code","live_yn","source","landings_lb"
"1995","HTRB","MRO","TWL","N","NOMINAL","333"
"1996","HTRB","MRO","TWL","N","NOMINAL","105"
"1998","HTRB","BDG","TWL","N","NOMINAL","34"
"2003","HTRB","OSF","TWL","N","BORROW T-1","136"
"2004","HTRB","MNT","TWL","N","ACTUAL","316"
"2004","HTRB","MNT","TWL","Y","ACTUAL","11"
"2006","HTRB","OLA","TWL","Y","ACTUAL","1183"
"2007","HTRB","OSF","TWL","N","ACTUAL","750"
"2008","HTRB","MRO","TWL","N","ACTUAL","116"
"2008","HTRB","OSF","TWL","N","ACTUAL","888"
"2009","HTRB","OSF","TWL","N","ACTUAL","2"
"2010","HTRB","OLA","HKL","N","NOMINAL","48"
"2010","HTRB","OLA","TWL","N","NOMINAL","3180"
"2010","HTRB","OLA","TWL","Y","ACTUAL","9071"
"2010","HTRB","OSB","TWL","Y","ACTUAL","77"
"2010","HTRB","OSF","TWL","N","ACTUAL","3"
"2011","HTRB","OLA","HKL","N","NOMINAL","15"
"2011","HTRB","OLA","NET","Y","NOMINAL","99"
"2011","HTRB","OLA","TWL","N","NOMINAL","579"
"2011","HTRB","OLA","TWL","Y","ACTUAL","3102"
"2011","HTRB","OSF","TWL","N","ACTUAL","162"
"2012","HTRB","OLA","HKL","N","NOMINAL","1"
"2012","HTRB","OLA","NET","N","NOMINAL","122"
"2012","HTRB","OLA","TWL","N","NOMINAL","5386"
"2012","HTRB","OLA","TWL","Y","ACTUAL","1094"
"2012","HTRB","OLA","TWL","Y","NOMINAL","182"
"2013","HTRB","OLA","TWL","N","NOMINAL","6906"
"2013","HTRB","OSF","TWL","N","ACTUAL","888"
"2013","HTRB","OSF","TWL","N","NOMINAL","2"
"2014","HTRB","OLA","NET","N","NOMINAL","80"
"2014","HTRB","OLA","TWL","N","NOMINAL","3484"
"2014","HTRB","OLA","TWL","Y","ACTUAL","201"
"2014","HTRB","OSF","TWL","N","ACTUAL","5"
"2015","HTRB","MRO","TWL","N","ACTUAL","1026"
"2015","HTRB","OLA","HKL","N","NOMINAL","55"
"2015","HTRB","OLA","TWL","N","BORROW T-1","156"
"2015","HTRB","OSB","TWL","N","ACTUAL","1111"
"2015","HTRB","OSB","TWL","N","NOMINAL","31"
"2016","HTRB","OLA","TWL","N","BORROW T-1","103"
"2016","HTRB","OSB","TWL","N","ACTUAL","504"
"2017","HTRB","OSB","TWL","N","ACTUAL","29"
"2017","HTRB","OSD","NET","N","NOMINAL","10"
"2018","HTRB","OSB","TWL","N","ACTUAL","204"
"2018","HTRB","OSF","TWL","N","ACTUAL","5"
"2018","HTRB","OSF","TWL","N","NOMINAL","1"
"2019","HTRB","OSB","TWL","N","ACTUAL","363"
