"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Salmon",2066662,1144634
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Market crab",3507960,1008187
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Dover sole",7706463,647343
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Giant Pacific oyster",692515,602488
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Albacore tuna",1792920,520305
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Rockfish",2378870,148309
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Petrale sole",818839,135272
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Rex sole",649601,74963
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Sablefish",1002900,69501
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","English sole",579625,63295
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Pink (ocean) shrimp",292954,38084
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Lingcod",352570,34022
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Sanddab",315907,33423
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Smelt",131289,10469
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Whitebait smelt",84325,9385
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Perch",44749,8905
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Miscellaneous (animal food)",407926,8158
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Sand sole",21064,2420
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","All other species",34644,1326
"FB 159","Table 16",1971,"Eureka","Eureka","Landings","Port totals",22881783,4560489
"FB 159","Table 16",1971,"Eureka","Crescent City","Landings","Market crab",4947055,1421784
"FB 159","Table 16",1971,"Eureka","Crescent City","Landings","Salmon",1154159,612978
"FB 159","Table 16",1971,"Eureka","Crescent City","Landings","Pink (ocean) shrimp",2784294,361958
"FB 159","Table 16",1971,"Eureka","Crescent City","Landings","Dover sole",2311419,194159
