group,comm_name_orig,sci_name_orig,level,sci_name
Crustaceans,Barnacle,Cirripedia,group,Cirripedia
Crustaceans,"Crab, box",Lopholithodes foraminatus,species,Lopholithodes foraminatus
Crustaceans,"Crab, brown rock",Cancer antennarius,species,Cancer antennarius
Crustaceans,"Crab, claws",Cancer spp.,group,Cancer spp.
Crustaceans,"Crab, Dungeness",Cancer magister,species,Metacarcinus magister
Crustaceans,"Crab, king",Paralithodes spp.,group,Paralithodes spp.
Crustaceans,"Crab, pelagic red",Pleuroncodes planipes,species,Pleuroncodes planipes
Crustaceans,"Crab, red rock",Cancer productus,species,Cancer productus
Crustaceans,"Crab, rock unspecified",Cancer spp.,group,Cancer spp.
Crustaceans,"Crab, sand",Emerita analoga,species,Emerita analoga
Crustaceans,"Crab, shore",Pachygrapsus crassipes,species,Pachygrapsus crassipes
Crustaceans,"Crab, spider",Loxorhynchus spp.,group,Loxorhynchus spp.
Crustaceans,"Crab, tanner",Chionoecetes tanneri,species,Chionoecetes tanneri
Crustaceans,"Crab, yellow rock",Cancer anthonyi,species,Cancer anthonyi
Crustaceans,"Crustacean, unspecified",Crustacea,group,Crustacea
Crustaceans,"Lobster, California spiny",Panulirus interruptus,species,Panulirus interruptus
Crustaceans,"Prawn, golden",Penaeus californiensis,species,Farfantepenaeus californiensis
Crustaceans,"Prawn, ridgeback",Eusicyonia ingentus,species,Sicyonia ingentis
Crustaceans,"Prawn, spot",Pandalus platyceros,species,Pandalus platyceros
Crustaceans,"Shrimp, bay",Crangonidae,group,Crangonidae
Crustaceans,"Shrimp, brine",Artemia salina,species,Artemia salina
Crustaceans,"Shrimp, coonstriped",Pandalus danae,species,Pandalus danae
Crustaceans,"Shrimp, ghost",Callianassa californiensis,species,Neotrypaea californiensis
Crustaceans,"Shrimp, mantis",Hemisquilla ensigera californiensis,species,Hemisquilla ensigera
Crustaceans,"Shrimp, Pacific Ocean",Pandalus jordani,species,Pandalus jordani
Crustaceans,"Shrimp, red rock",Lysmata californica,species,Lysmata californica
Crustaceans,"Shrimp, unspecified",Crustacea,group,Crustacea
Echinoderms,"Echinoderm, unspecified",Echinodermata,group,Echinodermata
Echinoderms,Sand dollar,Dendraster excentricus,species,Dendraster excentricus
Echinoderms,"Sea cucumber, unspecified",Holothuroidea,group,Holothuroidea
Echinoderms,Sea stars,Asteroidea,group,Asteroidea
Echinoderms,"Urchin, purple sea",Strongylocentrotus purpuratus,species,Strongylocentrotus purpuratus
Echinoderms,"Urchin, red",Strongylocentrotus franciscanus,species,Mesocentrotus franciscanus
Echinoderms,"Urchin, white",Lytechinus anamesus,species,Lytechinus anamesus
Fishes,"Anchovy, deepbody",Anchoa compressa,species,Anchoa compressa
Fishes,"Anchovy, northern",Engraulis mordax,species,Engraulis mordax
Fishes,"Barracuda, California",Sphyraena argentea,species,Sphyraena argentea
Fishes,"Bass, barred sand",Paralabrax nebulifer,species,Paralabrax nebulifer
Fishes,"Bass, giant sea",Stereolepis gigas,species,Stereolepis gigas
Fishes,"Bass, kelp",Paralabrax clathratus,species,Paralabrax clathratus
Fishes,"Bass, rock",Paralabrax spp.,group,Paralabrax spp.
Fishes,"Bass, spotted sand",Paralabrax maculatofasciatus,species,Paralabrax maculatofasciatus
Fishes,Blacksmith,Chromis punctipinnis,species,Chromis punctipinnis
Fishes,"Bonito, Pacific",Sarda chiliensis,species,Sarda chiliensis
Fishes,Butterfish (Pacific pompano),Peprilus simillimus,species,Peprilus simillimus
Fishes,Cabezon,Scorpaenichthys marmoratus,species,Scorpaenichthys marmoratus
Fishes,"Cabrilla, spotted",Epinephelus analogus,species,Epinephelus analogus
Fishes,"Cod, Pacific",Gadus macrocephalus,species,Gadus macrocephalus
Fishes,"Corbina, California",Menticirrhus undulatus,species,Menticirrhus undulatus
Fishes,"Corvina, shortfin",Cynoscion parvipinnis,species,Cynoscion parvipinnis
Fishes,"Croaker, black",Cheilotrema saturnum,species,Cheilotrema saturnum
Fishes,"Croaker, unspecifed",Sciaenidae,group,Sciaenidae
Fishes,"Croaker, white",Genyonemus lineatus,species,Genyonemus lineatus
Fishes,"Croaker, yellowfin",Umbrina roncador,species,Umbrina roncador
Fishes,Dolphin (fish),Coryphaena hippurus,species,Coryphaena hippurus
Fishes,Eel,Osteichthyes,group,Osteichthyes
Fishes,"Eel, California moray",Gymnothorax mordax,species,Gymnothorax mordax
Fishes,"Eel, spotted cusk-",Chilara taylori,species,Chilara taylori
Fishes,"Eel, wolf (wolf-eel)",Anarrhichthys ocellatus,species,Anarrhichthys ocellatus
Fishes,Escolar,Lepidocybium flavobrunneum,species,Lepidocybium flavobrunneum
Fishes,Eulachon,Thaleichthys pacificus,species,Thaleichthys pacificus
Fishes,"Fish, unspecified",Osteichthyes,group,Osteichthyes
Fishes,"Flounder, arrowtooth",Atheresthes stomias,species,Atheresthes stomias
Fishes,"Flounder, starry",Platichthys stellatus,species,Platichthys stellatus
Fishes,"Flounder, unspecified",Pleuronectidae,group,Pleuronectidae
Fishes,Flyingfish,Exocoetidae spp.,group,Exocoetidae spp.
Fishes,Garibaldi,Hypsypops rubicundus,species,Hypsypops rubicundus
Fishes,"Goby, bluebanded",Lythrypnus dalli,species,Lythrypnus dalli
Fishes,"Goby, yellowfin",Acanthogobius flavimanus,species,Acanthogobius flavimanus
Fishes,"Greenling, kelp",Hexagrammos decagrammus,species,Hexagrammos decagrammus
Fishes,Grenadiers,Macrouridae,group,Macrouridae
Fishes,Grouper,Mycteroperca / Epinephelus,group,Mycteroperca / Epinephelus
Fishes,"Grouper, broomtail",Mycteroperca xenarcha,species,Mycteroperca xenarcha
Fishes,"Grunion, California",Leuresthes tenuis,species,Leuresthes tenuis
Fishes,"Guitarfish, shovelnose",Rhinobatos productus,species,Pseudobatos productus
Fishes,Hagfish,Eptatretus spp.,group,Eptatretus spp.
Fishes,Halfmoon,Medialuna californiensis,species,Medialuna californiensis
Fishes,"Halibut, California",Paralichthys californicus,species,Paralichthys californicus
Fishes,"Halibut, Pacific",Hippoglossus stenolepis,species,Hippoglossus stenolepis
Fishes,"Halibut, unspecified",Pleuronectiformes,group,Pleuronectiformes
Fishes,Herring roe on kelp,Clupea/algae,group,Clupea/algae
Fishes,"Herring, Pacific",Clupea pallasi,species,Clupea pallasii pallasii
Fishes,"Herring, roe",Clupea pallasi,species,Clupea pallasii pallasii
Fishes,"Herring, round",Etrumeus teres,species,Etrumeus sadina
Fishes,"Jack, Pacific crevalle",Caranx caninus,species,Caranx caninus
Fishes,"Jacks, unspecified",Carangidae,group,Carangidae
Fishes,Jacksmelt,Atherinopsis californiensis,species,Atherinopsis californiensis
Fishes,Kahawai,Annipis trutta,species,Arripis trutta
Fishes,"Kelpfish, giant",Heterostichus rostratus,species,Heterostichus rostratus
Fishes,Kelpfishes,Gibbonsia spp.,group,Gibbonsia spp.
Fishes,"Killifish, California",Fundulus parvipinnis,species,Fundulus parvipinnis
Fishes,Lingcod,Ophiodon elongatus,species,Ophiodon elongatus
Fishes,"Lizardfish, California",Synodus lucioceps,species,Synodus lucioceps
Fishes,Louvar,Luvarus imperialis,species,Luvarus imperialis
Fishes,"Mackerel, bullet",Auxis rochei,species,Auxis rochei
Fishes,"Mackerel, jack",Trachurus symmetricus,species,Trachurus symmetricus
Fishes,"Mackerel, Pacific",Scomber japonicus,species,Scomber japonicus
Fishes,"Mackerel, unspecified",Scomber / Trachurus,group,Scomber / Trachurus
Fishes,"Midshipman, plainfin",Porichthys notatus,species,Porichthys notatus
Fishes,"Mudsucker, longjaw",Gillichthys mirabilis,species,Gillichthys mirabilis
Fishes,"Mullet, striped",Mugil cephalus,species,Mugil cephalus
Fishes,"Needlefish, California",Strongylura exilis,species,Strongylura exilis
Fishes,Oilfish,Ruvettus pretiosus,species,Ruvettus pretiosus
Fishes,Opah,Lampris guttatus,species,Lampris guttatus
Fishes,Opaleye,Girella nigricans,species,Girella nigricans
Fishes,"Prickleback, monkeyface",Cebidichthys violaceus,species,Cebidichthys violaceus
Fishes,Queenfish,Seriphus politus,species,Seriphus politus
Fishes,"Ratfish, spotted",Hydrolagus colliei,species,Hydrolagus colliei
Fishes,"Ray, bat",Myliobatis californica,species,Myliobatis californica
Fishes,"Ray, Pacific electric",Torpedo californica,species,Tetronarce californica
Fishes,"Ray, unspecified",Rajiformes,group,Rajiformes
Fishes,Sablefish,Anoplopoma fimbria,species,Anoplopoma fimbria
Fishes,Salema,Xenistius californiensis,species,Haemulon californiensis
Fishes,Salmon,Oncorhynchus spp.,group,Oncorhynchus spp.
Fishes,"Salmon, Chinook",Oncorhynchus tshawytscha,species,Oncorhynchus tshawytscha
Fishes,"Salmon, chum",Oncorhynchus keta,species,Oncorhynchus keta
Fishes,"Salmon, coho",Oncorhynchus kisutch,species,Oncorhynchus kisutch
Fishes,"Salmon, pink",Oncorhynchus gorbuscha,species,Oncorhynchus gorbuscha
Fishes,"Salmon, roe (Chinook and coho)",Oncorhynchus spp.,group,Oncorhynchus spp.
Fishes,Sanddab,Citharichthys spp.,group,Citharichthys spp.
Fishes,"Sanddab, longfin",Citharichthys xanthostigma,species,Citharichthys xanthostigma
Fishes,"Sanddab, Pacific",Citharichthys sordidus,species,Citharichthys sordidus
Fishes,"Sanddab, speckled",Citharichthys stigmaeus,species,Citharichthys stigmaeus
Fishes,"Sardine, juvenile",Sardinops sagax caeruleus,species,Sardinops sagax
Fishes,"Sardine, Pacific",Sardinops sagax caeruleus,species,Sardinops sagax
Fishes,Sargo,Anisotremus davidsonii,species,Anisotremus davidsonii
Fishes,"Saury, Pacific",Cololabis saira,species,Cololabis saira
Fishes,"Scorpionfish, California",Scorpaena guttata,species,Scorpaena guttata
Fishes,"Sculpin, staghorn",Leptocottus armatus,species,Leptocottus armatus
Fishes,"Sculpin, yellowchin",Icelinus quadriseriatus,species,Icelinus quadriseriatus
Fishes,"Seabass, white",Atractoscion nobilis,species,Atractoscion nobilis
Fishes,Senorita,Oxyjulis californica,species,Oxyjulis californica
Fishes,"Shad, American",Alosa sapidissima,species,Alosa sapidissima
