"source_landings","source_cpfvs","source_anglers","source_time","region","port_complex_group","port_complex","year","landings_n","cpfvs_n","anglers_n","days_n","hours_n"
"FB 121 Table 22",NA,NA,"FB 121 Table 22","Statewide","Statewide","Statewide",1936,1313473,NA,NA,166784,NA
"FB 121 Table 22",NA,NA,"FB 121 Table 22","Statewide","Statewide","Statewide",1937,1344139,NA,NA,201241,NA
"FB 121 Table 22",NA,NA,"FB 121 Table 22","Statewide","Statewide","Statewide",1938,1281608,NA,NA,201685,NA
"FB 121 Table 22",NA,NA,"FB 121 Table 22","Statewide","Statewide","Statewide",1939,1724204,NA,NA,231328,NA
"FB 121 Table 22",NA,NA,"FB 121 Table 22","Statewide","Statewide","Statewide",1940,1872838,NA,NA,250459,NA
NA,"FB 59 Table 20",NA,NA,"Statewide","Statewide","Statewide",1941,NA,344,NA,NA,NA
NA,"FB 59 Table 19",NA,NA,"Statewide","Statewide","Statewide",1942,NA,NA,NA,NA,NA
NA,"FB 63 Table 27",NA,NA,"Statewide","Statewide","Statewide",1943,NA,202,NA,NA,NA
NA,"FB 63 Table 27",NA,NA,"Statewide","Statewide","Statewide",1944,NA,173,NA,NA,NA
NA,"FB 67 Table 27",NA,NA,"Statewide","Statewide","Statewide",1945,NA,157,NA,NA,NA
"FB 95 Table 28","FB 67 Table 27",NA,"FB 95 Table 28","Statewide","Statewide","Statewide",1946,1243358,242,NA,209043,NA
"FB 102 Table 47","FB 74 Table 32",NA,"FB 102 Table 47","Statewide","Statewide","Statewide",1947,2070432,368,NA,359436,NA
"FB 102 Table 47","FB 80 Table 9",NA,"FB 102 Table 47","Statewide","Statewide","Statewide",1948,2110019,567,NA,407757,NA
"FB 102 Table 47","FB 80 Table 9",NA,"FB 102 Table 47","Statewide","Statewide","Statewide",1949,2339794,549,NA,469915,NA
"FB 102 Table 47","FB 86 Table 7",NA,"FB 102 Table 47","Statewide","Statewide","Statewide",1950,2190413,972,NA,544264,NA
"FB 117 Table 22","FB 89 Table 13","FB 117 Table 22","FB 95 Table 28","Statewide","Statewide","Statewide",1951,2350644,952,687721,556949,NA
"FB 117 Table 22","FB 95 Table 9","FB 117 Table 22","FB 111 Table 22","Statewide","Statewide","Statewide",1952,2306133,987,726170,588087,NA
"FB 117 Table 22","FB 102 Table 9","FB 117 Table 22","FB 102 Table 47","Statewide","Statewide","Statewide",1953,2280158,919,620050,502146,NA
"FB 117 Table 22","FB 102 Table 10","FB 117 Table 22","FB 102 Table 47","Statewide","Statewide","Statewide",1954,3274537,904,657148,532190,NA
"FB 117 Table 22","FB 105 Table 12","FB 117 Table 22","FB 105 Table 50","Statewide","Statewide","Statewide",1955,3113883,809,612814,496286,NA
"FB 117 Table 22","FB 105 Table 13","FB 117 Table 22","FB 105 Table 50","Statewide","Statewide","Statewide",1956,3262995,722,645878,523063,NA
"FB 117 Table 22","FB 108 Table 5","FB 117 Table 22","FB 111 Table 22","Statewide","Statewide","Statewide",1957,3499585,647,662069,536175,NA
"FB 117 Table 22","FB 108 Table 5","FB 117 Table 22","FB 111 Table 22","Statewide","Statewide","Statewide",1958,3950880,586,636110,515152,NA
"FB 117 Table 22","FB 111 Table 5","FB 117 Table 22","FB 111 Table 22","Statewide","Statewide","Statewide",1959,4328575,569,687974,557154,NA
"FB 121 Table 22","FB 117 Table 5","FB 121 Table 22","FB 121 Table 22","Statewide","Statewide","Statewide",1960,4090034,530,637498,516255,NA
"FB 125 Table 22","FB 121 Table 5","FB 121 Table 22","FB 125 Table 22","Statewide","Statewide","Statewide",1961,3453633,544,593916,495805,NA
"FB 125 Table 22","FB 125 Table 5","FB 125 Table 22",NA,"Statewide","Statewide","Statewide",1962,3655993,523,595866,NA,NA
"FB 129 Table 23","FB 129 Table 6","FB 129 Table 23",NA,"Statewide","Statewide","Statewide",1963,4278502,523,643155,NA,NA
"FB 163 Table 22","FB 132 Table 5","FB 163 Table 22",NA,"Statewide","Statewide","Statewide",1964,4434176,462,695445,NA,NA
"FB 166 Table 22","FB 135 Table 5","FB 166 Table 22","FB 166 Table 22","Statewide","Statewide","Statewide",1965,4634558,492,688103,NA,3486218
"FB 166 Table 22","FB 138 Table 5","FB 166 Table 22","FB 166 Table 22","Statewide","Statewide","Statewide",1966,5408420,470,857000,NA,4193765
