year,filename,area,port,species,landings_lb,revenues_usd
2017,Table 16PUB.pdf,Eureka,Eureka,"Crab, Dungeness..............................................................","1,432,549","$4,439,861 "
2017,Table 16PUB.pdf,Eureka,Eureka,Sablefish.............................................................................,"683,484","$1,662,447 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Sole, Dover.........................................................................","2,849,683","$1,257,613 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Sole, petrale.......................................................................","740,367","$811,408 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Tuna, albacore..................................................................","143,645","$285,795 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Thornyhead, longspine...................................................","382,079","$230,404 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Shrimp, ocean (pink)........................................................","557,340","$205,175 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Smelt, night........................................................................","287,150","$183,057 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Thornyhead, shortspine..................................................","173,946","$182,087 "
2017,Table 16PUB.pdf,Eureka,Eureka,Lingcod................................................................................,"212,469","$171,326 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Skate, longnose................................................................","251,148","$98,827 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, canary...............................................................","161,916","$81,016 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Sole, English......................................................................","204,896","$65,600 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Sole, rex..............................................................................","143,221","$56,118 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Halibut, California.............................................................","7,083","$47,313 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, widow................................................................","107,601","$37,885 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Salmon, Chinook...............................................................","3,400","$30,425 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Halibut, Pacific..................................................................","3,943","$27,652 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, group shelf......................................................","54,149","$20,723 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Skate, big............................................................................","48,424","$19,240 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, bocaccio..........................................................","36,983","$17,733 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, group slope.....................................................","23,459","$10,597 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Surfperch, redtail..............................................................","10,073","$10,073 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, chilipepper.......................................................","17,738","$8,710 "
2017,Table 16PUB.pdf,Eureka,Eureka,Sanddab..............................................................................,"13,921","$8,200 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Flounder, arrowtooth........................................................","77,905","$7,790 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, darkblotched...................................................","14,387","$6,370 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, yellowtail..........................................................","7,585","$3,699 "
2017,Table 16PUB.pdf,Eureka,Eureka,"Flounder, starry.................................................................","5,964",$607 
2017,Table 16PUB.pdf,Eureka,Eureka,"Smelt, surf..........................................................................",598,$345 
2017,Table 16PUB.pdf,Eureka,Eureka,"Sole, curlfin........................................................................",749,$240 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, copper...............................................................",96,$216 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, black..................................................................",180,$180 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, rougheye..........................................................",361,$179 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, vermilion...........................................................",70,$124 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, redbanded........................................................",252,$116 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, Pacific ocean perch......................................",140,$65 
2017,Table 16PUB.pdf,Eureka,Eureka,Grenadier............................................................................,"2,933",$59 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, group small......................................................",169,$54 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, blackgill............................................................",72,$48 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, shortraker.........................................................",36,$18 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, unspecified......................................................",6,$3 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, group nearshore.............................................",6,$3 
2017,Table 16PUB.pdf,Eureka,Eureka,"Shark, spiny dogfish........................................................",8,$0 
2017,Table 16PUB.pdf,Eureka,Eureka,"Trawled fish, unspecified...............................................","6,261",$0 
2017,Table 16PUB.pdf,Eureka,Eureka,"Rockfish, cowcod.............................................................",4,$0 
2017,Table 16PUB.pdf,Eureka,Eureka,"Whiting, Pacific.................................................................",520,$0 
2017,Table 16PUB.pdf,Eureka,Eureka,Port Totals:,"8,668,969","$9,989,400 "
2017,Table 16PUB.pdf,Eureka,,,,
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Crab, Dungeness..............................................................","1,466,899","$4,621,571 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Shrimp, ocean (pink)........................................................","2,717,635","$1,262,032 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,Sablefish.............................................................................,"160,657","$484,217 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Shrimp, coonstriped.........................................................","56,131","$279,604 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, black..................................................................","117,314","$227,112 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Tuna, albacore..................................................................","71,648","$140,082 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Sole, Dover.........................................................................","264,314","$118,941 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Sole, petrale.......................................................................","103,691","$116,814 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,Lingcod................................................................................,"25,702","$60,283 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, copper...............................................................","3,727","$15,352 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, quillback...........................................................","3,253","$13,764 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,Swordfish............................................................................,"2,702","$12,429 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, blue....................................................................","7,450","$11,724 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Skate, longnose................................................................","27,164","$10,821 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,Cabezon..............................................................................,"1,984","$8,177 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Thornyhead, shortspine..................................................","15,286","$8,173 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Sole, rex..............................................................................","21,779","$8,087 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, vermilion...........................................................","2,492","$5,876 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Shark, shortfin mako........................................................","5,283","$5,283 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Greenling, kelp..................................................................",592,"$3,490 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, China.................................................................",444,"$3,357 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, canary...............................................................","2,311","$3,123 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, group slope.....................................................","3,742","$2,652 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Shark, thresher..................................................................","2,505","$2,562 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, group shelf......................................................","3,744","$2,428 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Sole, English......................................................................","4,076","$1,304 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, grass.................................................................",137,"$1,172 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, yellowtail..........................................................",690,"$1,017 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Flounder, arrowtooth........................................................","6,685","$1,015 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Skate, unspecified...........................................................","1,847",$739 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,Louvar..................................................................................,67,$536 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, darkblotched...................................................","1,087",$507 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Surfperch, redtail..............................................................",463,$463 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Halibut, Pacific..................................................................",60,$420 
