"year","filename","area","port","EUREKA","X","X.1","CRESCENT.CITY","TRINIDAD","SHELTER.COVE","SAN.FRANCISCO","PRINCETON.HALF.MOON","BERKELEY","ALAMEDA","ALL.OTHER.PORTS","MONTEREY","MOSS.LANDING","SANTA.CRUZ","VENTURA","SANTA.BARBARA.HARBOR","OXNARD","TERMINAL.ISLAND","SAN.PEDRO","DANA.POINT","NEWPORT.BEACH","LONG.BEACH","REDONDO.BEACH","AVALON","WILMINGTON","BODEGA.BAY","FORT.BRAGG","POINT.ARENA","ALBION","X.2","MORRO.BAY","AVILA.PORT.SAN.LUIS","SAN.SIMEON","SAN.DIEGO","MISSION.BAY","OCEANSIDE"
2017,"Table 16PUB.pdf",NA,NA,"Crab, Dungeness..............................................................","1,432,549","$4,439,861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Sablefish.............................................................................","683,484","$1,662,447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Sole, Dover.........................................................................","2,849,683","$1,257,613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Sole, petrale.......................................................................","740,367","$811,408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Tuna, albacore..................................................................","143,645","$285,795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Thornyhead, longspine...................................................","382,079","$230,404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Shrimp, ocean (pink)........................................................","557,340","$205,175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Smelt, night........................................................................","287,150","$183,057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Thornyhead, shortspine..................................................","173,946","$182,087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Lingcod................................................................................","212,469","$171,326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Skate, longnose................................................................","251,148","$98,827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Rockfish, canary...............................................................","161,916","$81,016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Sole, English......................................................................","204,896","$65,600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Sole, rex..............................................................................","143,221","$56,118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Halibut, California.............................................................","7,083","$47,313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Rockfish, widow................................................................","107,601","$37,885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Salmon, Chinook...............................................................","3,400","$30,425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Halibut, Pacific..................................................................","3,943","$27,652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Rockfish, group shelf......................................................","54,149","$20,723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Skate, big............................................................................","48,424","$19,240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Rockfish, bocaccio..........................................................","36,983","$17,733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Rockfish, group slope.....................................................","23,459","$10,597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Surfperch, redtail..............................................................","10,073","$10,073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Rockfish, chilipepper.......................................................","17,738","$8,710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Sanddab..............................................................................","13,921","$8,200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Flounder, arrowtooth........................................................","77,905","$7,790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Rockfish, darkblotched...................................................","14,387","$6,370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Rockfish, yellowtail..........................................................","7,585","$3,699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Flounder, starry.................................................................","5,964","$607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Smelt, surf..........................................................................","598","$345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Sole, curlfin........................................................................","749","$240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
