year,filename,area,port,species,landings_lb,revenues_usd
2018,Table 20PUB.pdf,Los Angeles,,,,
2018,Table 20PUB.pdf,Los Angeles,AL ISLAND,"Squid, market","13,007,413","$6,503,545 "
2018,Table 20PUB.pdf,Los Angeles,,"Sea urchin, red","870,637","$1,772,566 "
2018,Table 20PUB.pdf,Los Angeles,,"Tuna, yellowfin","2,449,200","$1,218,661 "
2018,Table 20PUB.pdf,Los Angeles,,"Prawn, spot","53,480","$764,472 "
2018,Table 20PUB.pdf,Los Angeles,,"Tuna, skipjack","1,723,486","$664,413 "
2018,Table 20PUB.pdf,Los Angeles,,"Mackerel, Pacific","2,948,287","$465,498 "
2018,Table 20PUB.pdf,Los Angeles,,"Lobster, California spiny","26,653","$423,118 "
2018,Table 20PUB.pdf,Los Angeles,,"Tuna, bigeye","95,297","$274,856 "
2018,Table 20PUB.pdf,Los Angeles,,"Bonito, Pacific","842,258","$255,862 "
2018,Table 20PUB.pdf,Los Angeles,,"Halibut, California","19,665","$96,234 "
2018,Table 20PUB.pdf,Los Angeles,,"Sea cucumber, warty","14,086","$76,524 "
2018,Table 20PUB.pdf,Los Angeles,,"Prawn, ridgeback","26,300","$72,052 "
2018,Table 20PUB.pdf,Los Angeles,,"Seabass, white","20,849","$71,823 "
2018,Table 20PUB.pdf,Los Angeles,,Opah,"62,906","$63,112 "
2018,Table 20PUB.pdf,Los Angeles,,Swordfish,"20,805","$61,684 "
2018,Table 20PUB.pdf,Los Angeles,,Sablefish,"11,615","$39,094 "
2018,Table 20PUB.pdf,Los Angeles,,"Sardine, Pacific","206,901","$30,603 "
2018,Table 20PUB.pdf,Los Angeles,,"Tuna, bluefin","23,657","$22,095 "
2018,Table 20PUB.pdf,Los Angeles,,"Mackerel, jack","83,923","$18,596 "
2018,Table 20PUB.pdf,Los Angeles,,Wahoo,"3,713","$8,611 "
2018,Table 20PUB.pdf,Los Angeles,,"Sea cucumber, giant red","1,623","$7,289 "
2018,Table 20PUB.pdf,Los Angeles,,Thornyheads,859,"$6,369 "
2018,Table 20PUB.pdf,Los Angeles,,Yellowtail,"2,662","$5,817 "
2018,Table 20PUB.pdf,Los Angeles,,Dolphin (fish),"3,000","$5,775 "
2018,Table 20PUB.pdf,Los Angeles,,"Crab, yellow rock","3,119","$5,325 "
2018,Table 20PUB.pdf,Los Angeles,,"Tuna, albacore","4,812","$4,812 "
2018,Table 20PUB.pdf,Los Angeles,,Pomfret,"2,185","$4,370 "
2018,Table 20PUB.pdf,Los Angeles,,"Sole, English","2,865","$4,253 "
2018,Table 20PUB.pdf,Los Angeles,,"Shark, shortfin mako","3,006","$3,174 "
2018,Table 20PUB.pdf,Los Angeles,,Escolar,"2,523","$3,066 "
2018,Table 20PUB.pdf,Los Angeles,,TERMINAL ISLAND,,
2018,Table 20PUB.pdf,Los Angeles,,"Whelk, Kellet's","3,667","$3,049 "
2018,Table 20PUB.pdf,Los Angeles,,"Mackerel, unspecified","2,684","$2,966 "
2018,Table 20PUB.pdf,Los Angeles,,"Sole, unspecified","2,033","$2,841 "
2018,Table 20PUB.pdf,Los Angeles,,"Sole, curlfin","1,543","$2,315 "
2018,Table 20PUB.pdf,Los Angeles,,"Hagfish, unspecified","2,160","$2,172 "
2018,Table 20PUB.pdf,Los Angeles,,"Ray, bat","4,422","$1,785 "
2018,Table 20PUB.pdf,Los Angeles,,"Shark, thresher","1,412","$1,667 "
2018,Table 20PUB.pdf,Los Angeles,,"Sea urchin, purple","1,242","$1,334 "
2018,Table 20PUB.pdf,Los Angeles,,"Sheephead, California",247,"$1,257 "
2018,Table 20PUB.pdf,Los Angeles,,"Crab, spider",824,$882 
2018,Table 20PUB.pdf,Los Angeles,,"Bass, giant sea",412,$787 
