year,filename,area,port,species,landings_lb,revenues_usd
2018,Table 18PUB.pdf,Monterey,Monterey,REY,,
2018,Table 18PUB.pdf,Monterey,Monterey,"Squid, market","16,908,948","$8,006,115 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Prawn, spot","43,481","$644,615 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Anchovy, northern","8,509,357","$430,373 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Salmon, Chinook","17,071","$165,197 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Crab, Dungeness","25,262","$120,104 "
2018,Table 18PUB.pdf,Monterey,Monterey,Sablefish,"155,242","$85,331 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Halibut, California","12,460","$69,696 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, gopher","4,372","$38,415 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, black-and-yellow","3,071","$30,464 "
2018,Table 18PUB.pdf,Monterey,Monterey,Lingcod,"5,870","$20,510 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Hagfish, Pacific","13,405","$13,405 "
2018,Table 18PUB.pdf,Monterey,Monterey,Cabezon,"1,601","$12,353 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, blue","2,706","$10,677 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, vermilion","1,840","$6,748 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Seabass, white",847,"$5,779 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, brown",412,"$3,037 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, grass",266,"$2,660 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Greenling, kelp",242,"$2,043 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Crab, rock unspecified",198,"$1,051 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Whitefish, ocean",419,"$1,046 "
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, yellowtail",300,$768 
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, copper",75,$665 
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, kelp",158,$635 
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, black",154,$616 
2018,Table 18PUB.pdf,Monterey,Monterey,"Thornyhead, shortspine",71,$544 
2018,Table 18PUB.pdf,Monterey,Monterey,Sanddab,120,$536 
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, canary",150,$504 
2018,Table 18PUB.pdf,Monterey,Monterey,"Prawn, ridgeback",25,$450 
2018,Table 18PUB.pdf,Monterey,Monterey,Grenadier,800,$189 
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, group bolina",25,$188 
2018,Table 18PUB.pdf,Monterey,Monterey,MONTEREY,,
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, bocaccio",65,$144 
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, treefish",14,$140 
2018,Table 18PUB.pdf,Monterey,Monterey,Jellyfish,"11,458",$115 
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, China",10,$86 
2018,Table 18PUB.pdf,Monterey,Monterey,"Crab, red rock",26,$77 
2018,Table 18PUB.pdf,Monterey,Monterey,"Sanddab, Pacific",30,$75 
2018,Table 18PUB.pdf,Monterey,Monterey,"Sole, rex",21,$74 
2018,Table 18PUB.pdf,Monterey,Monterey,"Crab, yellow rock",23,$69 
2018,Table 18PUB.pdf,Monterey,Monterey,"Flounder, starry",14,$50 
2018,Table 18PUB.pdf,Monterey,Monterey,"Mackerel, Pacific",760,$38 
2018,Table 18PUB.pdf,Monterey,Monterey,"Rockfish, starry",12,$36 
2018,Table 18PUB.pdf,Monterey,Monterey,"Sheephead, California",6,$30 
2018,Table 18PUB.pdf,Monterey,Monterey,"Flounder, unspecified",9,$23 
