year,filename,area,port,species,landings,value
2018,Table21sdPUB.pdf,San Diego,,,,
2018,Table21sdPUB.pdf,San Diego,San Diego,"Tuna, bigeye","304,063","$900,412 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Prawn, spot","56,586","$779,467 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Lobster, California spiny","47,144","$749,360 "
2018,Table21sdPUB.pdf,San Diego,San Diego,Swordfish,"152,693","$576,449 "
2018,Table21sdPUB.pdf,San Diego,San Diego,Opah,"171,451","$216,808 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Crab, yellow rock","112,954","$160,070 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Tuna, bluefin","50,675","$158,543 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Halibut, California","18,577","$108,469 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Seabass, white","17,461","$68,100 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Sea urchin, red","12,515","$51,989 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Sheephead, California","6,375","$35,496 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Tuna, albacore","21,968","$34,131 "
2018,Table21sdPUB.pdf,San Diego,San Diego,Sablefish,"3,575","$28,486 "
2018,Table21sdPUB.pdf,San Diego,San Diego,Sanddab,"4,505","$25,714 "
2018,Table21sdPUB.pdf,San Diego,San Diego,Pomfret,"9,696","$25,713 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Tuna, yellowfin","11,649","$19,569 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Crab, rock unspecified","10,914","$19,502 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Whelk, Kellet's","20,977","$19,086 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Mackerel, Pacific","8,599","$18,442 "
2018,Table21sdPUB.pdf,San Diego,San Diego,Wahoo,"7,481","$18,026 "
2018,Table21sdPUB.pdf,San Diego,San Diego,Yellowtail,"5,854","$17,301 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, shortfin mako","13,697","$17,115 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, thresher","10,695","$15,141 "
2018,Table21sdPUB.pdf,San Diego,San Diego,Dolphin (fish),"6,870","$12,717 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Crab, spider","13,131","$12,503 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, vermilion","2,548","$12,022 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Sea urchin, purple",776,"$10,009 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, pink","1,517","$6,933 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Crab, red rock","4,086","$6,335 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Tuna, skipjack","7,243","$5,722 "
2018,Table21sdPUB.pdf,San Diego,San Diego,SAN DIEGO,,
2018,Table21sdPUB.pdf,San Diego,San Diego,"Crab, brown rock","3,985","$5,634 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Crab, box","1,155","$5,471 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, Mexican","1,106","$5,337 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, soupfin","2,618","$5,296 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, Pacific angel","1,907","$3,877 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, group shelf",707,"$3,754 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Mackerel, unspecified","1,347","$3,601 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Octopus, unspecified",627,"$3,551 "
2018,Table21sdPUB.pdf,San Diego,San Diego,Escolar,"2,854","$2,870 "
2018,Table21sdPUB.pdf,San Diego,San Diego,Cabezon,306,"$2,032 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Whitefish, ocean",547,"$2,027 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Bonito, Pacific","1,032","$1,924 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Crab, king",305,"$1,779 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, leopard",935,"$1,705 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, bocaccio",337,"$1,290 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, group red",348,"$1,164 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, group deep nearshore",214,"$1,104 "
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, bigeye thresher",884,$925 
2018,Table21sdPUB.pdf,San Diego,San Diego,Oilfish,466,$855 
2018,Table21sdPUB.pdf,San Diego,San Diego,Lingcod,161,$765 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, bank",219,$757 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, speckled",160,$713 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Skate, unspecified",252,$667 
2018,Table21sdPUB.pdf,San Diego,San Diego,Louvar,79,$632 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Bass, giant sea",174,$585 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, chilipepper",106,$469 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, sevengill",147,$398 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Sardine, Pacific",125,$388 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, blackgill",208,$366 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Croaker, white",87,$348 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, greenspotted",69,$319 
2018,Table21sdPUB.pdf,San Diego,San Diego,GO,NA,
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, flag",76,$312 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Crab, armed box",343,$277 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Scorpionfish, California",66,$275 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Barracuda, California",205,$268 
2018,Table21sdPUB.pdf,San Diego,San Diego,Bat star,51,$255 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Mackerel, jack",61,$244 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, smooth hammerhead",246,$191 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Surfperch, black",87,$179 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, copper",59,$172 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Skate, California",128,$171 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Crab, claws",60,$171 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Halibut, unspecified",27,$162 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, pelagic thresher",165,$140 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Ray, bat",92,$139 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, squarespot",35,$138 
2018,Table21sdPUB.pdf,San Diego,San Diego,Stingray,60,$120 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, greenstriped",24,$105 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, splitnose",26,$104 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Fish, unspecified",963,$101 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, rosethorn",19,$76 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, gopher",12,$65 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Eel, California moray",32,$61 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, starry",13,$60 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, horn",12,$48 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, grass",5,$46 
2018,Table21sdPUB.pdf,San Diego,San Diego,Thornyheads,17,$39 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Sole, rock",26,$36 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, group nearshore",5,$33 
2018,Table21sdPUB.pdf,San Diego,San Diego,Triggerfish,11,$28 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, group slope",26,$28 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, brown",7,$25 
2018,Table21sdPUB.pdf,San Diego,San Diego,GO,,
2018,Table21sdPUB.pdf,San Diego,San Diego,"Surfperch, unspecified",8,$24 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, spiny dogfish",16,$24 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Skate, thornback",20,$20 
2018,Table21sdPUB.pdf,San Diego,San Diego,Sea stars,4,$20 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, treefish",4,$20 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Skate, longnose",10,$20 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Shark, swell",8,$16 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Corvina, shortfin",7,$15 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Sole, fantail",20,$13 
2018,Table21sdPUB.pdf,San Diego,San Diego,Opaleye,4,$12 
2018,Table21sdPUB.pdf,San Diego,San Diego,Blacksmith,7,$8 
2018,Table21sdPUB.pdf,San Diego,San Diego,Flyingfish,2,$6 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Thornyhead, shortspine",1,$5 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, kelp",1,$5 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Rockfish, black-and-yellow",1,$5 
2018,Table21sdPUB.pdf,San Diego,San Diego,"Flounder, unspecified",71,$1 
