year,filename,area,port,species,landings_lb,revenues_usd
2019,Table 17PUB.pdf,San Francisco,San Francisco,"Crab, Dungeness","1,321,723","$5,205,724 "
2020,Table 17PUB.pdf,San Francisco,San Francisco,"Salmon, Chinook","159,434","$1,276,100 "
2021,Table 17PUB.pdf,San Francisco,San Francisco,"Halibut, California","171,562","$1,170,064 "
2022,Table 17PUB.pdf,San Francisco,San Francisco,Swordfish,"328,285","$1,081,505 "
2023,Table 17PUB.pdf,San Francisco,San Francisco,Sablefish,"89,164","$322,263 "
2024,Table 17PUB.pdf,San Francisco,San Francisco,"Tuna, bigeye","102,071","$307,037 "
2025,Table 17PUB.pdf,San Francisco,San Francisco,"Squid, market","517,991","$257,318 "
2026,Table 17PUB.pdf,San Francisco,San Francisco,"Herring, Pacific - roe","1,372,983","$247,137 "
2027,Table 17PUB.pdf,San Francisco,San Francisco,Opah,"142,475","$149,139 "
2028,Table 17PUB.pdf,San Francisco,San Francisco,"Tuna, yellowfin","48,779","$139,220 "
2029,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, chilipepper","141,632","$68,819 "
2030,Table 17PUB.pdf,San Francisco,San Francisco,"Shrimp, coonstriped","9,197","$50,725 "
2031,Table 17PUB.pdf,San Francisco,San Francisco,Lingcod,"18,005","$44,870 "
2032,Table 17PUB.pdf,San Francisco,San Francisco,"Sole, petrale","64,247","$35,626 "
2033,Table 17PUB.pdf,San Francisco,San Francisco,"Seabass, white","5,855","$35,614 "
2034,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, bocaccio","83,011","$35,178 "
2035,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, brown","5,827","$32,408 "
2036,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, gopher","3,634","$20,023 "
2037,Table 17PUB.pdf,San Francisco,San Francisco,"Sole, sand","16,625","$16,660 "
2038,Table 17PUB.pdf,San Francisco,San Francisco,Thornyheads,"1,988","$14,527 "
2039,Table 17PUB.pdf,San Francisco,San Francisco,"Crab, rock unspecified","2,510","$14,016 "
2040,Table 17PUB.pdf,San Francisco,San Francisco,"Shark, shortfin mako","10,362","$10,059 "
2041,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, splitnose","46,306","$9,261 "
2042,Table 17PUB.pdf,San Francisco,San Francisco,"Anchovy, northern","3,065","$8,939 "
2043,Table 17PUB.pdf,San Francisco,San Francisco,"Tuna, albacore","43,635","$7,743 "
2044,Table 17PUB.pdf,San Francisco,San Francisco,"Sea urchin, red","1,256","$6,905 "
2045,Table 17PUB.pdf,San Francisco,San Francisco,Dolphin (fish),"4,103","$5,975 "
2046,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, blackgill","3,656","$5,543 "
2047,Table 17PUB.pdf,San Francisco,San Francisco,Wahoo,"2,952","$4,128 "
2048,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, bank","8,321","$3,761 "
2050,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, copper",675,"$3,432 "
2051,Table 17PUB.pdf,San Francisco,San Francisco,"Flounder, starry","3,363","$3,368 "
2052,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, canary","2,605","$3,337 "
2053,Table 17PUB.pdf,San Francisco,San Francisco,"Salmon, Roe (Chinook, Coho)",703,"$2,965 "
2054,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, widow","4,054","$2,772 "
2055,Table 17PUB.pdf,San Francisco,San Francisco,"Greenling, kelp",873,"$2,699 "
2056,Table 17PUB.pdf,San Francisco,San Francisco,"Prickleback, monkeyface (eel)",259,"$2,621 "
2057,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, vermilion","1,049","$2,575 "
2058,Table 17PUB.pdf,San Francisco,San Francisco,"Fish, unspecified","1,069","$2,556 "
2059,Table 17PUB.pdf,San Francisco,San Francisco,Pomfret,"1,388","$2,022 "
2060,Table 17PUB.pdf,San Francisco,San Francisco,"Seaperch, striped",348,"$1,802 "
2061,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, China",304,"$1,775 "
