"year","filename","port","species","landings","value"
2017,"Table 16PUB.pdf","Eureka","Crab, Dungeness",1432549,4439861
2017,"Table 16PUB.pdf","Eureka","Sablefish",683484,1662447
2017,"Table 16PUB.pdf","Eureka","Sole, Dover",2849683,1257613
2017,"Table 16PUB.pdf","Eureka","Sole, petrale",740367,811408
2017,"Table 16PUB.pdf","Eureka","Tuna, albacore",143645,285795
2017,"Table 16PUB.pdf","Eureka","Thornyhead, longspine",382079,230404
2017,"Table 16PUB.pdf","Eureka","Shrimp, ocean (pink)",557340,205175
2017,"Table 16PUB.pdf","Eureka","Smelt, night",287150,183057
2017,"Table 16PUB.pdf","Eureka","Thornyhead, shortspine",173946,182087
2017,"Table 16PUB.pdf","Eureka","Lingcod",212469,171326
2017,"Table 16PUB.pdf","Eureka","Skate, longnose",251148,98827
2017,"Table 16PUB.pdf","Eureka","Rockfish, canary",161916,81016
2017,"Table 16PUB.pdf","Eureka","Sole, English",204896,65600
2017,"Table 16PUB.pdf","Eureka","Sole, rex",143221,56118
2017,"Table 16PUB.pdf","Eureka","Halibut, California",7083,47313
2017,"Table 16PUB.pdf","Eureka","Rockfish, widow",107601,37885
2017,"Table 16PUB.pdf","Eureka","Salmon, Chinook",3400,30425
2017,"Table 16PUB.pdf","Eureka","Halibut, Pacific",3943,27652
2017,"Table 16PUB.pdf","Eureka","Rockfish, group shelf",54149,20723
2017,"Table 16PUB.pdf","Eureka","Skate, big",48424,19240
2017,"Table 16PUB.pdf","Eureka","Rockfish, bocaccio",36983,17733
2017,"Table 16PUB.pdf","Eureka","Rockfish, group slope",23459,10597
2017,"Table 16PUB.pdf","Eureka","Surfperch, redtail",10073,10073
2017,"Table 16PUB.pdf","Eureka","Rockfish, chilipepper",17738,8710
2017,"Table 16PUB.pdf","Eureka","Sanddab",13921,8200
2017,"Table 16PUB.pdf","Eureka","Flounder, arrowtooth",77905,7790
2017,"Table 16PUB.pdf","Eureka","Rockfish, darkblotched",14387,6370
2017,"Table 16PUB.pdf","Eureka","Rockfish, yellowtail",7585,3699
2017,"Table 16PUB.pdf","Eureka","Flounder, starry",5964,607
2017,"Table 16PUB.pdf","Eureka","Smelt, surf",598,345
2017,"Table 16PUB.pdf","Eureka","Sole, curlfin",749,240
2017,"Table 16PUB.pdf","Eureka","Rockfish, copper",96,216
2017,"Table 16PUB.pdf","Eureka","Rockfish, black",180,180
2017,"Table 16PUB.pdf","Eureka","Rockfish, rougheye",361,179
2017,"Table 16PUB.pdf","Eureka","Rockfish, vermilion",70,124
2017,"Table 16PUB.pdf","Eureka","Rockfish, redbanded",252,116
2017,"Table 16PUB.pdf","Eureka","Rockfish, Pacific ocean perch",140,65
2017,"Table 16PUB.pdf","Eureka","Grenadier",2933,59
2017,"Table 16PUB.pdf","Eureka","Rockfish, group small",169,54
2017,"Table 16PUB.pdf","Eureka","Rockfish, blackgill",72,48
2017,"Table 16PUB.pdf","Eureka","Rockfish, shortraker",36,18
2017,"Table 16PUB.pdf","Eureka","Rockfish, unspecified",6,3
2017,"Table 16PUB.pdf","Eureka","Rockfish, group nearshore",6,3
2017,"Table 16PUB.pdf","Eureka","Shark, spiny dogfish",8,0
2017,"Table 16PUB.pdf","Eureka","Trawled fish, unspecified",6261,0
2017,"Table 16PUB.pdf","Eureka","Rockfish, cowcod",4,0
2017,"Table 16PUB.pdf","Eureka","Whiting, Pacific",520,0
2017,"Table 16PUB.pdf","Eureka","Port Totals:",8668969,9989400
2017,"Table 16PUB.pdf","Crescent City","Crab, Dungeness",1466899,4621571
2017,"Table 16PUB.pdf","Crescent City","Shrimp, ocean (pink)",2717635,1262032
2017,"Table 16PUB.pdf","Crescent City","Sablefish",160657,484217
