"comm_name_orig","comm_name","sci_name","level","presentation","type","class","order","family","genus"
"Crab, claws","Crab","Brachyura spp.","group","claws",NA,NA,NA,NA,NA
"Crab, spider/sheep claws","Sheep crab","Loxorhynchus grandis","species","claws","invert","Malacostraca","Decapoda","Epialtidae","Loxorhynchus"
"Herring roe on kelp","Pacific herring","Clupea pallasii pallasii","species","roe on kelp","fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea"
"Herring, Pacific - roe","Pacific herring","Clupea pallasii pallasii","species","roe","fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea"
"Herring, Pacific - roe on kelp","Pacific herring","Clupea pallasii pallasii","species","roe on kelp","fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea"
"Herring, Roe","Pacific herring","Clupea pallasii pallasii","species","roe","fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea"
"Salmon, Roe (Chinook and Coho)","Chinook/coho salmon","Oncorhynchus tshawytscha, Oncorhynchus kisutch","group","roe",NA,NA,NA,NA,NA
"Wahoo","Wahoo","Acanthocybium solandri","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Acanthocybium"
"Goby, yellowfin","Yellowfin goby","Acanthogobius flavimanus","species","whole","fish","Actinopterygii","Perciformes","Gobiidae","Acanthogobius"
"Smelt, whitebait","Whitebait smelt","Allosmerus elongatus","species","whole","fish","Actinopterygii","Osmeriformes","Osmeridae","Allosmerus"
"Shark, pelagic thresher","Pelagic thresher shark","Alopias pelagicus","species","whole","fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"Shark, bigeye thresher","Bigeye thresher shark","Alopias superciliosus","species","whole","fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"Shark, thresher","Thresher shark","Alopias vulpinus","species","whole","fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"Shad, American","American shad","Alosa sapidissima","species","whole","fish","Actinopterygii","Clupeiformes","Clupeidae","Alosa"
"Bass, rock","Rock bass","Ambloplites rupestris","species","whole","fish","Actinopterygii","Perciformes","Centrarchidae","Ambloplites"
"Bullhead, brown","Brown bullhead","Ameiurus nebulosus","species","whole","fish","Actinopterygii","Siluriformes","Ictaluridae","Ameiurus"
