"year","filename","X","X.1","X.2","X.3","X.4","X.5","P..Hueneme","X.6","X.7","X.8","X.9","X.10","X.11","X.12"
2002,"landings02_cpfv2.pdf","S. Diego","Oceanside","",NA,"Seal Bch","Redondo","Oxnard/ Southern","",NA,"Monterey","Princeton","S.Fran","Fort Bragg","Northern"
2002,"landings02_cpfv2.pdf","TotalCommon Name Mission Bay ***","Dana Harbor","Newport Beach",NA,"Long Bch S. Pedro","Mr del Rey Malibu","Ventura S. Barbara Total","Avila Bch Morro Bay",NA,"Moss Land S. Cruz","Bodega Bay","S.F Bay- Delta","Eureka Cres City",""
2002,"landings02_cpfv2.pdf","Barracuda, California  53,861","25,343","32,857",NA,"69,238","23,377","4,243  208,919","0",NA,"2","0","9","0","11"
2002,"landings02_cpfv2.pdf","Bass, barred sand  114,353","116,964","113,484",NA,"200,738","46,369","37,961  629,869","1",NA,"0","0","46","0","47"
2002,"landings02_cpfv2.pdf","Bass, kelp (calico)  60,518","38,243","25,049",NA,"72,312","23,028","15,756  234,906","0",NA,"0","0","0","0","0"
2002,"landings02_cpfv2.pdf","Bass, striped  0","0","0",NA,"0","0","0  0","0",NA,"0","101","6,520","0","6,621"
2002,"landings02_cpfv2.pdf","Bonito, Pacific  5,066","146","508",NA,"1,062","540","203  7,525","0",NA,"0","0","0","0","0"
2002,"landings02_cpfv2.pdf","Cabezon  82","58","116",NA,"250","158","196  860","98",NA,"283","611","118","70","1,180"
2002,"landings02_cpfv2.pdf","Croaker, white  391","408","160",NA,"783","134","60  1,936","8",NA,"29","102","338","0","477"
2002,"landings02_cpfv2.pdf","Fishes, unspecified^  3,540","3,729","16,658",NA,"58,614","9,964","10,294  102,799","16",NA,"426","31","184","0","657"
2002,"landings02_cpfv2.pdf","Flatfishes, unspecified^  34","121","138",NA,"286","66","1,633  2,278","3,915",NA,"8,335","160","15,567","5","27,982"
2002,"landings02_cpfv2.pdf","Greenling, kelp  0","0","0",NA,"0","0","0  0","161",NA,"271","242","117","95","886"
2002,"landings02_cpfv2.pdf","Halibut, California  402","694","476",NA,"1,575","1,194","922  5,263","51",NA,"271","480","9,346","2","10,150"
2002,"landings02_cpfv2.pdf","Invertebrates, unspecified^^  7,814","23,777","73,742",NA,"79,325","15,358","19,649  219,665","3",NA,"662","8,690","7,024","9,847","26,226"
2002,"landings02_cpfv2.pdf","Lingcod  5,352","113","107",NA,"781","168","6,447  12,968","5,243",NA,"3,277","7,081","6,333","2,515","24,449"
2002,"landings02_cpfv2.pdf","Mackerel, jack  200","219","80",NA,"414","1","2  916","0",NA,"74","0","24","0","98"
2002,"landings02_cpfv2.pdf","Mackerel, Pacific  16,279","21,024","5,856",NA,"9,142","14,576","2,399  69,276","0",NA,"30","0","40","0","70"
2002,"landings02_cpfv2.pdf","Other highly migratory spp^^^  51,277","910","1,423",NA,"3,839","5","37  57,491","43",NA,"49","4","6","0","102"
2002,"landings02_cpfv2.pdf","Rockfish, blue  33","10","12",NA,"110","18","8,415  8,598","34,492",NA,"53,625","15,521","14,761","11,793","130,192"
2002,"landings02_cpfv2.pdf","Rockfish, canary  86","150","163",NA,"408","18","1,687  2,512","93",NA,"503","1,179","559","243","2,577"
2002,"landings02_cpfv2.pdf","Rockfish, copper  122","16","15",NA,"105","2","7,542  7,802","988",NA,"3,403","1,159","611","337","6,498"
2002,"landings02_cpfv2.pdf","Rockfish, gopher  182","36","5",NA,"125","280","2,721  3,349","13,336",NA,"10,744","9,299","1,547","1,365","36,291"
2002,"landings02_cpfv2.pdf","Rockfish, yelloweye  37","100","2",NA,"34","0","345  518","174",NA,"130","90","14","33","441"
2002,"landings02_cpfv2.pdf","Rockfishes, unspecified^  59,919","16,123","6,870",NA,"79,675","33,935","113,279  309,801","73,366",NA,"38,741","56,174","29,421","24,539","222,241"
2002,"landings02_cpfv2.pdf","Salmon, king (chinook)  1","0","0",NA,"0","0","242  243","219",NA,"15,049","11,921","38,694","8,746","74,629"
2002,"landings02_cpfv2.pdf","Sanddab  100","744","469",NA,"110,784","8,517","1,603  122,217","1,900",NA,"544","43","2","0","2,489"
