year,filename,port_complex,area,category,species,check,January,February,March,April,May,June,July,August,September,October,November,December,Total,Extra
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Fishes,,,,,,,,,,,,,,,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Bonito, Pacific",,0,0,0,0,0,0,0,0,0,38,0,0,38,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Butterfish (Pacific pompano),,0,0,0,0,0,0,0,0,8,0,1,0,9,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Cabezon,,5,3,0,0,2,18,95,159,35,23,33,0,373,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Croaker, unspecifed",,7,4,0,0,0,2,0,1,1,3,0,0,18,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Croaker, white",,275,0,0,0,192,328,262,282,0,0,1,0,"1,340",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Eel, monkeyface (prickleback)",,2,0,0,0,0,0,0,0,0,0,0,0,2,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, arrowtooth",,0,0,0,0,0,60,56,0,0,0,0,0,116,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, starry",,"3,223","3,956","6,361","3,137",869,"1,267","1,179",889,513,920,"2,257","3,188","27,759",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, unspecified",,0,0,198,0,0,0,69,0,0,0,0,0,267,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Goby, yellowfin",,0,0,0,0,0,305,57,0,0,0,352,0,714,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Greenling, kelp",,7,8,0,0,8,16,16,29,4,0,0,0,88,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Grenadier,,0,0,0,0,0,70,45,0,0,0,0,0,115,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Halibut, California",,"31,178","14,777","28,933","14,891","15,751","42,120","49,246","43,308","23,873","9,693","5,615","11,361","290,746",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Herring, Pacific - roe on kelp",,"6,654",0,0,0,0,0,0,0,0,0,0,0,"6,654",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Herring, Pacific - roe",,"849,160","164,450",0,0,0,0,0,0,0,0,0,0,"1,013,610",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Jacksmelt,,0,0,0,0,0,21,13,0,0,7,0,0,41,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Lingcod,,111,30,159,213,"2,421",544,"2,886","1,205","1,210","1,171",374,19,"10,343",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Mackerel, Pacific",,0,0,0,0,0,0,9,0,2,0,26,0,36,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Mackerel, unspecified",,0,0,0,0,0,0,0,0,0,39,0,0,39,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Midshipman, plainfin",,0,0,0,0,157,0,0,0,0,0,0,0,157,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Mudsucker, longjaw",,0,0,0,0,0,0,0,0,0,190,347,140,677,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Oilfish,,"1,211",0,0,0,0,0,0,0,0,0,0,0,"1,211",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Opah,,301,0,0,0,0,0,0,0,0,0,0,0,301,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, China",,10,0,0,0,18,19,13,121,14,20,2,61,278,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, bank",,0,22,399,0,461,0,48,3,0,0,40,3,976,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, black-and-yellow",,206,2,0,0,36,40,140,153,86,84,0,16,763,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, black",,289,23,0,0,89,186,189,358,168,153,80,0,"1,534",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, blackgill",,331,197,0,0,326,433,76,136,600,356,0,50,"2,505",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, blue",,52,79,0,0,12,50,249,67,122,83,86,1,800,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, bocaccio",,50,89,220,0,0,0,145,136,0,0,0,5,645,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, brown",,484,246,0,17,587,690,978,"1,363",923,"1,202",281,251,"7,022",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, canary",,0,0,0,0,300,73,251,86,21,20,3,0,754,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, chilipepper",,"1,742","1,694","18,858","5,264","5,399","13,768","24,479","19,286","26,905","15,079","25,240","2,079","159,793",
