species,all_2010,mexico_2010,all_2009,mexico_2009
"Barracuda, California","47,244","7,917","74,534","9,356"
"Bass, barred sand","140,354","16,479","153,772","10,867"
"Bass, giant (black) sea",3,3,11,8
"Bass, kelp (calico)","116,680","3,482","214,870","6,346"
"Bass, striped","3,314",0,"8,934",0
"Bonito, Pacific","38,528",603,"48,882","8,087"
Cabezon,"2,135",16,"2,230",6
"Croaker, unspecified***",115,0,394,8
"Croaker, white",832,20,"1,752",87
Dolphinfish,"1,767","1,764","18,981","17,153"
"Fishes, unspecified***","11,454",494,"19,446",285
"Flatfishes, unspecified***",931,16,"2,310",19
"Greenling, kelp","2,319",29,"2,219",0
Halfmoon,"19,698",1,"34,858",54
"Halibut, California","7,810",209,"15,713",114
"Invertebrates, unspecified****","69,563",42,"45,373",679
Lingcod,"12,997","2,411","12,523","1,724"
"Mackerel, jack","2,017",164,722,0
"Mackerel, Pacific","29,503",74,"40,791",241
"Marlin, striped",0,0,7,3
"Rockfish, blue","76,330",157,"72,074",2
"Rockfish, gopher","68,682",355,"56,233",331
"Rockfishes, unspecified***","692,691","44,945","693,521","35,363"
"Salmon, king (Chinook)","4,039",0,100,0
"Salmon, unspecified***",20,0,4,0
Sanddab,"123,670",667,"131,627",490
"Scorpionfish, California","153,578","9,545","149,827","11,856"
"Seabass, white","3,692",418,"3,065",141
"Shark, blue",140,0,11,0
"Shark, bonito (mako)",44,12,51,8
"Shark, leopard",346,0,425,0
"Shark, unspecified***",454,2,259,0
"Sheephead, California","21,418",655,"29,175",661
"Sturgeon, unspecified***",184,0,113,0
"Tuna, albacore","20,826","15,114","36,302","31,525"
"Tuna, bluefin","8,437","8,131","12,037","9,249"
"Tuna, skipjack",363,356,"8,633","6,745"
"Tuna, yellowfin","28,855","27,822","82,297","75,038"
Wahoo,"3,275","3,269","3,153","3,071"
"Whitefish, ocean","51,379","6,581","60,928","6,429"
Yellowtail,"66,374","63,844","74,027","66,202"
Total Landings:,"1,832,061","215,597","2,112,184","302,148"
Number of Anglers:,"389,525","38,589","435,633","50,305"
Reporting CPFVs:,298,82,298,84
