"license_type","license","year","value"
"Registration","Comm Fishing License (R)",2000,NA
"Registration","Comm Fishing License (NR)",2000,1145
"Registration","Comm Fishing - Crewmember (R)",2000,3931
"Registration","Comm Fishing - Operator (R)",2000,3654
"Registration","Comm Fishing - Crewmember Upgrade (R)",2000,85
"Registration","Comm Boat Registration (R)",2000,4289
"Registration","Comm Boat Registration (NR)",2000,461
"Registration","Comm Passenger Fishing Vessel",2000,402
"Registration","Comm Passenger Fishing Vessel W/Salmon",2000,34
"Registration","Comm Aircraft Registration",2000,16
"Registration","Comm Salmon Stamp",2000,1944
"Registration","John Doe Salmon Stamp",2000,315
"Registration","Junior Comm Fish License",2000,47
"Registration","Junior Comm Salmon Stamp",2000,10
"Registration","Comm Ocean Enhancement Stamp",2000,753
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2000,NA
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2000,NA
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2000,127
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2000,589
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2000,68
"Limited Entry & Restricted Access","Finfish Trap Permit",2000,146
"Limited Entry & Restricted Access","General Gill/Trammel Net Permit",2000,232
"Limited Entry & Restricted Access","Herring Gill Net Permit(R)",2000,336
"Limited Entry & Restricted Access","Herring Gill Net Permit(NR)",2000,121
"Limited Entry & Restricted Access","Herring Stamp",2000,414
"Limited Entry & Restricted Access","Herring Round Haul Permit",2000,NA
"Limited Entry & Restricted Access","Herring Fresh Fish Market",2000,NA
"Limited Entry & Restricted Access","Herring Ocean Waters",2000,NA
"Limited Entry & Restricted Access","Lobster Operator Permit",2000,253
"Limited Entry & Restricted Access","Market Squid Light Boat Owners Permit",2000,49
"Limited Entry & Restricted Access","Market Squid Brail Permit (T)",2000,NA
"Limited Entry & Restricted Access","Market Squid Brail Permit (NT)",2000,NA
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (T)",2000,NA
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (NT)",2000,NA
"Limited Entry & Restricted Access","Market Squid Brail (Upgrade From Lightboat)",2000,NA
"Limited Entry & Restricted Access","Market Squid Vessel Permit (T)",2000,200
"Limited Entry & Restricted Access","Market Squid Vessel Permit (NT)",2000,NA
"Limited Entry & Restricted Access","Market Squid Vesssel Permit, Experimental (NT)",2000,NA
"Limited Entry & Restricted Access","Nearshore Permit",2000,NA
"Limited Entry & Restricted Access","Nearshore Trap Permit",2000,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit",2000,1069
"Limited Entry & Restricted Access","Nearshore Fishery Bycatch Permit",2000,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit - N. Central Coast",2000,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit - North Coast",2000,NA
"Registration","Comm Fishing License (R)",2001,NA
"Registration","Comm Fishing License (NR)",2001,1055
"Registration","Comm Fishing - Crewmember (R)",2001,3688
"Registration","Comm Fishing - Operator (R)",2001,3536
"Registration","Comm Fishing - Crewmember Upgrade (R)",2001,72
"Registration","Comm Boat Registration (R)",2001,4155
"Registration","Comm Boat Registration (NR)",2001,429
"Registration","Comm Passenger Fishing Vessel",2001,416
"Registration","Comm Passenger Fishing Vessel W/Salmon",2001,34
"Registration","Comm Aircraft Registration",2001,10
"Registration","Comm Salmon Stamp",2001,1839
"Registration","John Doe Salmon Stamp",2001,295
"Registration","Junior Comm Fish License",2001,45
"Registration","Junior Comm Salmon Stamp",2001,13
"Registration","Comm Ocean Enhancement Stamp",2001,798
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2001,NA
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2001,NA
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2001,114
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2001,588
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2001,66
"Limited Entry & Restricted Access","Finfish Trap Permit",2001,123
"Limited Entry & Restricted Access","General Gill/Trammel Net Permit",2001,223
"Limited Entry & Restricted Access","Herring Gill Net Permit(R)",2001,333
"Limited Entry & Restricted Access","Herring Gill Net Permit(NR)",2001,119
"Limited Entry & Restricted Access","Herring Stamp",2001,409
"Limited Entry & Restricted Access","Herring Round Haul Permit",2001,NA
"Limited Entry & Restricted Access","Herring Fresh Fish Market",2001,NA
"Limited Entry & Restricted Access","Herring Ocean Waters",2001,NA
"Limited Entry & Restricted Access","Lobster Operator Permit",2001,247
"Limited Entry & Restricted Access","Market Squid Light Boat Owners Permit",2001,45
"Limited Entry & Restricted Access","Market Squid Brail Permit (T)",2001,NA
"Limited Entry & Restricted Access","Market Squid Brail Permit (NT)",2001,NA
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (T)",2001,NA
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (NT)",2001,NA
"Limited Entry & Restricted Access","Market Squid Brail (Upgrade From Lightboat)",2001,NA
"Limited Entry & Restricted Access","Market Squid Vessel Permit (T)",2001,196
"Limited Entry & Restricted Access","Market Squid Vessel Permit (NT)",2001,NA
"Limited Entry & Restricted Access","Market Squid Vesssel Permit, Experimental (NT)",2001,NA
"Limited Entry & Restricted Access","Nearshore Permit",2001,NA
"Limited Entry & Restricted Access","Nearshore Trap Permit",2001,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit",2001,767
"Limited Entry & Restricted Access","Nearshore Fishery Bycatch Permit",2001,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit - N. Central Coast",2001,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit - North Coast",2001,NA
"Registration","Comm Fishing License (R)",2002,NA
"Registration","Comm Fishing License (NR)",2002,961
"Registration","Comm Fishing - Crewmember (R)",2002,3553
"Registration","Comm Fishing - Operator (R)",2002,3472
"Registration","Comm Fishing - Crewmember Upgrade (R)",2002,62
"Registration","Comm Boat Registration (R)",2002,3680
"Registration","Comm Boat Registration (NR)",2002,361
"Registration","Comm Passenger Fishing Vessel",2002,433
"Registration","Comm Passenger Fishing Vessel W/Salmon",2002,39
"Registration","Comm Aircraft Registration",2002,12
"Registration","Comm Salmon Stamp",2002,1865
"Registration","John Doe Salmon Stamp",2002,345
"Registration","Junior Comm Fish License",2002,55
"Registration","Junior Comm Salmon Stamp",2002,NA
"Registration","Comm Ocean Enhancement Stamp",2002,810
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2002,NA
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2002,NA
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2002,106
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2002,577
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2002,65
"Limited Entry & Restricted Access","Finfish Trap Permit",2002,112
"Limited Entry & Restricted Access","General Gill/Trammel Net Permit",2002,209
"Limited Entry & Restricted Access","Herring Gill Net Permit(R)",2002,329
"Limited Entry & Restricted Access","Herring Gill Net Permit(NR)",2002,118
"Limited Entry & Restricted Access","Herring Stamp",2002,404
"Limited Entry & Restricted Access","Herring Round Haul Permit",2002,NA
"Limited Entry & Restricted Access","Herring Fresh Fish Market",2002,NA
"Limited Entry & Restricted Access","Herring Ocean Waters",2002,NA
"Limited Entry & Restricted Access","Lobster Operator Permit",2002,237
"Limited Entry & Restricted Access","Market Squid Light Boat Owners Permit",2002,41
"Limited Entry & Restricted Access","Market Squid Brail Permit (T)",2002,NA
"Limited Entry & Restricted Access","Market Squid Brail Permit (NT)",2002,NA
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (T)",2002,NA
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (NT)",2002,NA
"Limited Entry & Restricted Access","Market Squid Brail (Upgrade From Lightboat)",2002,NA
"Limited Entry & Restricted Access","Market Squid Vessel Permit (T)",2002,184
"Limited Entry & Restricted Access","Market Squid Vessel Permit (NT)",2002,NA
"Limited Entry & Restricted Access","Market Squid Vesssel Permit, Experimental (NT)",2002,NA
"Limited Entry & Restricted Access","Nearshore Permit",2002,NA
"Limited Entry & Restricted Access","Nearshore Trap Permit",2002,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit",2002,508
"Limited Entry & Restricted Access","Nearshore Fishery Bycatch Permit",2002,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit - N. Central Coast",2002,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit - North Coast",2002,NA
"Registration","Comm Fishing License (R)",2003,NA
"Registration","Comm Fishing License (NR)",2003,931
"Registration","Comm Fishing - Crewmember (R)",2003,3473
"Registration","Comm Fishing - Operator (R)",2003,3261
"Registration","Comm Fishing - Crewmember Upgrade (R)",2003,57
"Registration","Comm Boat Registration (R)",2003,3506
"Registration","Comm Boat Registration (NR)",2003,325
"Registration","Comm Passenger Fishing Vessel",2003,432
"Registration","Comm Passenger Fishing Vessel W/Salmon",2003,32
"Registration","Comm Aircraft Registration",2003,14
"Registration","Comm Salmon Stamp",2003,1720
"Registration","John Doe Salmon Stamp",2003,259
"Registration","Junior Comm Fish License",2003,51
"Registration","Junior Comm Salmon Stamp",2003,NA
"Registration","Comm Ocean Enhancement Stamp",2003,807
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2003,NA
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2003,293
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2003,100
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2003,573
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2003,61
"Limited Entry & Restricted Access","Finfish Trap Permit",2003,67
"Limited Entry & Restricted Access","General Gill/Trammel Net Permit",2003,193
"Limited Entry & Restricted Access","Herring Gill Net Permit(R)",2003,320
"Limited Entry & Restricted Access","Herring Gill Net Permit(NR)",2003,111
"Limited Entry & Restricted Access","Herring Stamp",2003,390
"Limited Entry & Restricted Access","Herring Round Haul Permit",2003,NA
"Limited Entry & Restricted Access","Herring Fresh Fish Market",2003,NA
"Limited Entry & Restricted Access","Herring Ocean Waters",2003,NA
"Limited Entry & Restricted Access","Lobster Operator Permit",2003,228
"Limited Entry & Restricted Access","Market Squid Light Boat Owners Permit",2003,40
"Limited Entry & Restricted Access","Market Squid Brail Permit (T)",2003,NA
"Limited Entry & Restricted Access","Market Squid Brail Permit (NT)",2003,NA
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (T)",2003,NA
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (NT)",2003,NA
"Limited Entry & Restricted Access","Market Squid Brail (Upgrade From Lightboat)",2003,NA
"Limited Entry & Restricted Access","Market Squid Vessel Permit (T)",2003,174
"Limited Entry & Restricted Access","Market Squid Vessel Permit (NT)",2003,NA
"Limited Entry & Restricted Access","Market Squid Vesssel Permit, Experimental (NT)",2003,NA
"Limited Entry & Restricted Access","Nearshore Permit",2003,NA
"Limited Entry & Restricted Access","Nearshore Trap Permit",2003,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit",2003,293
"Limited Entry & Restricted Access","Nearshore Fishery Bycatch Permit",2003,26
"Limited Entry & Restricted Access","Nearshore Fishery Permit - N. Central Coast",2003,36
"Limited Entry & Restricted Access","Nearshore Fishery Permit - North Coast",2003,29
"Registration","Comm Fishing License (R)",2004,6325
"Registration","Comm Fishing License (NR)",2004,859
"Registration","Comm Fishing - Crewmember (R)",2004,NA
"Registration","Comm Fishing - Operator (R)",2004,NA
"Registration","Comm Fishing - Crewmember Upgrade (R)",2004,NA
"Registration","Comm Boat Registration (R)",2004,3326
"Registration","Comm Boat Registration (NR)",2004,304
"Registration","Comm Passenger Fishing Vessel",2004,450
"Registration","Comm Passenger Fishing Vessel W/Salmon",2004,NA
"Registration","Comm Aircraft Registration",2004,12
"Registration","Comm Salmon Stamp",2004,1764
"Registration","John Doe Salmon Stamp",2004,335
"Registration","Junior Comm Fish License",2004,NA
"Registration","Junior Comm Salmon Stamp",2004,NA
"Registration","Comm Ocean Enhancement Stamp",2004,785
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2004,NA
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2004,276
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2004,96
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2004,537
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2004,73
"Limited Entry & Restricted Access","Finfish Trap Permit",2004,45
"Limited Entry & Restricted Access","General Gill/Trammel Net Permit",2004,187
"Limited Entry & Restricted Access","Herring Gill Net Permit(R)",2004,308
"Limited Entry & Restricted Access","Herring Gill Net Permit(NR)",2004,106
"Limited Entry & Restricted Access","Herring Stamp",2004,374
"Limited Entry & Restricted Access","Herring Round Haul Permit",2004,NA
"Limited Entry & Restricted Access","Herring Fresh Fish Market",2004,NA
"Limited Entry & Restricted Access","Herring Ocean Waters",2004,4
"Limited Entry & Restricted Access","Lobster Operator Permit",2004,223
"Limited Entry & Restricted Access","Market Squid Light Boat Owners Permit",2004,40
"Limited Entry & Restricted Access","Market Squid Brail Permit (T)",2004,NA
"Limited Entry & Restricted Access","Market Squid Brail Permit (NT)",2004,NA
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (T)",2004,NA
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (NT)",2004,NA
"Limited Entry & Restricted Access","Market Squid Brail (Upgrade From Lightboat)",2004,NA
"Limited Entry & Restricted Access","Market Squid Vessel Permit (T)",2004,166
"Limited Entry & Restricted Access","Market Squid Vessel Permit (NT)",2004,NA
"Limited Entry & Restricted Access","Market Squid Vesssel Permit, Experimental (NT)",2004,NA
"Limited Entry & Restricted Access","Nearshore Permit",2004,NA
"Limited Entry & Restricted Access","Nearshore Trap Permit",2004,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit",2004,NA
"Limited Entry & Restricted Access","Nearshore Fishery Bycatch Permit",2004,25
"Limited Entry & Restricted Access","Nearshore Fishery Permit - N. Central Coast",2004,36
"Limited Entry & Restricted Access","Nearshore Fishery Permit - North Coast",2004,28
"Registration","Comm Fishing License (R)",2005,5959
"Registration","Comm Fishing License (NR)",2005,771
"Registration","Comm Fishing - Crewmember (R)",2005,NA
"Registration","Comm Fishing - Operator (R)",2005,NA
"Registration","Comm Fishing - Crewmember Upgrade (R)",2005,NA
"Registration","Comm Boat Registration (R)",2005,3205
"Registration","Comm Boat Registration (NR)",2005,290
"Registration","Comm Passenger Fishing Vessel",2005,451
"Registration","Comm Passenger Fishing Vessel W/Salmon",2005,NA
"Registration","Comm Aircraft Registration",2005,10
"Registration","Comm Salmon Stamp",2005,1697
"Registration","John Doe Salmon Stamp",2005,299
"Registration","Junior Comm Fish License",2005,NA
"Registration","Junior Comm Salmon Stamp",2005,NA
"Registration","Comm Ocean Enhancement Stamp",2005,818
