"year","nfishers","nfishers_nr","nfishers_r"
1970,8967,NA,NA
1971,10161,NA,NA
1972,10536,NA,NA
1973,12156,NA,NA
1974,14565,NA,NA
1975,13968,NA,NA
1976,14958,NA,NA
1977,17407,NA,NA
1978,20298,NA,NA
1979,19997,NA,NA
1980,20363,NA,NA
1981,18862,NA,NA
1982,19176,NA,NA
1983,15509,NA,NA
1984,14457,NA,NA
1985,14634,NA,NA
1986,14837,NA,NA
1987,14458,NA,NA
1988,15228,NA,NA
1989,15151,NA,NA
1990,NA,NA,14430
1991,NA,NA,NA
1992,NA,NA,12180
1993,NA,751,NA
1994,NA,835,NA
1995,NA,945,NA
1996,NA,1190,NA
1997,NA,1158,NA
1998,NA,1221,NA
1999,NA,1270,NA
2000,NA,1145,NA
2001,NA,1055,NA
2002,NA,961,NA
2003,NA,931,NA
2004,7184,859,6325
2005,6730,771,5959
2006,6360,677,5683
2007,6465,684,5781
2008,6012,664,5348
2009,6149,682,5467
2010,6298,728,5570
2011,6691,918,5773
2012,6830,889,5941
2013,6769,868,5901
2014,6767,933,5834
2015,6450,907,5543
2016,6832,1144,5688
2017,6557,1145,5412
2018,6330,831,5499
2019,6399,841,5558
2020,6541,644,5897
