Licenses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Resident Hunting     (Annual),$          27.25,$          28.50,$          29.50,$          29.75,$          31.25,$          31.75,$          33.25,$          35.50,$          37.00,$          39.25
Lifetime Hunting,$          27.25,$          28.50,$          29.50,$          29.75,$          29.25,$          29.25,$          29.25,$          29.25,$          29.25,$          29.25
Junior Hunting     (Annual),$            6.75,$            7.00,$            7.25,$            7.25,$            8.25,$            8.25,$            8.75,$            9.25,$            9.75,$          10.25
Lifetime Junior Hunting,N/A,N/A,N/A,N/A,$           7.25,$           7.25,$            7.25,$           7.25,$            7.25,$           7.25
Disabled Veteran Hunting,$            4.25,$           4.50,$            4.75,$            4.75,$            5.00,$           5.25,$            5.50,$            5.75,$           6.00,$            6.25
Non-Resident Hunting     (Annual),$          95.50,$          99.50,$        102.75,$        103.50,$        108.50,$        110.25,$        115.75,$        123.25,$        128.50,$        136.50
Non-Resident 1-Day Hunting,$          13.00,$          13.50,$          14.00,$          14.00,$          15.00,$          15.25,$          16.00,$          17.00,$          17.75,$          18.75
Non-Resident 2-Day Hunting,$          26.50,$          27.75,$          28.75,$          29.00,$          31.25,$          31.75,$          33.25,$          35.50,$          37.00,$          39.25
"",,,,,,,,,,
"",,,,,,,,,,
Resident First Deer Tag,$             15.75,$            16.50,$            17.00,$            17.25,$             17.75,$             18.00,$            19.00,$             20.25,$             21.00,$            22.25
Non-Resident First Deer Tag,$           161.00,$           167.75,$           173.25,$           174.75,$           180.50,$          183.25,$           192.50,$          205.25,$           214.00,$           227.25
Resident Second Deer Tag,$             20.50,$             21.25,$            22.00,$             22.25,$             23.00,$             23.25,$             24.50,$             26.00,$            27.00,$             28.75
Non-Resident SecondDeer Tag,$          161.00,$           167.75,$           173.25,$           174.75,$           180.50,$           183.25,$           192.50,$           205.25,$           214.00,$           227.25
Lifetime Deer Tag,$             15.75,$             16.50,$            17.00,$            17.25,$             19.25,$            19.25,$            19.25,$             19.25,$             19.25,$             19.25
Duplicate/Exchange Deer Tag,$              5.75,$              6.00,$               6.25,$               6.25,$               6.50,$               7.25,$              7.50,$               8.00,$               8.25,$               8.75
"",,,,,,,,,,
"",,,,,,,,,,
Resident Pronghorn Antelope Tag,$          89.00,$          92.75,$          95.75,$          96.50,$          99.75,$        101.25,$        106.25,$        113.25,$        118.00,$        125.25
Non-Resident Pronghorn Antelope Tag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$        350.00,$        365.00,$        387.50
Resident Bighorn Sheep Tag,$        250.75,$        261.50,$        270.25,$        272.50,$        281.50,$        285.75,$        300.25,$        320.00,$        333.75,$        354.50
Non-Resident Bighorn Sheep Tag,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00
Resident Elk Tag,$        266.25,$        277.50,$       286.75,$        289.00,$        298.75,$        303.25,$       318.50,$        339.50,$        354.00,$        376.00
Non-Resident Elk Tag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$     1,050.00","$     1,094.75","$     1,162.50"
"",,,,,,,,,,
"",,,,,,,,,,
EAS Drawing Application,$              6.25,$              6.50,$              6.75,$               6.75,$              7.00,$              7.25,$               7.50,$              7.50,$               7.50,$               7.50
"",,,,,,,,,,
"",,,,,,,,,,
Resident Bear Tags,$             24.25,$             25.25,$             26.00,$            26.25,$             27.25,$            28.75,$            29.25,$            31.25,$            32.50,$             34.50
Non-Resident Bear Tags,$           169.75,$           177.00,$           183.00,$          184.50,$           190.75,$           194.50,$          203.25,$           216.50,$          225.75,$           239.75
"",,,,,,,,,,
"",,,,,,,,,,
Resident Wild Pig Tag,$              7.50,$              7.50,$              8.75,$              8.75,$             15.00,$             15.25,$            16.00,$             17.00,$             17.75,$             18.75
Non-Resident Wild Pig Tag,$             12.25,$             12.75,$            13.25,$             13.25,$             50.00,$             50.75,$             53.25,$            56.75,$             59.25,$             63.00
Bobcat Hunting Tags (Book of 5),$             10.25,$            10.75,$             11.00,$             11.00,$            11.25,$             11.50,$            12.00,$             12.75,$            13.25,$            14.00
Bobcat Shipping Tags,$              3.25,$               3.50,$               3.50,$               3.50,$               5.50,$               4.25,$              3.00,$               3.00,$               3.00,$               3.00
"",,,,,,,,,,
"",,,,,,,,,,
Duck Validation,$            10.00,$             10.00,$             10.00,$             10.00,$             13.25,$            13.50,$             14.25,$             15.25,$             16.00,$             17.00
Lifetime Duck Validation,$            10.00,$            10.00,$             10.00,$            10.00,$             10.00,$             10.00,$             10.00,$             10.00,$            10.00,$             10.00
Waterfowl Reservation Application,$               1.00,$               1.00,$               1.00,$              1.00,$              1.25,$              1.25,$               1.25,$               1.25,$               1.25,$               1.25
1-Day Type A Wildlife Area Permit,$            12.00,$             12.50,$             13.00,$             13.00,$            13.50,$             14.00,$             14.75,$             15.75,$             16.50,$             17.50
2-Day Type A Wildlife Area Pass,$            20.00,$            20.75,$             21.50,$             21.75,$             22.50,$             23.00,$             24.25,$             25.75,$            26.75,$            28.50
Type A Wildlife Area Season Pass,$             93.75,$             97.75,$          101.00,$           101.75,$           105.25,$           106.75,$           112.25,$           119.50,$           124.50,$           132.25
Type B Wildlife Area Season Pass,$             31.25,$             32.50,$             33.50,$             33.75,$            35.00,$             35.50,$            37.25,$            39.75,$             41.50,$            44.00
Upland Game Bird Validation,$              5.75,$               6.00,$               6.25,$               6.25,$               6.50,$               6.50,$               6.75,$               7.25,$               7.50,$               8.00
Lifetime Upland Game Bird Validation,$              5.75,$              6.00,$               6.25,$               6.25,$               6.25,$              6.25,$              6.25,$              6.25,$               6.25,$               6.25
