Licenses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Resident Fishing     (Annual),"1,265,420","1,229,770","1,180,641","1,124,024","1,268,728","1,245,007","1,256,784","1,283,454","1,203,586","1,179,195"
Lifetime Fishing,"2,447","3,260","4,235","5,464","7,101","7,632","8,546","9,440","10,145","10,804"
Non-Resident Fishing     (Annual),"11,663","11,570","11,234","10,504","11,400","11,253","11,457","11,442","10,623","10,380"
Non-Resident Fishing     (l0 Day),"14,413","13,897","12,247","12,098","15,362","15,786","16,535","17,268","16,009","14,495"
1-Day Sportfishing,N/A,N/A,N/A,N/A,"535,114","553,081","598,563","608,606","570,751","572,027"
2-Day Sportfishing,"443,207","459,701","476,020","472,212","167,056","152,292","148,296","146,590","134,079","128,037"
Reduced Fee Sportfishing,"19,394","18,357","17,387","12,230","11,862","11,636","11,374","10,427","10,049","10,468"
Resident Upgrade,"16,178","16,238","16,979","14,781",N/A,N/A,N/A,N/A,N/A,N/A
Resident Pacific Ocean Only,"155,974","152,795","156,542","142,983",N/A,N/A,N/A,N/A,N/A,N/A
Pacific Ocean (1 Day),"105,800","98,849","95,767","83,774",N/A,N/A,N/A,N/A,N/A,N/A
Pacific Ocean/Enhancement (1 Day),"241,059","230,237","222,888","205,874",N/A,N/A,N/A,N/A,N/A,N/A
Sub Total - Licenses,"2,275,555","2,234,674","2,193,940","2,083,944","2,016,623","1,996,687","2,051,555","2,087,227","1,955,242","1,925,406"
"",,,,,,,,,,
Bay-Delta Enhancement Stamp,N/A,N/A,N/A,N/A,"321,486","305,080","293,371","306,955","278,547","280,327"
Lifetime Bay-Delta Enhancement Stamp,N/A,N/A,N/A,N/A,"3,429","3,639","4,006","4,360","4,648","4,881"
Second Rod Sport Fish Validation,"178,130","178,783","184,472","185,596","176,861","178,766","186,172","195,375","220,740","227,749"
Lifetime Second Rod Sport Fish Stamp,Not Avail.,Not Avail.,Not Avail.,Not Avail.,"3,429","3,639","4,006","4,360","4,648","4,881"
Spiny Lobster Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"27,472","32,343"
Abalone Report Card,"39,277","40,857","35,857","36,769","36,406","35,047","37,391","39,789","37,407","38,553"
North Coast Salmon Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"12,583","15,563"
Lifetime North Coast Salmon Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"4,649","4,890"
Salmon Punch Card,"33,741","40,862","42,234","41,467","37,448","29,921","24,921","32,035",N/A,N/A
Lifetime Salmon Punch Card,Not Avail.,Not Avail.,Not Avail.,Not Avail.,"3,429","3,639","4,006","4,360",N/A,N/A
Steelhead Report Card,"43,980","51,246","55,744","55,757","51,827","47,091","40,558","50,162","44,994","43,814"
Lifetime Steelhead Report Card,Not Avail.,Not Avail.,Not Avail.,Not Avail.,"3,430","3,639","4,006","4,360","4,649","4,894"
Striped Bass Stamp,"304,570","302,321","302,152","305,589",N/A,N/A,N/A,N/A,N/A,N/A
Sturgeon Fishing Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Avail.,Not Avail.,Not Avail.
Ocean Enhancement Stamp,"282,832","273,477","273,124","251,978","271,407","259,940","270,327","270,440","257,009","250,594"
Lifetime Ocean Enhancement Stamp,Not Avail.,Not Avail.,Not Avail.,Not Avail.,"3,429","3,639","4,006","4,360","4,648","4,881"
Sub Total - Stamps & Report Cards,"882,530","887,546","893,583","877,156","912,581","874,040","872,770","916,556","901,994","913,370"
"",,,,,,,,,,
TOTAL SPORT FISHING,"3,158,085","3,122,220","3,087,523","2,961,100","2,929,204","2,870,727","2,924,325","3,003,783","2,857,236","2,838,776"
