Licenses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,,,,,,,,,,
Resident Hunting (Annual),$47.25,$48.75,-,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Hunting,$-,$-,-,-,-,-,-,-,-,-,,,,,,,,,,
Junior Hunting (Annual),$12.50,$13.00,-,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Junior Hunting,$-,$-,-,-,-,-,-,-,-,-,,,,,,,,,,
Disabled Veteran Hunting,$7.50,$7.75,-,-,-,-,-,-,-,-,,,,,,,,,,
Recovering Service Member,$7.50,$7.75,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident Hunting (Annual),$165.00,$170.00,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident 1-Day Hunting,$22.50,$23.25,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident 2-Day Hunting,$47.25,$48.75,-,-,-,-,-,-,-,-,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
Resident First Deer Tag,$31.00,$32.00,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident First Deer Tag,$278.50,$287.00,-,-,-,-,-,-,-,-,,,,,,,,,,
Resident Second Deer Tag,$38.75,$40.00,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident Second Deer Tag,$278.50,$287.00,-,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Deer Tag,$-,$-,-,-,-,-,-,-,-,-,,,,,,,,,,
Duplicate/Exchange Deer Tag,$10.50,$10.75,-,-,-,-,-,-,-,-,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
Resident Pronghorn Antelope Tag,$150.75,$155.25,-,-,-,-,-,-,-,-,,,,,,,,,,
Resident Pronghorn Antelope Tag (Junior),$20.50,$21.25,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident Pronghorn Antelope Tag,$467.75,$482.00,-,-,-,-,-,-,-,-,,,,,,,,,,
Resident Bighorn Sheep Tag,$435.75,$449.00,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident Bighorn Sheep Tag,"$ 1,633.50","$ 1,683.25",-,-,-,-,-,-,-,-,,,,,,,,,,
Resident Elk Tag,$454.00,$467.75,-,-,-,-,-,-,-,-,,,,,,,,,,
Resident Elk Tag (Junior),$20.50,$21.25,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident Elk Tag,"$ 1,404.00","$ 1,446.75",-,-,-,-,-,-,-,-,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
Resident Antelope Tag Drawing Application,$7.50,$7.50,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident Antelope Tag Drawing Application,$7.50,$7.50,-,-,-,-,-,-,-,-,,,,,,,,,,
Resident Bighorn Sheep Tag Drawing Application,$7.50,$7.50,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident Bighorn Sheep Tag Drawing Application,$7.50,$7.50,-,-,-,-,-,-,-,-,,,,,,,,,,
Resident Elk Tag Drawing Application,$7.50,$7.50,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident Elk Tag Drawing Application,$7.50,$7.50,-,-,-,-,-,-,-,-,,,,,,,,,,
"Elk, Antelope, Bighorn Sheep Tag Return Fee",$30.00,$31.00,-,-,-,-,-,-,-,-,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
Fundraising Deer Tag Random Drawing,$6.25,$6.50,-,-,-,-,-,-,-,-,,,,,,,,,,
Fundraising Bighorn Sheep Tag Random Drawing,$6.25,$6.50,-,-,-,-,-,-,-,-,,,,,,,,,,
Fundraising Antelope Tag Random Drawing,$6.25,$6.50,-,-,-,-,-,-,-,-,,,,,,,,,,
Fundraising Elk Tag Random Drawing,$6.25,$6.50,-,-,-,-,-,-,-,-,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
Resident Bear Tags,$45.75,$47.25,-,-,-,-,-,-,-,-,,,,,,,,,,
Resident Bear Tags (Junior),$24.75,$25.75,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident Bear Tags,$293.75,$302.75,-,-,-,-,-,-,-,-,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
Resident Wild Pig Tag,$22.50,$23.25,-,-,-,-,-,-,-,-,,,,,,,,,,
Non-Resident Wild Pig Tag,$76.00,$78.25,-,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Wild Pig Tags,$-,$-,-,-,-,-,-,-,-,-,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
Duck Validation,$20.75,$21.50,-,-,-,-,-,-,-,-,,,,,,,,,,
Collector Duck Stamp,$20.75,$21.50,-,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Duck Validation,$-,$-,-,-,-,-,-,-,-,-,,,,,,,,,,
Waterfowl Reservation Application,$1.25,$1.25,-,-,-,-,-,-,-,-,,,,,,,,,,
1-Day Type A Wildlife Area Permit,$21.25,$22.00,-,-,-,-,-,-,-,-,,,,,,,,,,
2-Day Type A Wildlife Area Pass,$34.25,$35.25,-,-,-,-,-,-,-,-,,,,,,,,,,
Type A Wildlife Area Season Pass,$160.25,$165.25,-,-,-,-,-,-,-,-,,,,,,,,,,
Type B Wildlife Area Season Pass,$53.75,$55.50,-,-,-,-,-,-,-,-,,,,,,,,,,
Upland Game Bird Validation,$9.50,$9.75,-,-,-,-,-,-,-,-,,,,,,,,,,
Collector Upland Game Bird Stamp,$9.50,$9.75,-,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Upland Game Bird Validation,$-,$-,-,-,-,-,-,-,-,-,,,,,,,,,,
Harvest Information Program Validation,$-,$-,-,-,-,-,-,-,-,-,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
Lifetime Hunting Package - Age 0 to 9,$554.75,$571.75,$587.25,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Hunting Package - Age 10 to 39,$911.50,$939.25,$965.00,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Hunting Package - Age 40 to 61,$820.50,$845.50,$868.50,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Hunting Package - Age 62 and Over,$554.75,$571.75,$587.25,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Hunting Privilege Package - Big Game,$676.50,$697.25,$716.25,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Hunting Privilege Package - Game Bird,$319.25,$329.00,$338.00,-,-,-,-,-,-,-,,,,,,,,,,
