Licenses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Aquaculture Registration (New),4,2,1,-,-,-,-,-,-,-
Aquaculture Registration (Renewal),110,108,95,-,-,-,-,-,-,-
Aquaculture Registration Late Fee,6,12,0,-,-,-,-,-,-,-
Aquaculture Registration Surcharge,55,54,48,-,-,-,-,-,-,-
Commercial Hunting Club License (1 Property),39,39,0,-,-,-,-,-,-,-
Commercial Hunting Club License (2-5 Properties),16,12,0,-,-,-,-,-,-,-
Commercial Hunting Club License (6-10 Properties),2,1,0,-,-,-,-,-,-,-
Commercial Hunting Club License (11 or More Properties),1,2,0,-,-,-,-,-,-,-
Commercial Native Rattlesnake (New),0,0,0,-,-,-,-,-,-,-
Commercial Native Rattlesnake (Renewal),1,1,1,-,-,-,-,-,-,-
Commercial Native Rattlesnake Inspection Fee,0,0,0,-,-,-,-,-,-,-
Domesticated Game Bird Seals (50 Per Book),310,313,217,-,-,-,-,-,-,-
Domesticated Game Breeder's License Class 1,107,97,84,-,-,-,-,-,-,-
Domesticated Game Breeder's License Class 2,24,26,19,-,-,-,-,-,-,-
Domesticated Game Mammal Tags,0,0,0,-,-,-,-,-,-,-
Falconer Raptor Capture Permit (NR),0,0,0,-,-,-,-,-,-,-
Falconry License Application Fee,665,646,0,-,-,-,-,-,-,-
Falconry License,659,630,0,-,-,-,-,-,-,-
Falconry Inspection Fee (1-5 Enclosures),23,40,0,-,-,-,-,-,-,-
Falconry Additional Inspection Fee (Per Enclosures Over 5),0,0,0,-,-,-,-,-,-,-
Fallow Deer Farming Permit,5,5,4,-,-,-,-,-,-,-
Fallow Deer Farming Permit Application Fee,0,1,1,-,-,-,-,-,-,-
Fallow Deer Farming Permit Inspection Fee,3,3,3,-,-,-,-,-,-,-
Fully Protected Species Permit,0,0,0,-,-,-,-,-,-,-
Fur Agent License,0,0,0,-,-,-,-,-,-,-
Fur Dealer License,0,0,0,-,-,-,-,-,-,-
Game Bird Club Seals (100 Per Book),"1,638","1,585",0,-,-,-,-,-,-,-
Guide License (R),"1,314","1,355","1,137",-,-,-,-,-,-,-
Guide License (NR),55,57,39,-,-,-,-,-,-,-
Lands Pass - 1-Day,"10,761","21,517","7,672",-,-,-,-,-,-,-
Lands Pass – Annual,846,"1,384",816,-,-,-,-,-,-,-
Licensed Guide Employee Registration,28,18,13,-,-,-,-,-,-,-
Licensed Game Bird Club Zone A - 500 acres or less,11,10,0,-,-,-,-,-,-,-
Licenses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Licensed Game Bird Club Zone A - over 500 acres,14,12,0,-,-,-,-,-,-,-
Licensed Game Bird Club Zone B - 500 acres or less,14,13,0,-,-,-,-,-,-,-
Licensed Game Bird Club Zone B - over 500 acres,17,18,0,-,-,-,-,-,-,-
Licensed Domesticated Migratory Game Bird Shooting Area,2,2,0,-,-,-,-,-,-,-
Native Reptile Captive Propagation Permit,38,44,36,-,-,-,-,-,-,-
Native Reptile & Amphibian Permit (Take by Biol. Supply House),2,2,2,-,-,-,-,-,-,-
"Restricted Species Permit Animal Care, Detrimental",0,0,0,-,-,-,-,-,-,-
"Restricted Species Permit Animal Care, Welfare",4,3,1,-,-,-,-,-,-,-
Restricted Species Permit Application Fee (Amended or Renewal),271,250,118,-,-,-,-,-,-,-
Restricted Species Permit Application Fee (New),2,2,5,-,-,-,-,-,-,-
Restricted Species Permit Aquaculture,0,0,0,-,-,-,-,-,-,-
"Restricted Species Permit AZA, Detrimental",16,20,6,-,-,-,-,-,-,-
Restricted Species Permit Breeding,12,9,3,-,-,-,-,-,-,-
Restricted Species Permit Broker/Dealer (R),5,3,3,-,-,-,-,-,-,-
Restricted Species Permit Broker/Dealer (NR),1,1,1,-,-,-,-,-,-,-
Restricted Species Permit ELE & MOU Fee,2,2,13,-,-,-,-,-,-,-
Restricted Species Permit ELE & MOU Renewal,25,26,3,,,,,,,
Restricted Species Permit Exhibiting (R),103,97,52,-,-,-,-,-,-,-
Restricted Species Permit Exhibiting (NR),0,1,3,-,-,-,-,-,-,-
Restricted Species Permit Fish,1,0,0,-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (Aquaculture & Fish),0,0,0,-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (1-5 Enclosures),84,74,45,-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (6-25 Enclosures),60,65,36,-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (26-50 Enclosures),22,23,9,-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (51-100 Enclosures),8,7,4,-,-,-,-,-,-,-
Restricted Species Permit Inspection Fee (101+ Enclosures),2,2,0,-,-,-,-,-,-,-
Restricted Species Permit Native Species Exhibiting,21,23,13,-,-,-,-,-,-,-
Restricted Species Permit Nuisance Bird Abatement (R),4,2,2,-,-,-,-,-,-,-
Restricted Species Permit Nuisance Bird Abatement (NR),0,0,0,-,-,-,-,-,-,-
"Restricted Species Permit Research, Detrimental",30,31,37,-,-,-,-,-,-,-
Restricted Species Permit Shelter,23,24,11,-,-,-,-,-,-,-
Restricted Species Permit Single Event Breeding,1,0,1,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Application Fee Inland Fisheries,16,15,10,-,-,-,-,-,-,-
Licenses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Scientific Collecting Permit General Use Application Fee Inland Fisheries (Student),1,2,0,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Application Fee Marine,22,31,17,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Application Fee Marine (Student),5,6,2,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Application Fee Terrestrial Wildlife,23,31,10,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Application Fee Terrestrial Wildlife (Student),2,2,2,-,-,-,-,-,-,-
Scientific Collecting Permit Specific Use Application Fee,420,396,142,-,-,-,-,-,-,-
Scientific Collecting Permit Specific Use Application Fee (Student),51,67,24,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Amendment Fee Inland Fisheries,1,4,2,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Amendment Fee Inland Fisheries (Student),0,0,0,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Amendment Fee Marine,3,4,2,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Amendment Fee Marine (Student),1,0,0,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Amendment Fee Terrestrial Wildlife,1,1,1,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Amendment Fee Terrestrial Wildlife (Student),0,0,0,-,-,-,-,-,-,-
Scientific Collecting Permit Specific Use Amendment Fee,126,138,59,-,-,-,-,-,-,-
Scientific Collecting Permit Specific Use Amendment Fee (Student),12,9,2,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Inland Fisheries,11,13,4,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Inland Fisheries (Student),2,1,0,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Marine,19,29,14,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Marine (Student),3,8,3,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Terrestrial Wildlife,20,25,5,-,-,-,-,-,-,-
Scientific Collecting Permit General Use Terrestrial Wildlife (Student),1,1,1,-,-,-,-,-,-,-
Scientific Collecting Permit Specific Use,367,314,100,-,-,-,-,-,-,-
Scientific Collecting Permit Specific Use (Student),46,59,18,-,-,-,-,-,-,-
Trapping License (Junior) (Pest Control Only),0,0,0,-,-,-,-,-,-,-
Trapping License (R) (Pest Control Only),606,625,0,-,-,-,-,-,-,-
Trapping License (NR) (Pest Control Only),3,2,0,-,-,-,-,-,-,-
Warden Stamp,"6,833","9,629","4,760",-,-,-,-,-,-,-
Total Special Permits,"26,062","40,086","15,732",-,-,-,-,-,-,-
