Licenses,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
COMM FISHING LICENSE,"8,967","10,161","10,536","12,156","14,565","13,968","14,958","17,407","20,298","19,997"
COMM BOAT REGISTRATION,"4,341","4,986","5,263","5,946","6,952","6,827","7,268","8,421","9,654","9,635"
COMM PASSENGER FISHING VESSEL,457,484,466,491,472,419,405,400,425,438
COMM SALMON STAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"10,222"
Limited Entry & Restricted Access,,,,,,,,,,
LOBSTER PERMIT,185,209,266,268,199,214,182,214,294,277
Nonrestrictive Permits,,,,,,,,,,
ABALONE PERMIT,530,486,447,487,557,517,486,N/A,N/A,N/A
ABALONE CREW MEMBER PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,593,393,93
ABALONE DIVING PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,107,155
KELP LICENSE,8,9,43,58,186,105,39,78,37,54
OYSTER PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17
TOTAL,"14,488","16,335","17,021","19,406","22,931","22,050","23,338","27,137","31,208","40,888"
