Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Resident Hunting     (Annual),"$     7,549,689","$     7,652,436","$    7,853,810","$    7,822,393","$    7,764,279","$    7,663,946","$    7,512,975","$     7,433,304","$    7,398,064","$     7,642,395"
Lifetime Hunting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$           12,540","$           20,711","$          27,285"
Junior Hunting     (Annual),"$       104,385","$       115,285","$       127,468","$        133,331","$        138,259","$        142,572","$        147,288","$       153,316","$       154,251","$        157,451"
Disabled Veteran Hunting,$                 46,$                400,$               482,$               554,$               630,"$             1,864","$            1,560","$             1,772","$             1,938","$             2,270"
Non-Resident Hunting     (Annual),"$        167,113","$       173,280","$        176,407","$       215,280","$        235,176","$        268,457","$        299,617","$        265,425","$        272,138","$        305,124"
Non-Resident 1-Day Hunting,"$           11,115","$             7,226","$             8,546","$          10,164","$            9,506","$           10,649","$          13,054","$            9,861","$           11,688","$          14,191"
Non-Resident 2-Day Hunting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$           45,975","$           59,619","$           69,862"
Sub Total - Hunting Licenses,"$     7,832,348","$     7,948,627","$     8,166,713","$     8,181,721","$     8,147,849","$     8,087,487","$     7,974,493","$     7,876,219","$     7,858,789","$     8,148,715"
"",,,,,,,,,,
Resident First Deer Tag,"$    2,453,932","$    2,465,774","$     2,531,399","$     2,501,969","$     2,310,385","$     2,326,380","$    2,274,746","$     2,310,705","$    2,256,985","$     2,321,916"
Non-Resident First Deer Tag,"$           61,377","$          63,603","$          65,340","$           72,204","$           61,009","$          70,049","$          75,205","$           78,208","$           89,700","$           98,425"
Resident Second Deer Tag,"$     1,035,493","$    1,017,543","$     1,085,569","$    1,058,529","$       979,161","$       972,670","$       939,675","$        983,756","$        953,900","$        949,523"
Non-Resident SecondDeer Tag,"$             3,444","$             3,476","$            3,105","$             3,966","$             5,610","$          11,460","$             6,944","$          27,342","$           10,764","$          15,081"
Duplicate/Exchange Deer Tag,N/A,N/A,N/A,$                535,"$           10,143","$             8,085","$            9,191","$             8,165","$             7,291","$            7,625"
Sub Total - Deer Tags,"$     3,554,246","$     3,550,395","$     3,685,413","$     3,637,202","$     3,366,308","$     3,388,645","$     3,305,760","$     3,408,176","$     3,318,640","$     3,392,569"
"",,,,,,,,,,
Resident Pronghorn Antelope Tag,"$           61,178","$          70,787","$        118,008","$          19,555","$          26,893","$           42,240","$          18,476","$           41,490","$           39,071","$          48,789"
