"","X","filename","decade","category","license","year","items","fees_usd","revenues_usd"
"1",1,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Resident Hunting (Annual)",1970,690790,4,2763160
"2",2,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Junior Hunting (Annual)",1970,70964,1,70964
"3",3,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident Hunting (Annual)",1970,1767,25,44175
"4",4,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident 1-Day Hunting",1970,150,5,750
"5",5,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident First Deer Tag",1970,390498,2,780996
"6",6,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident First Deer Tag",1970,602,10,6020
"7",7,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident Second Deer Tag",1970,NA,NA,NA
"8",8,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident Second Deer Tag",1970,NA,NA,NA
"9",9,"tabula-70s Items Hunting.csv","1970s","Bear Tags","Resident Bear Tags",1970,32437,1,32437
"10",10,"tabula-70s Items Hunting.csv","1970s","Game Bird Hunting","Duck Stamps",1970,NA,NA,NA
"11",11,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Resident Hunting (Annual)",1971,626626,4,2506504
"12",12,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Junior Hunting (Annual)",1971,68589,1,68589
"13",13,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident Hunting (Annual)",1971,1962,25,49050
"14",14,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident 1-Day Hunting",1971,203,5,1015
"15",15,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident First Deer Tag",1971,377040,2,754080
"16",16,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident First Deer Tag",1971,702,10,7020
"17",17,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident Second Deer Tag",1971,NA,NA,NA
"18",18,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident Second Deer Tag",1971,NA,NA,NA
"19",19,"tabula-70s Items Hunting.csv","1970s","Bear Tags","Resident Bear Tags",1971,24735,1,24735
"20",20,"tabula-70s Items Hunting.csv","1970s","Game Bird Hunting","Duck Stamps",1971,178445,1,178445
"21",21,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Resident Hunting (Annual)",1972,584039,6,3504234
"22",22,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Junior Hunting (Annual)",1972,64820,2,129640
"23",23,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident Hunting (Annual)",1972,1551,35,54285
"24",24,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident 1-Day Hunting",1972,243,5,1215
"25",25,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident First Deer Tag",1972,357578,3,1072734
"26",26,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident First Deer Tag",1972,457,25,11425
"27",27,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident Second Deer Tag",1972,NA,NA,NA
"28",28,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident Second Deer Tag",1972,NA,NA,NA
"29",29,"tabula-70s Items Hunting.csv","1970s","Bear Tags","Resident Bear Tags",1972,25126,1,25126
"30",30,"tabula-70s Items Hunting.csv","1970s","Game Bird Hunting","Duck Stamps",1972,160427,1,160427
"31",31,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Resident Hunting (Annual)",1973,607637,6,3645822
"32",32,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Junior Hunting (Annual)",1973,64467,2,128934
"33",33,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident Hunting (Annual)",1973,1683,35,58905
"34",34,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident 1-Day Hunting",1973,276,5,1380
"35",35,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident First Deer Tag",1973,387159,3,1161477
"36",36,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident First Deer Tag",1973,574,25,14350
"37",37,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident Second Deer Tag",1973,NA,NA,NA
"38",38,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident Second Deer Tag",1973,NA,NA,NA
"39",39,"tabula-70s Items Hunting.csv","1970s","Bear Tags","Resident Bear Tags",1973,30585,1,30585
"40",40,"tabula-70s Items Hunting.csv","1970s","Game Bird Hunting","Duck Stamps",1973,155872,1,155872
"41",41,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Resident Hunting (Annual)",1974,600888,6,3605328
"42",42,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Junior Hunting (Annual)",1974,64013,2,128026
"43",43,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident Hunting (Annual)",1974,1891,35,66185
"44",44,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident 1-Day Hunting",1974,291,5,1455
"45",45,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident First Deer Tag",1974,348650,3,1045950
"46",46,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident First Deer Tag",1974,494,25,12350
"47",47,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident Second Deer Tag",1974,NA,NA,NA
"48",48,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident Second Deer Tag",1974,NA,NA,NA
"49",49,"tabula-70s Items Hunting.csv","1970s","Bear Tags","Resident Bear Tags",1974,29677,1,29677
"50",50,"tabula-70s Items Hunting.csv","1970s","Game Bird Hunting","Duck Stamps",1974,162442,1,162442
"51",51,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Resident Hunting (Annual)",1975,545027,10,5450270
"52",52,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Junior Hunting (Annual)",1975,61152,2,122304
"53",53,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident Hunting (Annual)",1975,1959,35,68565
"54",54,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident 1-Day Hunting",1975,317,5,1585
"55",55,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident First Deer Tag",1975,307846,3,923538
"56",56,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident First Deer Tag",1975,417,25,10425
"57",57,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident Second Deer Tag",1975,14007,3,42021
"58",58,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident Second Deer Tag",1975,NA,NA,NA
"59",59,"tabula-70s Items Hunting.csv","1970s","Bear Tags","Resident Bear Tags",1975,26950,1,26950
"60",60,"tabula-70s Items Hunting.csv","1970s","Game Bird Hunting","Duck Stamps",1975,156224,1,156224
"61",61,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Resident Hunting (Annual)",1976,523939,10,5239390
"62",62,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Junior Hunting (Annual)",1976,56959,2,113918
"63",63,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident Hunting (Annual)",1976,2459,35,86065
"64",64,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident 1-Day Hunting",1976,318,5,1590
"65",65,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident First Deer Tag",1976,309948,3,929844
"66",66,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident First Deer Tag",1976,606,25,15150
"67",67,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident Second Deer Tag",1976,16787,3,50361
"68",68,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident Second Deer Tag",1976,NA,NA,NA
"69",69,"tabula-70s Items Hunting.csv","1970s","Bear Tags","Resident Bear Tags",1976,26232,1,26232
"70",70,"tabula-70s Items Hunting.csv","1970s","Game Bird Hunting","Duck Stamps",1976,149315,1,149315
"71",71,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Resident Hunting (Annual)",1977,511483,10,5114830
"72",72,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Junior Hunting (Annual)",1977,51570,2,103140
"73",73,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident Hunting (Annual)",1977,2629,35,92015
"74",74,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident 1-Day Hunting",1977,398,5,1990
"75",75,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident First Deer Tag",1977,303886,3,911658
"76",76,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident First Deer Tag",1977,680,25,17000
"77",77,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident Second Deer Tag",1977,20140,3,60420
"78",78,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident Second Deer Tag",1977,NA,NA,NA
"79",79,"tabula-70s Items Hunting.csv","1970s","Bear Tags","Resident Bear Tags",1977,26273,1,26273
"80",80,"tabula-70s Items Hunting.csv","1970s","Game Bird Hunting","Duck Stamps",1977,139122,NA,149952
"81",81,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Resident Hunting (Annual)",1978,487331,10,4873310
"82",82,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Junior Hunting (Annual)",1978,44058,2,88116
"83",83,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident Hunting (Annual)",1978,2856,35,99960
"84",84,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident 1-Day Hunting",1978,577,5,2885
"85",85,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident First Deer Tag",1978,187358,3,562074
"86",86,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident First Deer Tag",1978,829,25,20725
"87",87,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident Second Deer Tag",1978,98215,8,785720
"88",88,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident Second Deer Tag",1978,66,60,3960
"89",89,"tabula-70s Items Hunting.csv","1970s","Bear Tags","Resident Bear Tags",1978,19537,1,19537
"90",90,"tabula-70s Items Hunting.csv","1970s","Game Bird Hunting","Duck Stamps",1978,127813,5,639065
"91",91,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Resident Hunting (Annual)",1979,495116,10,4951160
"92",92,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Junior Hunting (Annual)",1979,40870,2,81740
"93",93,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident Hunting (Annual)",1979,3311,35,115885
"94",94,"tabula-70s Items Hunting.csv","1970s","Hunting Licenses","Non-Resident 1-Day Hunting",1979,581,5,2905
"95",95,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident First Deer Tag",1979,197981,3,593943
"96",96,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident First Deer Tag",1979,1075,25,26875
"97",97,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Resident Second Deer Tag",1979,87215,8,697720
"98",98,"tabula-70s Items Hunting.csv","1970s","Deer Tags","Non-Resident Second Deer Tag",1979,79,60,4740
"99",99,"tabula-70s Items Hunting.csv","1970s","Bear Tags","Resident Bear Tags",1979,22557,1,22557
"100",100,"tabula-70s Items Hunting.csv","1970s","Game Bird Hunting","Duck Stamps",1979,121014,5,605070
"101",101,"tabula-80s Items Hunting.csv","1980s","Hunting Licenses","Resident Hunting (Annual)",1980,509964,10.25,5227131
"102",102,"tabula-80s Items Hunting.csv","1980s","Hunting Licenses","Junior Hunting (Annual)",1980,40589,2,81178
"103",103,"tabula-80s Items Hunting.csv","1980s","Hunting Licenses","Non-Resident Hunting (Annual)",1980,3627,36.25,131479
"104",104,"tabula-80s Items Hunting.csv","1980s","Hunting Licenses","Non-Resident Hunting (1 Day)",1980,402,5,2010
"105",105,"tabula-80s Items Hunting.csv","1980s","Deer Tags","Resident First Deer Tag",1980,207833,3,623499
"106",106,"tabula-80s Items Hunting.csv","1980s","Deer Tags","Non-Resident First Deer Tag",1980,1379,26,35854
"107",107,"tabula-80s Items Hunting.csv","1980s","Deer Tags","Resident Second Deer Tag",1980,89769,8,718152
