Licenses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Resident Fishing     (Annual),$           26.75,$           28.00,$           29.00,$           29.25,$          31.25,$           31.75,$          33.25,$           35.50,$           37.00,$           39.25
Lifetime Fishing,$           26.75,$           28.00,$           29.00,$          29.25,$          29.25,$           29.25,$           29.25,$          29.25,$          29.25,$           29.25
Non-Resident Fishing     (Annual),$           72.25,$           75.25,$           77.75,$           78.50,$           84.00,$          85.25,$           89.50,$           95.25,$          99.25,$         105.50
Non-Resident Fishing     (l0 Day),$          26.75,$          28.00,$           29.00,$          29.25,$           31.25,$           31.75,$           33.25,$          35.50,$           37.00,$           39.25
1-Day Sportfishing,N/A,N/A,N/A,N/A,$          10.00,$           10.25,$           10.75,$           11.50,$           12.00,$          12.75
2-Day Sportfishing,$            9.75,$           10.25,$           10.50,$           10.50,$           15.75,$           16.00,$           16.75,$           17.75,$          18.50,$           19.75
Reduced Fee Sportfishing,$             4.25,$             4.50,$             4.75,$             4.75,$            5.00,$            5.25,$            5.50,$             5.75,$            6.00,$             6.25
Resident Upgrade,$           11.00,$          11.50,$           12.00,$           12.00,N/A,N/A,N/A,N/A,N/A,N/A
Resident Pacific Ocean Only,$           15.75,$          16.50,$          17.00,$           17.25,N/A,N/A,N/A,N/A,N/A,N/A
Pacific Ocean (1 Day),$            5.75,$             6.00,$             6.25,$            6.25,N/A,N/A,N/A,N/A,N/A,N/A
Pacific Ocean/Enhancement (1 Day),$             6.25,$             6.50,$             6.75,$             6.75,N/A,N/A,N/A,N/A,N/A,N/A
"",,,,,,,,,,
Bay-Delta Enhancement Stamp,N/A,N/A,N/A,N/A,$             5.00,$             5.00,$            5.25,$             5.50,$             5.75,$             6.00
Lifetime Bay-Delta Enhancement Stamp,N/A,N/A,N/A,N/A,$             3.50,$            3.50,$             3.50,$             3.50,$             3.50,$             3.50
Second Rod Sport Fish Stamp,$             8.75,$            9.00,$            9.25,$             9.25,$             9.50,$             9.75,$           10.25,$           11.00,$           11.50,$           12.25
Lifetime Second Rod Sport Fish Stamp,$            8.75,$            9.00,$             9.25,$             9.25,$             9.25,$            9.25,$             9.25,$            9.25,$             9.25,$             9.25
Spiny Lobster Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$             7.50,$             8.00
Abalone Report Card,$          12.00,$           12.00,$           12.00,$          12.00,$          15.00,$           15.25,$           16.00,$           17.00,$          17.75,$           18.75
North Coast Salmon Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$             5.00,$             5.25
Lifetime North Coast Salmon Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$             1.00,$             1.00
Salmon Punch Card,$            1.00,$             1.00,$            1.00,$            1.00,$             1.00,$            1.50,$            1.50,$             1.50,N/A,N/A
Lifetime Salmon Punch Card,$             1.00,$             1.00,$            1.00,$             1.00,$             1.00,$             1.00,$            1.00,$             1.00,N/A,N/A
Steelhead Report Card,$             3.00,$            3.25,$            3.25,$             3.75,$            5.00,$             5.00,$             5.25,$             5.50,$            5.75,$             6.00
Lifetime Steelhead Report Card,$            3.00,$             3.25,$             3.25,$             3.75,$            3.75,$            3.75,$             3.75,$             3.75,$            3.75,$             3.75
Striped Bass Stamp,$            3.50,$             3.50,$            3.50,$            3.50,N/A,N/A,N/A,N/A,N/A,N/A
Sturgeon Fishing Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$              -,$               -,$               -
Ocean Enhancement Stamp,$            2.50,$             2.50,$            2.50,$            2.50,$             3.50,$             3.50,$             3.75,$             4.00,$             4.25,$             4.50
Lifetime Ocean Enhancement Stamp,$             2.50,$             2.50,$            2.50,$            2.50,$             2.50,$             2.50,$             2.50,$             2.50,$            2.50,$             2.50
