Licenses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
COMM FISHING LICENSE (R),N/A,N/A,N/A,N/A,"$          600,875","$          575,044","$           576,825","$          625,793","$           602,987","$           654,673"
COMM FISHING LICENSE (NR),"$             171,750","$           158,250","$           144,150","$           139,650","$          244,815","$          223,012","$           205,808","$          221,616","$           224,266","$          244,668"
COMM FISHING - CREWMEMBER (R),"$             196,550","$          184,400","$          177,650","$           173,650",N/A,N/A,N/A,N/A,N/A,N/A
COMM FISHING - OPERATOR (R),"$             328,860","$           318,240","$          312,480","$          293,490",N/A,N/A,N/A,N/A,N/A,N/A
COMM FISHING - CREWMEMBER UPGRADE (R),"$                  3,400","$               2,880","$               2,480","$               2,280",N/A,N/A,N/A,N/A,N/A,N/A
COMM BOAT REGISTRATION (R),"$             857,800","$          831,000","$          736,000","$          701,200","$          831,500","$          813,269","$           816,023","$           852,852","$           863,136","$           902,840"
COMM BOAT REGISTRATION (NR),"$             184,400","$           171,600","$           144,400","$           130,000","$          228,000","$           220,763","$          230,328","$          248,005","$          267,439","$           272,672"
COMM PASSENGER FISHING VESSEL,"$                80,400","$             83,200","$             86,600","$            86,400","$          112,500","$           114,441","$          118,593","$           127,800","$          127,576","$          136,385"
COMM PASSENGER FISHING VESSEL W/SALMON,"$                  5,100","$              5,100","$               5,850","$               4,800",N/A,N/A,N/A,N/A,N/A,N/A
COMM AIRCRAFT REGISTRATION,"$                  3,200","$               2,000","$               2,400","$              2,800","$               2,400","$               2,030","$               1,280","$              1,591","$               2,133","$               2,014"
COMM SALMON STAMP,"$             213,840","$           455,153","$           158,525","$          340,560","$          392,490","$          377,583","$          229,658","$          184,790","$           111,180","$           105,740"
JOHN DOE SALMON STAMP,"$                34,650","$             73,013","$             29,325","$             51,282","$            74,538","$             66,528","$             25,370","$            67,575","$              8,670","$               2,805"
JUNIOR COMM FISH LICENSE,"$                  1,645","$              1,575","$              1,925","$               1,785",N/A,N/A,N/A,N/A,N/A,N/A
JUNIOR COMM SALMON STAMP,$                     550,"$              1,609",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COMM OCEAN ENHANCEMENT STAMP,"$                18,825","$             19,950","$            20,250","$            20,175","$             27,475","$             29,039","$             29,577","$             31,323","$             32,910","$             34,980"
Limited Entry & Restricted Access,,,,,,,,,,
CALIFORNIA HALIBUT BOTTOM TRAWL VESSEL PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,"$              2,325","$              2,994","$               2,730","$               2,818"
DEEPER NEARSHORE SPECIES FISHERY PERMIT,N/A,N/A,N/A,"$             36,625","$             34,500","$             32,893","$             33,242","$             33,998","$             34,246","$            34,650"
DRIFT GILL NET SHARK/SWORDFISH PERMIT,"$                41,910","$             37,620","$            34,980","$             33,000","$             31,680","$            30,150","$             30,976","$            32,250","$            32,844","$             34,881"
DUNGENESS CRAB VESSEL PERMIT (R),"$              117,800","$          117,600","$           115,400","$           114,600","$          107,400","$           106,778","$           110,464","$           114,761","$          120,396","$          126,379"
