Licenses,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Commercial Hunting Club License,$           25.00,$            25.00,$           25.00,$            25.00,$            25.00,$            25.00,$            25.00,$         100.00,$          100.00,$         100.00
Dog Training Permit,$             1.00,$              1.00,$             1.00,$              1.00,$             1.00,$              1.00,$              1.00,$              1.00,$              1.00,$              1.00
Falconry License,$            15.00,$            15.00,$           15.00,$           15.00,$            15.00,$            15.00,$            15.00,$           25.00,$            25.00,$            25.00
Fur Agent License,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            25.00
Fur Buyer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            50.00
Domesticated Game Breeder License Class 1,$             5.00,$             5.00,$             5.00,$             5.00,$              5.00,$             5.00,$              5.00,$             5.00,$              5.00,$             5.00
Domesticated Game Breeder License Class 2,$            25.00,$           25.00,$           25.00,$           25.00,$           25.00,$            25.00,$            25.00,$           25.00,$            25.00,$            25.00
Domesticated Game Breeder License Class 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            12.50
Guide License (R),$           10.00,$            10.00,$           10.00,$            10.00,$           25.00,$            25.00,$            25.00,$           25.00,$            25.00,$           25.00
Guide License (NR),N/A,N/A,N/A,N/A,N/A,$          100.00,$         100.00,$          100.00,$         100.00,$          100.00
Licensed Game Bird Club A <500,$            75.00,$            75.00,$           75.00,$            75.00,$            75.00,$            75.00,$            75.00,$           75.00,$            75.00,$           75.00
Licensed Game Bird Club A >500,$          100.00,$          100.00,$          100.00,$          100.00,$         100.00,$         100.00,$          100.00,$          100.00,$         100.00,$          100.00
Licensed Domesticated Migratory Game Bird Shooting Area,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$           50.00
Organizational Field Trial Permit (R),$              5.00,$              5.00,$             5.00,$              5.00,$              5.00,$              5.00,$              5.00,$              5.00,$             5.00,$             5.00
Scientific Collecting Permit (R),$             5.00,$             5.00,$             5.00,$             5.00,$              5.00,$              5.00,$              5.00,$            10.00,$            10.00,$            10.00
Scientific Collecting Permit (Student),$             1.00,$              1.00,$             1.00,$              1.00,$              1.00,$              1.00,$              1.00,$             5.00,$              5.00,$              5.00
Suction Dredge Permit - Standard (R),N/A,N/A,N/A,N/A,N/A,$              5.00,$              5.00,$             5.00,$             5.00,$              5.00
Suction Dredge Permit - Special,N/A,N/A,N/A,N/A,N/A,$            75.00,$            75.00,$            75.00,$            75.00,$            75.00
Trapping License (Junior),N/A,N/A,N/A,N/A,$              5.00,$             5.00,$              5.00,$              5.00,$              5.00,$              5.00
Trapping License (R),N/A,N/A,N/A,N/A,$           25.00,$            25.00,$           25.00,$           25.00,$            25.00,$            25.00
Trapping License (NR),N/A,N/A,N/A,N/A,$           10.00,$           10.00,$            10.00,$            10.00,$            10.00,$            10.00
