Licenses,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Aquaculture Registration (Renewal),N/A,N/A,N/A,"$         15,300","$          17,750","$         17,750","$          14,900","$          34,700","$          35,400","$         34,600"
Commercial Hunting Club License,"$            5,600","$            5,500","$           4,500","$            4,800","$            6,900","$            4,700","$           6,270","$            7,590","$            7,320","$            7,059"
Dog Training Permit,$               304,$              327,$               378,$              335,$              422,$              472,$              684,$               824,$              947,"$            1,100"
Falconry License,"$         14,175","$          14,825","$         13,800","$         13,875","$         14,450","$          13,500","$          16,890","$          19,230","$         22,102","$         21,986"
Fur Agent License,$               325,$               250,$              200,$               150,$               150,$               150,$               245,$               245,$              155,$                 79
Fur Buyer,"$            1,650","$            1,450",$               950,"$            1,200","$           1,150","$           1,200","$           1,890",N/A,N/A,N/A
Fur Dealer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$            2,170","$            1,783","$           1,181"
Domesticated Game Breeder License Class 1,"$            3,765","$            4,095","$            4,065","$            4,315","$           3,540","$            3,355","$           4,936","$            4,560","$            5,714","$            5,985"
Domesticated Game Breeder License Class 2,"$            2,475","$            2,250","$            2,250","$           2,400","$            2,400","$            2,775","$           3,920","$            3,560","$            3,850","$            3,690"
Domesticated Game Breeder License Class 3,$              600,$              700,$               625,$              738,$               663,$               675,$              438,$               488,$              475,$              625
Guide License (R),"$          12,225","$           8,575","$         13,700","$          15,325","$         17,125","$          19,150","$          32,355","$         13,185","$         40,300","$         43,950"
Guide License (NR),"$            1,300","$           1,300","$           1,200",$              900,"$            1,200","$            1,100","$            2,000","$           2,125","$            4,986","$            5,630"
Licensed Guide Employee Registration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$               520,$               720,$              480
Licensed Game Bird Club A <500,"$            4,650","$           4,425","$           4,575","$           4,650","$            4,425","$            5,325","$          10,500","$          10,200","$          12,303","$          13,351"
Licensed Game Bird Club A >500,"$            8,200","$           8,300","$            8,300","$            8,400","$            9,000","$           9,800","$          16,800","$          17,400","$         18,627","$          19,822"
Licensed Domesticated Migratory Game Bird Shooting Area,$              100,$              150,$               100,$               100,$               200,$               250,$               400,$               640,$              799,$              630
Organizational Field Trial Permit (R),$              350,$              403,$               463,$              539,$              539,$               525,$               350,$               760,"$            1,045","$           1,046"
Scientific Collecting Permit (R),"$         13,870","$         12,690","$         11,660","$          10,670","$         11,210","$         11,380","$         16,860","$         16,845","$          19,095","$          38,580"
Scientific Collecting Permit (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$            5,700"
Scientific Collecting Permit (Student),"$            2,675","$           2,325","$            2,320","$           1,705","$            1,640","$            1,425","$           2,128","$            1,960","$            2,188","$            2,799"
Suction Dredge Permit - Standard (R),"$          63,815","$         57,180","$         46,900","$         49,915","$          47,040","$         42,120","$         88,760","$         80,870","$         82,984","$        119,800"
Suction Dredge Permit - Standard (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$          37,400"
Suction Dredge Permit - Special,"$            2,550","$            1,650","$            3,675",$               300,"$            1,125",$              675,$               780,$               260,"$           1,440","$           1,612"
Trapping License (Junior),"$            1,175","$            1,140","$            1,115",$               960,$              780,$               675,$               675,$               840,$              737,$               578
Trapping License (R),"$         28,650","$          33,160","$         35,400","$          44,040","$          54,845","$          51,720","$          56,250","$         61,875","$         56,050","$         39,179"
Trapping License (NR),"$           2,775","$            3,100","$            3,625","$           7,200","$            8,600","$            8,600","$         10,125","$          12,600","$            9,232","$           2,789"
TOTAL MISCELLANEOUS,"$       171,229","$        163,795","$        159,801","$       187,817","$        205,154","$        197,322","$        288,156","$       293,447","$        328,249","$        409,650"
