"tsn","level","sci_name","kingdom","phylum","class","order","family","genus","species"
"0","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA
"1081826","Species","Pantherophis obsoletus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis obsoletus"
"1082673","Species","Lampropeltis holbrooki","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis holbrooki"
"1094181","Family","Ranidae","Animalia","Chordata","Amphibia","Anura","Ranidae",NA,NA
"1094914","Genus","Bufo","Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo",NA
"1095381","Species","Dryophytes cinereus","Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes","Dryophytes cinereus"
"1095495","Species","Dryophytes versicolor","Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes","Dryophytes versicolor"
"11217","Genus","Laminaria","Chromista",NA,"Phaeophyceae","Laminariales","Laminariaceae","Laminaria",NA
"11222","Species","Laminaria saccharina","Chromista",NA,"Phaeophyceae","Laminariales","Laminariaceae","Laminaria","Laminaria saccharina"
"11228","Species","Laminaria digitata","Chromista",NA,"Phaeophyceae","Laminariales","Laminariaceae","Laminaria","Laminaria digitata"
"11272","Genus","Macrocystis","Chromista",NA,"Phaeophyceae","Laminariales","Lessoniaceae","Macrocystis",NA
"11300","Species","Alaria esculenta","Chromista",NA,"Phaeophyceae","Laminariales","Alariaceae","Alaria","Alaria esculenta"
"11329","Family","Fucaceae","Chromista",NA,"Phaeophyceae","Fucales","Fucaceae",NA,NA
"11331","Species","Ascophyllum nodosum","Chromista",NA,"Phaeophyceae","Fucales","Fucaceae","Ascophyllum","Ascophyllum nodosum"
"11332","Variety","Ascophyllum nodosum var. scorpioides","Chromista",NA,"Phaeophyceae","Fucales","Fucaceae","Ascophyllum","Ascophyllum nodosum"
"11335","Species","Fucus vesiculosus","Chromista",NA,"Phaeophyceae","Fucales","Fucaceae","Fucus","Fucus vesiculosus"
"12092","Species","Chondrus crispus","Plantae",NA,"Florideophyceae","Gigartinales","Gigartinaceae","Chondrus","Chondrus crispus"
"12303","Family","Corallinaceae","Plantae",NA,"Florideophyceae","Corallinales","Corallinaceae",NA,NA
"12842","Species","Palmaria palmata","Plantae",NA,"Florideophyceae","Palmariales","Palmariaceae","Palmaria","Palmaria palmata"
"155469","Phylum","Bryozoa","Animalia","Bryozoa",NA,NA,NA,NA,NA
"156857","Phylum","Echinodermata","Animalia","Echinodermata",NA,NA,NA,NA,NA
"156862","Class","Asteroidea","Animalia","Echinodermata","Asteroidea",NA,NA,NA,NA
"157187","Species","Echinaster sentus","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Echinaster","Echinaster sentus"
"157325","Class","Ophiuroidea","Animalia","Echinodermata","Ophiuroidea",NA,NA,NA,NA
"157366","Species","Astrophyton muricatum","Animalia","Echinodermata","Ophiuroidea","Phrynophiurida","Gorgonocephalidae","Astrophyton","Astrophyton muricatum"
"157486","Species","Ophiocoma echinata","Animalia","Echinodermata","Ophiuroidea","Ophiurida","Ophiocomidae","Ophiocoma","Ophiocoma echinata"
"157518","Species","Ophioderma squamosissimum","Animalia","Echinodermata","Ophiuroidea","Ophiurida","Ophiodermatidae","Ophioderma","Ophioderma squamosissimum"
"157520","Species","Ophioderma brevispinum","Animalia","Echinodermata","Ophiuroidea","Ophiurida","Ophiodermatidae","Ophioderma","Ophioderma brevispinum"
"157821","Class","Echinoidea","Animalia","Echinodermata","Echinoidea",NA,NA,NA,NA
"157826","Species","Eucidaris tribuloides","Animalia","Echinodermata","Echinoidea","Cidaroida","Cidaridae","Eucidaris","Eucidaris tribuloides"
"157906","Species","Arbacia punctulata","Animalia","Echinodermata","Echinoidea","Arbacioida","Arbaciidae","Arbacia","Arbacia punctulata"
"157921","Species","Lytechinus variegatus","Animalia","Echinodermata","Echinoidea","Temnopleuroida","Toxopneustidae","Lytechinus","Lytechinus variegatus"
"157958","Species","Echinometra lucunter","Animalia","Echinodermata","Echinoidea","Echinoida","Echinometridae","Echinometra","Echinometra lucunter"
"157968","Genus","Strongylocentrotus","Animalia","Echinodermata","Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus",NA
"157969","Species","Strongylocentrotus droebachiensis","Animalia","Echinodermata","Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis"
"157987","Genus","Clypeaster","Animalia","Echinodermata","Echinoidea","Clypeasteroida","Clypeasteridae","Clypeaster",NA
"157988","Species","Clypeaster prostratus","Animalia","Echinodermata","Echinoidea","Clypeasteroida","Clypeasteridae","Clypeaster","Clypeaster prostratus"
"157989","Species","Clypeaster subdepressus","Animalia","Echinodermata","Echinoidea","Clypeasteroida","Clypeasteridae","Clypeaster","Clypeaster subdepressus"
"158018","Family","Mellitidae","Animalia","Echinodermata","Echinoidea","Clypeasteroida","Mellitidae",NA,NA
"158019","Genus","Mellita","Animalia","Echinodermata","Echinoidea","Clypeasteroida","Mellitidae","Mellita",NA
"158028","Species","Encope emarginata","Animalia","Echinodermata","Echinoidea","Clypeasteroida","Mellitidae","Encope","Encope emarginata"
"158031","Genus","Leodia","Animalia","Echinodermata","Echinoidea","Clypeasteroida","Mellitidae","Leodia",NA
"158140","Class","Holothuroidea","Animalia","Echinodermata","Holothuroidea",NA,NA,NA,NA
"158195","Species","Cucumaria frondosa","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","Cucumaria frondosa"
"158309","Family","Holothuriidae","Animalia","Echinodermata","Holothuroidea","Holothuriida","Holothuriidae",NA,NA
"158323","Species","Holothuria floridana","Animalia","Echinodermata","Holothuroidea","Holothuriida","Holothuriidae","Holothuria","Holothuria floridana"
"158541","Class","Crinoidea","Animalia","Echinodermata","Crinoidea",NA,NA,NA,NA
"158854","Class","Ascidiacea","Animalia","Chordata","Ascidiacea",NA,NA,NA,NA
"159699","Species","Entosphenus tridentatus","Animalia","Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Entosphenus","Entosphenus tridentatus"
"159722","Species","Petromyzon marinus","Animalia","Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Petromyzon","Petromyzon marinus"
"159753","Family","Myxinidae","Animalia","Chordata","Myxini","Myxiniformes","Myxinidae",NA,NA
