"year","filename","port","category","species","January","Feburary","March","April","May","June","July","August","September","October","November","December","Total"
2004,"10.pdf","Netarts Bay","Crustaceans:","Shrimp, mud","2171","1121","942","0","0","70","0","0","0","0","0","520","4824"
2004,"10.pdf","Netarts Bay","Crustaceans:","Total","2171","1121","942","0","0","70","0","0","0","0","0","520","4824"
2004,"11.pdf","Pacific City","Fish:","Cabezon","0","0","44","16","86","59","100","17","221","61","0","0","604"
2004,"11.pdf","Pacific City","Fish:","Greenling, unspecified","0","0","4","8","81","14","11","17","31","0","0","0","166"
2004,"11.pdf","Pacific City","Fish:","Lingcod","0","0","62","0","1716","1735","1725","1152","1687","1643","0","0","9720"
2004,"11.pdf","Pacific City","Fish:","Rockfish, black","60","1519","1493","5748","7464","9537","5694","2777","6089","0","0","0","40381"
2004,"11.pdf","Pacific City","Fish:","Rockfish, blue","0","0","0","0","0","0","2","0","38","0","0","0","40"
2004,"11.pdf","Pacific City","Fish:","Rockfish, canary","0","0","0","0","2","0","0","0","0","0","0","0","2"
2004,"11.pdf","Pacific City","Fish:","Rockfish, vermillion","0","0","0","5","0","5","6","6","9","0","0","0","31"
2004,"11.pdf","Pacific City","Fish:","Rockfish, yellowtail","0","6","10","43","5","0","22","4","132","0","0","0","222"
2004,"11.pdf","Pacific City","Fish:","Rockfish, nearshore","0","0","6","33","70","2","8","5","57","0","0","0","181"
2004,"11.pdf","Pacific City","Fish:","Salmon, Chinook","0","0","9","421","1625","254","777","514","516","883","0","0","4999"
2004,"11.pdf","Pacific City","Fish:","Tuna, albacore","0","0","0","0","0","0","2743","205","2237","0","0","0","5185"
2004,"11.pdf","Pacific City","Crustaceans:","Crab, Dungeness (ocean)","6","223","691","851","350","298","217","125","0","0","0","1977","4738"
2004,"11.pdf","Pacific City","Crustaceans:","Shrimp, ghost","494","375","910","750","680","1110","320","280","450","950","650","170","7139"
2004,"11.pdf","Pacific City","Crustaceans:","Total","560","2123","3229","7875","12079","13014","11625","5102","11467","3537","650","2147","73408"
2004,"11A.pdf","Salmon River","Crustaceans:","Total","0","0","0","0","0","0","0","0","0","0","0","0","0"
2004,"12.pdf","Siletz Bay","Crustaceans:","Shrimp, ghost","0","0","0","0","4","6","8","58","161","109","60","30","436"
2004,"12.pdf","Siletz Bay","Crustaceans:","Total","0","0","0","0","4","6","8","58","161","109","60","30","436"
2004,"13.pdf","Depoe Bay","Fish:","Cabezon","0","0","0","11","16","0","14","0","0","0","0","0","41"
2004,"13.pdf","Depoe Bay","Fish:","Greenling, unspecified","0","0","0","4","0","0","6","0","0","0","0","0","10"
2004,"13.pdf","Depoe Bay","Fish:","Halibut, Pacific","0","0","0","0","106","14","0","0","0","0","0","0","120"
2004,"13.pdf","Depoe Bay","Fish:","Lingcod","0","0","0","0","487","601","138","299","112","296","0","0","1933"
2004,"13.pdf","Depoe Bay","Fish:","Mackerel, Pacific","0","0","0","0","0","0","16","12","4","0","0","0","32"
2004,"13.pdf","Depoe Bay","Fish:","Rockfish, black","23","0","80","145","262","41","59","70","28","0","0","0","708"
2004,"13.pdf","Depoe Bay","Fish:","Rockfish, blue","28","0","80","46","0","0","0","0","0","0","0","0","154"
2004,"13.pdf","Depoe Bay","Fish:","Rockfish, vermillion","0","0","7","0","0","0","0","0","0","0","0","0","7"
