"year","filename","species","type","January","Feburary","March","April","May","June","July","August","September","October","November","December","Total","flag"
"2010","45 (1).pdf","FISH.","value","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK"
"2010","45 (1).pdf","Flounder, starry00","value","0","0","0","2","1","10","0","0","0","0","13","","","CHECK"
"2010","45 (1).pdf","Salmon, chinook04088","value","34026","419732","133891","52719","69953","677547","384950","32843","0","0","1809749","","","CHECK"
"2010","45 (1).pdf","Salmon, chum00","value","0","0","0","0","5","0","0","50","0","0","55","","","CHECK"
"2010","45 (1).pdf","Salmon, coho00","value","24","0","0","0","0","8168","536649","125685","0","0","670526","","","CHECK"
"2010","45 (1).pdf","Salmon, sockeye00","value","0","0","0","342","993","0","0","0","0","0","1335","","","CHECK"
"2010","45 (1).pdf","Shad, American00","value","0","0","1604","5170","0","0","0","0","0","0","6774","","","CHECK"
"2010","45 (1).pdf","Smelt (eulachon)467620770","value","0","0","0","0","0","0","0","0","0","0","25446","","","CHECK"
"2010","45 (1).pdf","Sturgeon, green00","value","0","0","0","0","0","52","0","0","0","0","52","","","CHECK"
"2010","45 (1).pdf","Sturgeon, white1697539398","value","1726","2415","14700","18854","25381","132200","101586","12261","0","0","365496","","","CHECK"
"2010","45 (1).pdf","--------------------------------------------------------------------------------------------------------------------------------","value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","CHECK"
"2010","45 (1).pdf","TOTAL2165164256","value","35776","422147","150195","77087","96333","817977","1023185","170839","0","0","2879446","","","CHECK"
"2010","45 (1).pdf","--------------------------------------------------------------------------------------------------------------------------------------------------------","value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","CHECK"
"2010","45 (1).pdf","ABOVE BONNEVILLE DAM____________________","value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","CHECK"
"2010","45 (1).pdf","FISH:","value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","CHECK"
"2010","45 (1).pdf","Salmon, chinook00","value","0","0","247305","21414","53756","156381","811449","27615","0","0","1317920","","","CHECK"
"2010","45 (1).pdf","Salmon, chum00","value","0","0","0","0","0","0","84","0","0","0","84","","","CHECK"
"2010","45 (1).pdf","Salmon, coho00","value","0","0","0","0","0","82","45140","5403","0","0","50625","","","CHECK"
"2010","45 (1).pdf","Salmon, sockeye00","value","0","0","0","576","800","0","0","0","0","0","1376","","","CHECK"
"2010","45 (1).pdf","Shad, American00","value","0","0","0","0","63","0","0","0","0","0","63","","","CHECK"
"2010","45 (1).pdf","Steelhead00","value","0","0","23","152","1358","801","40689","3706","0","0","46729","","","CHECK"
"2010","45 (1).pdf","Sturgeon, white09570","value","18477","0","0","0","0","0","0","0","0","0","28047","","","CHECK"
"2010","45 (1).pdf","Walleye0135","value","43","0","0","0","0","0","0","0","0","0","178","","","CHECK"
"2010","45.pdf","FISH.","value","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK"
"2010","45.pdf","Flounder, starry00","value","0","0","0","2","1","10","0","0","0","0","13","","","CHECK"
"2010","45.pdf","Salmon, chinook04088","value","34026","419732","133891","52719","69953","677547","384950","32843","0","0","1809749","","","CHECK"
"2010","45.pdf","Salmon, chum00","value","0","0","0","0","5","0","0","50","0","0","55","","","CHECK"
"2010","45.pdf","Salmon, coho00","value","24","0","0","0","0","8168","536649","125685","0","0","670526","","","CHECK"
"2010","45.pdf","Salmon, sockeye00","value","0","0","0","342","993","0","0","0","0","0","1335","","","CHECK"
