"year","filename","species","county","month","landings_lb","landings_kg","value_usd"
2004,"63 (4).pdf","Brine shrimp","Lake","April",0,0,NA
2004,"63 (4).pdf","Brine shrimp","Lake","August",0,0,NA
2004,"63 (4).pdf","Brine shrimp","Lake","December",0,0,NA
2004,"63 (4).pdf","Brine shrimp","Lake","February",0,0,NA
2004,"63 (4).pdf","Brine shrimp","Lake","January",0,0,NA
2004,"63 (4).pdf","Brine shrimp","Lake","July",2000,907.184855978553,NA
2004,"63 (4).pdf","Brine shrimp","Lake","June",9000,4082.33185190349,NA
2004,"63 (4).pdf","Brine shrimp","Lake","March",0,0,NA
2004,"63 (4).pdf","Brine shrimp","Lake","May",0,0,NA
2004,"63 (4).pdf","Brine shrimp","Lake","November",0,0,NA
2004,"63 (4).pdf","Brine shrimp","Lake","October",0,0,NA
2004,"63 (4).pdf","Brine shrimp","Lake","September",0,0,NA
2004,"63 (4).pdf","Crayfish","Clackamas","April",0,0,NA
2004,"63 (4).pdf","Crayfish","Clackamas","August",1516,687.646120831743,NA
2004,"63 (4).pdf","Crayfish","Clackamas","December",0,0,NA
2004,"63 (4).pdf","Crayfish","Clackamas","February",0,0,NA
2004,"63 (4).pdf","Crayfish","Clackamas","January",0,0,NA
2004,"63 (4).pdf","Crayfish","Clackamas","July",2099,952.090506349491,NA
2004,"63 (4).pdf","Crayfish","Clackamas","June",175,79.3786748981234,NA
2004,"63 (4).pdf","Crayfish","Clackamas","March",0,0,NA
2004,"63 (4).pdf","Crayfish","Clackamas","May",0,0,NA
2004,"63 (4).pdf","Crayfish","Clackamas","November",0,0,NA
2004,"63 (4).pdf","Crayfish","Clackamas","October",2406,1091.3433817422,NA
2004,"63 (4).pdf","Crayfish","Clackamas","September",5221,2368.20606653201,NA
2004,"63 (4).pdf","Crayfish","Clatsop","April",0,0,NA
2004,"63 (4).pdf","Crayfish","Clatsop","August",68,30.8442851032708,NA
2004,"63 (4).pdf","Crayfish","Clatsop","December",0,0,NA
2004,"63 (4).pdf","Crayfish","Clatsop","February",0,0,NA
2004,"63 (4).pdf","Crayfish","Clatsop","January",0,0,NA
2004,"63 (4).pdf","Crayfish","Clatsop","July",178,80.7394521820912,NA
2004,"63 (4).pdf","Crayfish","Clatsop","June",67,30.3906926752815,NA
2004,"63 (4).pdf","Crayfish","Clatsop","March",0,0,NA
2004,"63 (4).pdf","Crayfish","Clatsop","May",111,50.3487595068097,NA
2004,"63 (4).pdf","Crayfish","Clatsop","November",0,0,NA
2004,"63 (4).pdf","Crayfish","Clatsop","October",0,0,NA
2004,"63 (4).pdf","Crayfish","Clatsop","September",38,17.2365122635925,NA
2004,"63 (4).pdf","Crayfish","Coos","April",0,0,NA
2004,"63 (4).pdf","Crayfish","Coos","August",0,0,NA
2004,"63 (4).pdf","Crayfish","Coos","December",0,0,NA
2004,"63 (4).pdf","Crayfish","Coos","February",0,0,NA
2004,"63 (4).pdf","Crayfish","Coos","January",0,0,NA
2004,"63 (4).pdf","Crayfish","Coos","July",0,0,NA
2004,"63 (4).pdf","Crayfish","Coos","June",0,0,NA
2004,"63 (4).pdf","Crayfish","Coos","March",0,0,NA
2004,"63 (4).pdf","Crayfish","Coos","May",0,0,NA
2004,"63 (4).pdf","Crayfish","Coos","November",0,0,NA
2004,"63 (4).pdf","Crayfish","Coos","October",0,0,NA
2004,"63 (4).pdf","Crayfish","Coos","September",17,7.7110712758177,NA
2004,"63 (4).pdf","Crayfish","Jefferson","April",1860,843.681916060054,NA
2004,"63 (4).pdf","Crayfish","Jefferson","August",8446,3831.04164679743,NA
2004,"63 (4).pdf","Crayfish","Jefferson","December",0,0,NA
2004,"63 (4).pdf","Crayfish","Jefferson","February",0,0,NA
2004,"63 (4).pdf","Crayfish","Jefferson","January",0,0,NA
2004,"63 (4).pdf","Crayfish","Jefferson","July",6957,3155.6425215214,NA
2004,"63 (4).pdf","Crayfish","Jefferson","June",4493,2037.99077895582,NA
2004,"63 (4).pdf","Crayfish","Jefferson","March",0,0,NA
2004,"63 (4).pdf","Crayfish","Jefferson","May",4019,1822.9879680889,NA
2004,"63 (4).pdf","Crayfish","Jefferson","November",0,0,NA
2004,"63 (4).pdf","Crayfish","Jefferson","October",998,452.685243133298,NA
2004,"63 (4).pdf","Crayfish","Jefferson","September",5846,2651.70133402531,NA
2004,"63 (4).pdf","Crayfish","Washington","April",0,0,NA
2004,"63 (4).pdf","Crayfish","Washington","August",2454,1113.11581828568,NA
2004,"63 (4).pdf","Crayfish","Washington","December",0,0,NA
2004,"63 (4).pdf","Crayfish","Washington","February",0,0,NA
2004,"63 (4).pdf","Crayfish","Washington","January",0,0,NA
2004,"63 (4).pdf","Crayfish","Washington","July",3163,1434.71284973008,NA
2004,"63 (4).pdf","Crayfish","Washington","June",5125,2324.66119344504,NA
2004,"63 (4).pdf","Crayfish","Washington","March",0,0,NA
2004,"63 (4).pdf","Crayfish","Washington","May",0,0,NA
2004,"63 (4).pdf","Crayfish","Washington","November",0,0,NA
2004,"63 (4).pdf","Crayfish","Washington","October",0,0,NA
2004,"63 (4).pdf","Crayfish","Washington","September",2897,1314.05726388493,NA
2005,"63 (3).pdf","Brine shrimp","Lake","April",0,0,NA
2005,"63 (3).pdf","Brine shrimp","Lake","August",0,0,NA
2005,"63 (3).pdf","Brine shrimp","Lake","December",0,0,NA
2005,"63 (3).pdf","Brine shrimp","Lake","February",0,0,NA
2005,"63 (3).pdf","Brine shrimp","Lake","January",0,0,NA
2005,"63 (3).pdf","Brine shrimp","Lake","July",8500,3855.53563790885,NA
2005,"63 (3).pdf","Brine shrimp","Lake","June",0,0,NA
2005,"63 (3).pdf","Brine shrimp","Lake","March",0,0,NA
2005,"63 (3).pdf","Brine shrimp","Lake","May",0,0,NA
2005,"63 (3).pdf","Brine shrimp","Lake","November",0,0,NA
2005,"63 (3).pdf","Brine shrimp","Lake","October",0,0,NA
2005,"63 (3).pdf","Brine shrimp","Lake","September",0,0,NA
2005,"63 (3).pdf","Crayfish","Clackamas","April",0,0,NA
2005,"63 (3).pdf","Crayfish","Clackamas","August",100,45.3592427989276,NA
2005,"63 (3).pdf","Crayfish","Clackamas","December",0,0,NA
2005,"63 (3).pdf","Crayfish","Clackamas","February",0,0,NA
2005,"63 (3).pdf","Crayfish","Clackamas","January",0,0,NA
2005,"63 (3).pdf","Crayfish","Clackamas","July",245,111.130144857373,NA
2005,"63 (3).pdf","Crayfish","Clackamas","June",0,0,NA
2005,"63 (3).pdf","Crayfish","Clackamas","March",0,0,NA
2005,"63 (3).pdf","Crayfish","Clackamas","May",0,0,NA
2005,"63 (3).pdf","Crayfish","Clackamas","November",0,0,NA
2005,"63 (3).pdf","Crayfish","Clackamas","October",0,0,NA
2005,"63 (3).pdf","Crayfish","Clackamas","September",0,0,NA
2005,"63 (3).pdf","Crayfish","Clatsop","April",0,0,NA
2005,"63 (3).pdf","Crayfish","Clatsop","August",121,54.8846837867024,NA
2005,"63 (3).pdf","Crayfish","Clatsop","December",0,0,NA
2005,"63 (3).pdf","Crayfish","Clatsop","February",0,0,NA
2005,"63 (3).pdf","Crayfish","Clatsop","January",0,0,NA
