"year","filename","species","type","January","Feburary","March","April","May","June","July","August","September","October","November","December","Total","flag"
"2010","10.pdf","CHECK","landings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","11.pdf","Cabezon...............","landings","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK"
"2010","11.pdf","Greenling sp","landings","0","0","0","0","0","0","2","5","0","0","0","0","7",""
"2010","11.pdf","Lingcod","landings","0","0","0","0","1154","1247","1573","2447","1414","433","169","0","8437",""
"2010","11.pdf","Rockfish, black","landings","72","318","280","409","2646","7783","4681","6820","4495","888","30","0","28422",""
"2010","11.pdf","Rockfish, blue","landings","0","0","0","32","16","117","12","174","6","0","0","0","357",""
"2010","11.pdf","Rockfish, tiger","landings","0","0","0","0","0","0","3","0","0","0","0","0","3",""
"2010","11.pdf","Rockfish, vermillion","landings","0","0","4","0","0","0","11","7","16","0","0","0","38",""
"2010","11.pdf","Rockfish, yellowtail","landings","0","0","0","0","203","210","181","132","172","0","14","0","912",""
"2010","11.pdf","Rockfish, Nearshore","landings","0","0","0","0","6","0","5","8","21","0","0","0","40",""
"2010","11.pdf","Salmon, chinook","landings","0","0","0","0","0","18","0","112","65","16","0","0","211",""
"2010","11.pdf","Salmon, coho","landings","0","0","0","0","0","0","0","1100","0","0","0","0","1100",""
"2010","11.pdf","Tuna, albacore","landings","0","0","0","0","0","3218","2593","320","0","0","0","0","6131",""
"2010","11.pdf","CRUSTACEANS:","landings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2010","11.pdf","Crab, Dungeness, ocean","landings","198","212","724","767","874","457","619","619","0","0","0","267","4737",""
"2010","11.pdf","Shrimp, ghost","landings","265","270","430","750","950","600","570","330","460","830","420","190","6065",""
"2010","11A.pdf","CHECK","landings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
