"spp_code","comm_name","sci_name","mgmt_group_code","complex_code"
"ABLN","All abalone",NA,"SHLL",""
"AKSK","Alaska skate","Bathyraja parmifera","GRND","MGRN, SKAT"
"ALBC","Albacore","Thunnus alalunga","HMSP","TUNA"
"AMCK","Atka mackerel","Pleurogrammus monopterygius","GRND","ROND"
"APLC","Alaska plaice","Pleuronectus quadrituberculatus","GRND","FLAT, RFLT"
"ARR1","Nom. Aurora rockfish","Sebastes spp.","GRND","ROCK, NSLP, SSLP"
"ARRA","Aurora rockfish","Sebastes aurora","GRND","ROCK, NSLP, SSLP"
"ART1","Nom. Arrowtooth flounder",NA,"GRND","FLAT, TRBT"
"ARTH","Arrowtooth flounder","Atheresthes stomias","GRND","FLAT, TRBT"
"ASKT","Aleutian skate","Bathyraja aleutica","OTHR","SKAT"
"ASRK","Pacific angel shark","Squatina californica","OTHR","SHRK"
"BABL","Black abalone","Haliotis cracherodii","SHLL","ABLN"
"BANK","Bank rockfish","Sebastes rufus","GRND","ROCK, NSLP, SSLP"
"BASS","All bass",NA,"OTHR",""
"BCAC","Bocaccio","Sebastes paucispinis","GRND","ROCK, NSLF"
"BCC1","Nom. Bocaccio","Sebastes spp.","GRND","ROCK, NSLF"
"BCLM","Butter clam","Saxidomus giganteus","SHLL","CLAM"
"BGL1","Nom. Blackgill rockfish","Sebastes spp.","GRND","ROCK, NSLP, SSLP"
"BHAG","Black hagfish","Eptatretus deani","OTHR",""
"BISC","Brown irish lord","Hemilepidotus spinosus","OTHR",""
"BKCR","Blue king crab","Paralithodes platypus","CRAB","KCRB"
"BLCK","Black rockfish","Sebastes melanops","GRND","ROCK"
"BLGL","Blackgill rockfish","Sebastes melanostomus","GRND","ROCK, NSLP, SSLP"
"BLK1","Nom. Black rockfish","Sebastes spp.","GRND","ROCK"
"BLPT","Black eelpout","Lycodes diapterus","OTHR",""
"BLSK","Black skate","Bathyraja trachura","OTHR","SKAT"
"BLU1","Nom. Blue rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRD"
"BLUR","Blue rockfish","Sebastes mystinus","GRND","ROCK, NSHR, SSRD"
"BMCK","Bullet mackerel","Auxis rochei","OTHR",""
"BMO1","Nom. Bigmouth sole",NA,"GRND","FLAT"
"BMOL","Bigmouth sole","Hippoglossina stomata","GRND","FLAT"
"BMRL","Blue marlin","Makaira nigricans","OTHR",""
"BMSL","Blue or bay mussel","Mytilus edulis","SHLL","CLAM"
"BNK1","Nom. Bank rockfish","Sebastes spp.","GRND","ROCK, NSLP, SSLP"
"BRNZ","Bronzespotted rockfish","Sebastes gilli","GRND","ROCK, NSLF, SSLF"
"BRW1","Nom. Brown rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRD"
"BRWN","Brown rockfish","Sebastes auriculatus","GRND","ROCK, NSHR, SSRD"
"BRZ1","Nom. Bronzespotted rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"BSCL","Buffalo sculpin","Enophrys bison","OTHR",""
"BSJK","Black skipjack","Euthynnus lineatus","OTHR","TUNA"
"BSK1","Nom. Big skate",NA,"GRND",""
"BSKT","Big skate","Raja binoculata","GRND","MGRN, SKAT"
"BSOL","Butter sole","Isopsetta isolepis","GRND","FLAT, RFLT"
"BSP1","Nom. Blackspotted rockfish",NA,"GRND","ROCK, NSLP, SSLP"
"BSPR","Blackspotted rockfish","Sebastes melanostictus","GRND","ROCK, NSLP, SSLP"
"BSRK","Blue shark","Prionace glauca","HMSP","SHRK"
"BSRM","Unsp. Bait shrimp",NA,"SRMP",""
"BTCR","Bairdi tanner crab","Chionoecetes bairdi","CRAB","TCRB"
"BTNA","Bluefin tuna","Thunnus thynnus","HMSP","TUNA"
"BTRY","Bat ray","Myliobatis californica","OTHR","SKAT"
"BYEL","Black and yellow rockfish","Sebastes chrysomelas","GRND","ROCK, NSHR, SSRS"
"BYL1","Nom. Black-and-yellow rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRS"
"CBZ1","Nom. Cabezon","Scorpaenichthys spp.","GRND","ROND"
"CBZN","Cabezon","Scorpaenichthys marmoratus","GRND","ROND"
"CEEL","Spotted cusk-eel","Chilara taylori","OTHR",""
"CHL1","Nom. Calif halibut","Paralichthys spp.","OTHR",""
"CHLB","California halibut","Paralichthys californicus","OTHR",""
"CHN1","Nom. China rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRD"
"CHNA","China rockfish","Sebastes nebulosus","GRND","ROCK, NSHR, SSRD"
"CHNK","Chinook salmon","Oncorhynchus tshawytscha","SAMN",""
"CHUM","Chum salmon","Oncorhynchus keta","SAMN",""
"CKLE","Basket cockle","Clinocardium nuttallii","SHLL","CLAM"
"CLAM","All clams",NA,"SHLL",""
"CLC1","Nom. Calico rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRD"
"CLCO","Calico rockfish","Sebastes dallii","GRND","ROCK, NSHR, SSRD"
"CLP1","Nom. Chilipepper","Sebastes spp.","GRND","ROCK, NSLF"
"CLPR","Chilipepper rockfish","Sebastes goodei","GRND","ROCK, NSLF"
"CMCK","Chub mackerel","Scomber japonicus","CPEL","WETF"
"CMEL","Chameleon rockfish","Sebastes phillipsi","GRND","ROCK, NSLF, SSLF"
"CML1","Nom. Chameleon rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"CMSL","California mussel","Mytilus californianus","SHLL","CLAM"
"CNR1","Nom. Canary rockfish","Sebastes spp.","GRND","ROCK"
"CNRY","Canary rockfish","Sebastes pinniger","GRND","ROCK"
"COHO","Coho salmon","Oncorhynchus kisutch","SAMN",""
"COP1","Nom. Copper rockfish","Sebastes spp.","GRND","ROCK, NSHR, SSRD"
"COPP","Copper rockfish","Sebastes caurinus","GRND","ROCK, NSHR, SSRD"
"CPEL","All coastal pelagic",NA,"CPEL",""
"CPLN","Capelin","Mallotus villosus","GRND","ROND"
"CRAB","All crab",NA,"CRAB",""
"CSCU","California sea cucumber","Parastichopus californicus","OTHR",""
"CSKT","California skate","Raja inornata","GRND","MGRN, SKAT"
"CSL1","Nom. Curlfin sole",NA,"GRND","FLAT, RFLT"
