"PacFIN Catch Area Code","PacFIN Group Catch Area Code","PacFIN Catch Area Name","PacFIN Catch Area Description","Area Type Code","Area Type Name","Council"
"01","NF","ILWACO","COLUMBIA RIVER OCEAN AREA (LEADBETTER POINT TO CAPE FALCON) (WDF AREA 1)","5","Salmon area","PFMC"
"02","NF","GRAYS HAR.","GRAYS HARBOR OCEAN AREA (WDF AREA 2)","5","Salmon area","PFMC"
"03","NF","QUILLAYUTE","QUILLAYUTE OCEAN AREA (WDF AREA 3)","5","Salmon area","PFMC"
"04","NF","FLATTERY","CAPE FLATTERY OCEAN AREA (WDF AREA 4)","5","Salmon area","PFMC"
"05","PS","WDFW-5","WDF AREA 5","5","Salmon area","None"
"06","PS","WDFW-6","WDF AREA 6","5","Salmon area","None"
"07","PS","WDFW-7","WDF AREA 7","5","Salmon area","None"
"08","PS","SKAGIT","SKAGIT AREA (WDF AREA 8)","5","Salmon area","None"
"09","PS","WDFW-9","WDF AREA 9","5","Salmon area","None"
"10","PS","WDFW-10","WDF AREA 10","5","Salmon area","None"
"11","PS","WDFW-11","WDF AREA 11","5","Salmon area","None"
"12","PS","WDFW-12","WDF AREA 12","5","Salmon area","None"
"13","PS","WDFW-13","WDF AREA 13","5","Salmon area","None"
"1A","CP","1A","32 30' N TO 36 00' N; U.S.-MEXICO BORDER TO PIEDRAS BLANCAS (MORRO BAY)","1","PSMFC area","PFMC"
"1B","MT","1B","36 00' N TO 40 30' N; PIEDRAS BLANCAS TO CAPE MENDOCINO","1","PSMFC area","PFMC"
"1C","EK","1C","40 30' N TO 42 00' N; CAPE MENDOCINO TO OREGON-CALIFORNIA BORDER","1","PSMFC area","PFMC"
"1D","1B","MNTREY BAY","MONTEREY BAY","8","PSMFC subarea","PFMC"
"1E","1B","1E","PMFC area 1B minus Monterey Bay","8","PSMFC subarea","PFMC"
"2A","EK","2A","42 00' N TO 42 50' N; OREGON-CALIFORNIA BORDER TO CAPE BLANCO","1","PSMFC area","PFMC"
"2B","CL","2B","42 50' N TO 44 18' N; CAPE BLANCO TO CAPE PERPETUA","1","PSMFC area","PFMC"
"2C","CL","2C","44 18' N TO 45 46' N; CAPE PERPETUA TO CAPE FALCON","1","PSMFC area","PFMC"
