"SPECIES_CODE","SPECIES_COMMON_NAME","SPECIES_SCIENTIFIC_NAME","MANAGEMENT_GROUP_CODE","COMPLEX"
"ABLN","__ALL ABALONE","N/A","SHLL",""
"AKSK","ALASKA SKATE","BATHYRAJA PARMIFERA","GRND","MGRN, SKAT"
"ALBC","ALBACORE","THUNNUS ALALUNGA","HMSP","TUNA"
"AMCK","ATKA MACKEREL","PLEUROGRAMMUS MONOPTERYGIUS","GRND","ROND"
"APLC","ALASKA PLAICE","PLEURONECTUS QUADRITUBERCULATUS","GRND","FLAT, RFLT"
"ARR1","NOM. AURORA ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLP, SSLP"
"ARRA","AURORA ROCKFISH","SEBASTES AURORA","GRND","ROCK, NSLP, SSLP"
"ART1","NOM. ARROWTOOTH FLOUNDER","N/A","GRND","FLAT, TRBT"
"ARTH","ARROWTOOTH FLOUNDER","ATHERESTHES STOMIAS","GRND","FLAT, TRBT"
"ASKT","ALEUTIAN SKATE","BATHYRAJA ALEUTICA","OTHR","SKAT"
"ASRK","PACIFIC ANGEL SHARK","SQUATINA CALIFORNICA","OTHR","SHRK"
"BABL","BLACK ABALONE","HALIOTIS CRACHERODII","SHLL","ABLN"
"BANK","BANK ROCKFISH","SEBASTES RUFUS","GRND","ROCK, NSLP, SSLP"
"BASS","__ALL BASS","N/A","OTHR",""
"BCAC","BOCACCIO","SEBASTES PAUCISPINIS","GRND","ROCK, NSLF"
"BCC1","NOM. BOCACCIO","SEBASTES SPP.","GRND","ROCK, NSLF"
"BCLM","BUTTER CLAM","SAXIDOMUS GIGANTEUS","SHLL","CLAM"
"BGL1","NOM. BLACKGILL ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLP, SSLP"
"BHAG","BLACK HAGFISH","EPTATRETUS DEANI","OTHR",""
"BISC","BROWN IRISH LORD","HEMILEPIDOTUS SPINOSUS","OTHR",""
"BKCR","BLUE KING CRAB","PARALITHODES PLATYPUS","CRAB","KCRB"
"BLCK","BLACK ROCKFISH","SEBASTES MELANOPS","GRND","ROCK"
"BLGL","BLACKGILL ROCKFISH","SEBASTES MELANOSTOMUS","GRND","ROCK, NSLP, SSLP"
"BLK1","NOM. BLACK ROCKFISH","SEBASTES SPP.","GRND","ROCK"
"BLPT","BLACK EELPOUT","LYCODES DIAPTERUS","OTHR",""
"BLSK","BLACK SKATE","BATHYRAJA TRACHURA","OTHR","SKAT"
"BLU1","NOM. BLUE ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSHR, SSRD"
"BLUR","BLUE ROCKFISH","SEBASTES MYSTINUS","GRND","ROCK, NSHR, SSRD"
"BMCK","BULLET MACKEREL","AUXIS ROCHEI","OTHR",""
"BMO1","NOM. BIGMOUTH SOLE","N/A","GRND","FLAT"
"BMOL","BIGMOUTH SOLE","HIPPOGLOSSINA STOMATA","GRND","FLAT"
"BMRL","BLUE MARLIN","MAKAIRA NIGRICANS","OTHR",""
"BMSL","BLUE OR BAY MUSSEL","MYTILUS EDULIS","SHLL","CLAM"
"BNK1","NOM. BANK ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLP, SSLP"
"BRNZ","BRONZESPOTTED ROCKFISH","SEBASTES GILLI","GRND","ROCK, NSLF, SSLF"
"BRW1","NOM. BROWN ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSHR, SSRD"
"BRWN","BROWN ROCKFISH","SEBASTES AURICULATUS","GRND","ROCK, NSHR, SSRD"
"BRZ1","NOM. BRONZESPOTTED ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLF, SSLF"
"BSCL","BUFFALO SCULPIN","ENOPHRYS BISON","OTHR",""
"BSJK","BLACK SKIPJACK","EUTHYNNUS LINEATUS","OTHR","TUNA"
"BSK1","NOM. BIG SKATE","N/A","GRND",""
"BSKT","BIG SKATE","RAJA BINOCULATA","GRND","MGRN, SKAT"
"BSOL","BUTTER SOLE","ISOPSETTA ISOLEPIS","GRND","FLAT, RFLT"
"BSP1","NOM. BLACKSPOTTED ROCKFISH","N/A","GRND","ROCK, NSLP, SSLP"
"BSPR","BLACKSPOTTED ROCKFISH","SEBASTES MELANOSTICTUS","GRND","ROCK, NSLP, SSLP"
"BSRK","BLUE SHARK","PRIONACE GLAUCA","HMSP","SHRK"
"BSRM","UNSP. BAIT SHRIMP","N/A","SRMP",""
"BTCR","BAIRDI TANNER CRAB","CHIONOECETES BAIRDI","CRAB","TCRB"
"BTNA","BLUEFIN TUNA","THUNNUS THYNNUS","HMSP","TUNA"
"BTRY","BAT RAY","MYLIOBATIS CALIFORNICA","OTHR","SKAT"
"BYEL","BLACK AND YELLOW ROCKFISH","SEBASTES CHRYSOMELAS","GRND","ROCK, NSHR, SSRS"
"BYL1","NOM. BLACK-AND-YELLOW ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSHR, SSRS"
"CBZ1","NOM. CABEZON","SCORPAENICHTHYS SPP.","GRND","ROND"
"CBZN","CABEZON","SCORPAENICHTHYS MARMORATUS","GRND","ROND"
"CEEL","SPOTTED CUSK-EEL","CHILARA TAYLORI","OTHR",""
"CHL1","NOM. CALIF HALIBUT","PARALICHTHYS SPP.","OTHR",""
"CHLB","CALIFORNIA HALIBUT","PARALICHTHYS CALIFORNICUS","OTHR",""
"CHN1","NOM. CHINA ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSHR, SSRD"
"CHNA","CHINA ROCKFISH","SEBASTES NEBULOSUS","GRND","ROCK, NSHR, SSRD"
"CHNK","CHINOOK SALMON","ONCORHYNCHUS TSHAWYTSCHA","SAMN",""
"CHUM","CHUM SALMON","ONCORHYNCHUS KETA","SAMN",""
"CKLE","BASKET COCKLE","CLINOCARDIUM NUTTALLII","SHLL","CLAM"
"CLAM","__ALL CLAMS","N/A","SHLL",""
"CLC1","NOM. CALICO ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSHR, SSRD"
"CLCO","CALICO ROCKFISH","SEBASTES DALLII","GRND","ROCK, NSHR, SSRD"
"CLP1","NOM. CHILIPEPPER","SEBASTES SPP.","GRND","ROCK, NSLF"
