"SPECIES","CA_JETTY_TOTAL_MORTALITY_NUM","CA_JETTY_TOTAL_MORTALITY_MT","CA_BEACH_TOTAL_MORTALITY_NUM","CA_BEACH_TOTAL_MORTALITY_MT","CA_CHARTER_TOTAL_MORTALITY_NUM","CA_CHARTER_TOTAL_MORTALITY_MT","CA_PRIVATE_TOTAL_MORTALITY_NUM","CA_PRIVATE_TOTAL_MORTALITY_MT","OR_CHARTER_TOTAL_MORTALITY_NUM","OR_CHARTER_TOTAL_MORTALITY_MT","OR_PRIVATE_TOTAL_MORTALITY_NUM","OR_PRIVATE_TOTAL_MORTALITY_MT","WA_CHARTER_TOTAL_MORTALITY_NUM","WA_CHARTER_TOTAL_MORTALITY_MT","WA_PRIVATE_TOTAL_MORTALITY_NUM","WA_PRIVATE_TOTAL_MORTALITY_MT"
"Albacore",,,,,,,,,86,.497781881578947368421052631578947368421,5271,29.72237510866411053655222521936015287435,9682.7,81.03548457,17730.15,148.385398365
"American Shad",93.63024939,0,,,,,,,,,3,.0001818
"Arrowtooth Flounder",,,,,,,,,1,.001905,39,.074295
"Bank Rockfish",,,,,111.0108558,.0506240194,40.816249257,0
"Barred Sandbass",263.77827302,.22530576821,0,0,12980.849556869,9.783632400467,9935.59383984,10.596920236089
"Barred Surfperch",3742.683514527,.823194970734,24584.8149478,8.82598848734,,,0,0
"Bat Ray",264.10093327,1.2698856791,0,0,0,0,704.246628431,3.85031651648
"Big Skate",48.948899851,0,,,,,.773625366,0,0,0,8,.0449733333333333333333333333333333333335
"Bigmouth Sole",,,,,51.34323222,0
"Billfish Family",,,,,,,0,0
"Black And Yellow Rockfish",443.388041444,.083738492819,,,246.98202637,.147249331728,2695.114764332,1.185901636457,,,30,.0228642857142857142857142857142857142857
"Black Croaker",,,,,17.10813377,0
"Black Perch",1932.85455655,.569859607609,1048.2468535,.31435550397,17.41787115,.005121464457,510.263154908,.205333117271
"Black Rockfish",1167.846448629,1.003621301417,,,28021.183117938,22.086134166849,67383.908549742,51.996463671793,145818,152.417145262879651482974866093949642021,165373,168.03567494467360009767350035324357643,66864.2917,88.53995085233,36468.1992,48.14131449083
"Blacksmith",569.1326605,.083964838668,,,20997.56408193,3.29612173491,658.684187813,.099934519067
"Blue Rockfish",183.629156682,.050636319598,,,103670.416382064,38.248727663078,73609.789850893,31.313814328176,1918,1.00996476158155569920275802628743805215,5436,3.06299732981913819120772110775605791203,283.2732,.26608015476,912.7856,.85738916008
"Blue Shark",,,,,,,,,3,.0290829729729729729729729729729729729729,30,.2908297297297297297297297297297297297295
"Bluebanded Ronquil",,,,,,,0,0
"Bluefin Tuna",,,,,,,,,,,4,.0290813333333333333333333333333333333334
"Bluntnose Sixgill Shark",,,,,,,0,0
"Bocaccio",247.2257583,.171085694873,,,39433.97646872,29.164689553281,13016.708727769,17.587145164748,153,.1065009984979983051342742760293387101487,291,.3047659097980772040559890125946056515009,102.7136,.40241915568,284.4237,1.11459959556
"Bonefish",40.29161365,0,,,,,9.03789948,0
"Bottomfish (Groundfish)",,,,,,,85.93440648,0
"Brown Irish Lord",,,,,,,,,,,28,.01575
"Brown Rockfish",1585.951387359,.274657687391,,,30257.414681596,22.119782207301,48448.667696177,24.417182285805,104,.1019347230769230769230769230769230769231,121,.10796905
"Brown Smoothhound",0,0,,,6.322465614,.009978590829,99.323609565,.156759992047
